TIMESTAMP,solar_TIMESTAMP,SEN_SOU_IRR_Ato_Js_1,SEN_SOU_IRR_Ato_Js_2,SEN_SOU_IRR_Ato_Js_3
1998-07-31T23:59:59Z,1998-07-31T22:52:26Z,0.003005620907214589,0.0011134257030729238,8.576021314046717e-4
1998-08-01T01:00:00Z,1998-07-31T23:52:27Z,0.0030045945252012854,7.230208889072329e-4,7.528854072420569e-4
1998-08-01T02:00:00Z,1998-08-01T00:52:32Z,0.0028691819298716304,0.0011546163591233196,6.802586972353674e-4
1998-08-01T03:00:00Z,1998-08-01T01:52:32Z,0.0031198797685352605,0.0012535841592030525,5.699056810790121e-4
1998-08-01T04:00:00Z,1998-08-01T02:52:32Z,0.0034407170750795817,0.0012149352355687614,7.790196009590477e-4
1998-08-01T05:00:00Z,1998-08-01T03:52:32Z,0.0025002860501098932,0.0012025051282184118,7.894196646374444e-4
1998-08-01T06:00:00Z,1998-08-01T04:52:32Z,0.002700480236770108,0.0011903765847845126,3.636079456951782e-4
1998-08-01T07:00:00Z,1998-08-01T05:52:32Z,0.004579052774150246,0.001403241244889419,3.861173331765815e-4
1998-08-01T08:00:00Z,1998-08-01T06:52:32Z,0.009301644039645318,0.0017870349065982852,0.003621117003722562
1998-08-01T09:00:00Z,1998-08-01T07:52:32Z,0.014972788577884635,0.005952320367298088,0.009780856636024125
1998-08-01T10:00:00Z,1998-08-01T08:52:32Z,0.01823057141746713,0.009625769036879388,0.014554982687260931
1998-08-01T11:00:00Z,1998-08-01T09:52:32Z,0.020226481798552468,0.010127902424025318,0.015041035732126638
1998-08-01T12:00:00Z,1998-08-01T10:52:32Z,0.020694679209929193,0.010544600259035425,0.015827818783492736
1998-08-01T13:00:00Z,1998-08-01T11:52:32Z,0.01989291449001222,0.010639238868807153,0.016196767705446723
1998-08-01T14:00:00Z,1998-08-01T12:52:32Z,0.019047693500888523,0.00995008276659788,0.015980651112627326
1998-08-01T15:00:00Z,1998-08-01T13:52:32Z,0.018364425292966252,0.009582203224159598,0.015697679329763507
1998-08-01T16:00:00Z,1998-08-01T14:52:32Z,0.016968130546553647,0.008652888250277085,0.015672546982998744
1998-08-01T17:00:00Z,1998-08-01T15:52:32Z,0.012654828653507671,0.0073729731984033,0.014875039101871353
1998-08-01T18:00:00Z,1998-08-01T16:52:32Z,0.007256498827529238,0.004889271861435198,0.011846409948992614
1998-08-01T19:00:00Z,1998-08-01T17:52:32Z,0.003920592154836224,0.002102284595848176,0.005160468440988987
1998-08-01T20:00:00Z,1998-08-01T18:52:32Z,0.0028001284712768928,6.762149290579567e-4,0.0016561798308938698
1998-08-01T21:00:00Z,1998-08-01T19:52:32Z,0.002460468933763589,9.132987122445498e-4,0.0016146216159057445
1998-08-01T22:00:00Z,1998-08-01T20:52:32Z,0.001563149918394469,0.0011690088755647566,8.548805694665336e-4
1998-08-01T23:00:00Z,1998-08-01T21:52:32Z,0.0018424470608312132,5.145665560793104e-4,0.001177286264382963
1998-08-01T23:59:59Z,1998-08-01T22:52:31Z,0.003050382774734461,0.0012697989108961505,0.0011741077779642646
1998-08-02T01:00:00Z,1998-08-01T23:52:32Z,0.0029296203303507892,0.001471463629306031,0.001181432879938818
1998-08-02T02:00:00Z,1998-08-02T00:52:38Z,0.002125072720475545,0.0015068501951017155,0.0013354359882503564
1998-08-02T03:00:00Z,1998-08-02T01:52:38Z,0.0022372096479565673,0.001397907708401725,9.138970934863566e-4
1998-08-02T04:00:00Z,1998-08-02T02:52:38Z,0.0025472101779654022,0.0012321294530588166,7.159121157584201e-4
1998-08-02T05:00:00Z,1998-08-02T03:52:38Z,0.0019370265007530624,0.001070546433597225,9.002778896727242e-4
1998-08-02T06:00:00Z,1998-08-02T04:52:38Z,0.0013819349179116363,0.0012520394944611952,4.596907624846424e-4
1998-08-02T07:00:00Z,1998-08-02T05:52:38Z,0.0012307819987089498,0.0011408935536345944,6.910066864990119e-4
1998-08-02T08:00:00Z,1998-08-02T06:52:38Z,0.003341603791070213,0.0012941226697436696,0.0012014811264064523
1998-08-02T09:00:00Z,1998-08-02T07:52:38Z,0.009390963310726677,0.0027001065553363423,0.006573155003528251
1998-08-02T10:00:00Z,1998-08-02T08:52:38Z,0.015512320194163823,0.008290490830554605,0.012966324921129063
1998-08-02T11:00:00Z,1998-08-02T09:52:38Z,0.019127801425561263,0.010487722163347432,0.015339880721444458
1998-08-02T12:00:00Z,1998-08-02T10:52:38Z,0.019859563713197522,0.010874684595760223,0.01596435249530657
1998-08-02T13:00:00Z,1998-08-02T11:52:38Z,0.019196132481224284,0.010406292985972121,0.01635075401321643
1998-08-02T14:00:00Z,1998-08-02T12:52:38Z,0.018434895969376985,0.010151178205554853,0.01599308196218736
1998-08-02T15:00:00Z,1998-08-02T13:52:38Z,0.016978682367036937,0.008213890647030557,0.01607883228263444
1998-08-02T16:00:00Z,1998-08-02T14:52:38Z,0.015495561563449401,0.007492505258061795,0.01560040840634026
1998-08-02T17:00:00Z,1998-08-02T15:52:38Z,0.012006773898919212,0.0063486989246438145,0.01472266396265573
1998-08-02T18:00:00Z,1998-08-02T16:52:38Z,0.007169110733214489,0.004052961104206855,0.011618978140462973
1998-08-02T19:00:00Z,1998-08-02T17:52:38Z,0.005127202751793389,0.002369818149468195,0.007088495061930236
1998-08-02T20:00:00Z,1998-08-02T18:52:38Z,0.005041557475087874,0.0018870491628916837,0.0039358752782690945
1998-08-02T21:00:00Z,1998-08-02T19:52:38Z,0.00533048454054089,0.0015693293038569235,0.002381540352705486
