TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,ws,precip,swc_shallow,swc_deep,ppfd_in,vpd,ext_rad
1996-02-29T00:00:00Z,1996-02-28T22:45:52Z,22.16,11.41,-0.981,0.868,0,NA,NA,-2.0738339999999997,2.368979138884779,0
1996-02-29T01:00:00Z,1996-02-28T23:45:52Z,20.57,12.72,-0.982,0.792,0,NA,NA,-2.075948,2.1173539519092897,0
1996-02-29T01:59:59Z,1996-02-29T00:46:02Z,20.12,13.76,-0.999,1.076,0,NA,NA,-2.1118859999999997,2.034793595923683,0
1996-02-29T02:59:59Z,1996-02-29T01:46:02Z,19.32,15.72,-1.13,1.1,0,NA,NA,-2.3888199999999995,1.8922465118052985,0
1996-02-29T03:59:59Z,1996-02-29T02:46:02Z,18.58,17.57,-1.18,1.092,0,NA,NA,-2.4945199999999996,1.767158237394938,0
1996-02-29T04:59:59Z,1996-02-29T03:46:02Z,17.81,19.64,-1.18,1.058,0,NA,NA,-2.4945199999999996,1.6414533851550608,0
1996-02-29T05:59:59Z,1996-02-29T04:46:02Z,16.89,21.44,-1.147,0.878,0,NA,NA,-2.4247579999999997,1.514009065582539,0
1996-02-29T06:59:59Z,1996-02-29T05:46:02Z,16.76,21.54,-1.131,1.315,0,NA,NA,-2.3909339999999997,1.4996530352389708,0
1996-02-29T07:59:59Z,1996-02-29T06:46:02Z,17.81,20.91,24.26,1.646,0,NA,NA,51.28564,1.6155120486798624,140.0661213008429
1996-02-29T08:59:59Z,1996-02-29T07:46:02Z,20.44,19.19,233.4,2.829,0,NA,NA,493.4076,1.9447427437509137,472.6711247267691
1996-02-29T09:59:59Z,1996-02-29T08:46:02Z,23.98,16.43,502.7,4.147,0,NA,NA,1062.7078,2.4946163173222913,769.4528124534196
1996-02-29T10:59:59Z,1996-02-29T09:46:02Z,26.81,13.69,746,4.856,0,NA,NA,1577.0439999999999,3.0477628194263855,1010.1807013300225
1996-02-29T11:59:59Z,1996-02-29T10:46:02Z,28.88,12.18,896,4.593,0,NA,NA,1894.1439999999998,3.4985711971235873,1178.445255195509
1996-02-29T12:59:59Z,1996-02-29T11:46:02Z,30.63,11.32,1043,4.255,0,NA,NA,2204.902,3.906289836476993,1262.776467091864
1996-02-29T13:59:59Z,1996-02-29T12:46:02Z,32.29,10.27,1056,3.691,0,NA,NA,2232.384,4.342539295555754,1257.4257348939218
1996-02-29T14:59:59Z,1996-02-29T13:46:02Z,33.57,9.4,985,3.009,0,NA,NA,2082.29,4.710862275060219,1162.7577318978883
1996-02-29T15:59:59Z,1996-02-29T14:46:02Z,34.17,8.83,835,2.306,0,NA,NA,1765.1899999999998,4.901521743931631,985.2255589410807
1996-02-29T16:59:59Z,1996-02-29T15:46:02Z,34.27,8.6,618.2,2.17,0,NA,NA,1306.8748,4.941248148968734,736.9308707110282
1996-02-29T17:59:59Z,1996-02-29T16:46:02Z,33.89,8.37,359.7,2.102,0,NA,NA,760.4057999999999,4.850147220196526,434.7989597102336
1996-02-29T18:59:59Z,1996-02-29T17:46:02Z,32.7,8.52,102.8,1.882,0,NA,NA,217.3192,4.53051619318347,99.42502839092883
1996-02-29T19:59:59Z,1996-02-29T18:46:02Z,30.56,9.21,0.701,1.11,0,NA,NA,1.4819139999999997,3.9832926359801397,0
1996-02-29T20:59:59Z,1996-02-29T19:46:02Z,27.81,10.39,-0.963,0.569,0,NA,NA,-2.0357819999999998,3.354925506172817,0
1996-02-29T21:59:59Z,1996-02-29T20:46:02Z,26.53,11.07,-0.98,0.707,0,NA,NA,-2.07172,3.089012290492664,0
1996-02-29T22:59:59Z,1996-02-29T21:46:02Z,25.43,11.73,-0.981,0.87,0,NA,NA,-2.0738339999999997,2.8731015661798165,0
1996-02-29T23:59:59Z,1996-02-29T22:46:02Z,24.3,12.78,-0.998,1.142,0,NA,NA,-2.109772,2.6539956714729254,0
1996-03-01T00:59:59Z,1996-02-29T23:46:02Z,23.86,11.01,-1.096,1.403,0,NA,NA,-2.316944,2.6373343847727333,0
1996-03-01T01:59:59Z,1996-03-01T00:46:15Z,23.04,10.45,-1.113,1.438,0,NA,NA,-2.3528819999999997,2.525965581696824,0
1996-03-01T02:59:59Z,1996-03-01T01:46:15Z,21.47,11.62,-1.097,1.085,0,NA,NA,-2.3190579999999996,2.2658935355066334,0
1996-03-01T03:59:59Z,1996-03-01T02:46:15Z,19.73,12.98,-1.081,0.967,0,NA,NA,-2.285234,2.004185568140903,0
1996-03-01T04:59:59Z,1996-03-01T03:46:15Z,19.72,11.5,-1.179,1.22,0,NA,NA,-2.492406,2.0370076180480514,0
1996-03-01T05:59:59Z,1996-03-01T04:46:15Z,18.82,11.96,-1.163,0.976,0,NA,NA,-2.458582,1.9159755707460637,0
1996-03-01T06:59:59Z,1996-03-01T05:46:15Z,18.13,12.28,-1.163,0.985,0,NA,NA,-2.458582,1.8282295210965347,0
1996-03-01T07:59:59Z,1996-03-01T06:46:15Z,17.26,13.13,20.91,0.81,0,NA,NA,44.203739999999996,1.7138729028341866,145.08061805490462
1996-03-01T08:59:59Z,1996-03-01T07:46:15Z,19.5,12.51,197.5,1.76,0,NA,NA,417.515,1.9864338375584691,477.64278899758455
1996-03-01T09:59:59Z,1996-03-01T08:46:15Z,23.8,9.09,471.3,3.447,0,NA,NA,996.3281999999999,2.684539961063365,774.2197634748161
1996-03-01T10:59:59Z,1996-03-01T09:46:15Z,26.96,7.68,744,4.102,0,NA,NA,1572.8159999999998,3.288813176063108,1014.5947769495816
1996-03-01T11:59:59Z,1996-03-01T10:46:15Z,29.37,7.14,794,3.676,0,NA,NA,1678.5159999999998,3.8054323281776443,1182.382157204229
1996-03-01T12:59:59Z,1996-03-01T11:46:15Z,31.08,6.963,707,3.285,0,NA,NA,1494.598,4.204588528507839,1266.144292663995
1996-03-01T13:59:59Z,1996-03-01T12:46:15Z,32.65,6.831,799,3.017,0,NA,NA,1689.086,4.601222319637915,1260.1713085579418
1996-03-01T14:59:59Z,1996-03-01T13:46:15Z,33.89,6.881,699.5,2.586,0,NA,NA,1478.743,4.9289627741730895,1164.8703018010838
1996-03-01T15:59:59Z,1996-03-01T14:46:15Z,34.33,7.18,563.3,2.277,0,NA,NA,1190.8161999999998,5.034751789138914,986.7376005643619
1996-03-01T16:59:59Z,1996-03-01T15:46:15Z,33.96,7.6,395.3,2.047,0,NA,NA,835.6641999999999,4.909994050388015,737.9159384263417
1996-03-01T17:59:59Z,1996-03-01T16:46:15Z,33.82,7.77,304.6,1.846,0,NA,NA,643.9244,4.862916356266195,435.36672820032476
