TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,precip,ppfd_in,ext_rad
2008-06-28T15:00:00Z,2008-06-28T11:55:34Z,17.9,75.3,0.506375646823652,539.7666727699999,0,1141.0667462357796,908.5678070915625
2008-06-28T15:30:00Z,2008-06-28T12:25:34Z,18.28,76.8,0.487118676968912,NA,NA,NA,903.9702920364495
2008-06-28T16:00:00Z,2008-06-28T12:55:34Z,18.28,74.8,0.529111666362784,486.68333435166664,0,1028.8485688194232,880.3835263606226
2008-06-28T16:30:00Z,2008-06-28T13:25:34Z,17.52,73.8,0.524415739592766,NA,NA,NA,838.210970020935
2008-06-28T17:00:00Z,2008-06-28T13:55:34Z,17.52,72.4,0.552437954685509,332.2999954233333,0,702.4821903249266,778.1740018451682
2008-06-28T17:30:00Z,2008-06-28T14:25:34Z,17.14,78.7,0.416219067789789,NA,NA,NA,701.29958011496
2008-06-28T18:00:00Z,2008-06-28T14:55:34Z,17.14,79.6,0.398632346615572,213.38333384333336,0,451.0923677448067,608.9026760609285
2008-06-28T18:30:00Z,2008-06-28T15:25:34Z,16.38,85.1,0.277441930863291,NA,NA,NA,502.56378075067556
2008-06-28T19:00:00Z,2008-06-28T15:55:34Z,16,86,0.254442181965988,104.06833457833334,0,220.00045929859667,384.1018701222432
2008-06-28T19:30:00Z,2008-06-28T16:25:34Z,15.62,91.5,0.150773172577722,NA,NA,NA,255.54329060678745
2008-06-28T20:00:00Z,2008-06-28T16:55:34Z,14.85,92.7,0.123237310149402,15.325499691666666,0,32.39810634818333,119.08709756458633
2008-06-28T20:30:00Z,2008-06-28T17:25:34Z,14.09,93.5,0.104471717761844,NA,NA,NA,0
2008-06-28T21:00:00Z,2008-06-28T17:55:34Z,13.7,95.8,0.0658169173509424,NA,0,NA,0
2008-06-28T21:30:00Z,2008-06-28T18:25:34Z,13.32,95.4,0.070323176366317,NA,NA,NA,0
2008-06-28T22:00:00Z,2008-06-28T18:55:34Z,12.55,96.9,0.0450635624408444,0,0,0,0
2008-06-28T22:30:00Z,2008-06-28T19:25:34Z,12.55,97.3,0.0392489092226711,NA,NA,NA,0
2008-06-28T23:00:00Z,2008-06-28T19:55:34Z,12.16,97.6,0.034005081847801,0,0,0,0
2008-06-28T23:30:00Z,2008-06-28T20:25:34Z,11.38,97.3,0.0363354580497564,NA,NA,NA,0
2008-06-29T00:00:00Z,2008-06-28T20:55:34Z,11.38,98,0.0269151541109307,0,0,0,0
2008-06-29T00:30:00Z,2008-06-28T21:25:34Z,11.38,98.7,0.0174948501721048,NA,NA,NA,0
2008-06-29T01:00:00Z,2008-06-28T21:55:34Z,10.99,98.7,0.0170480788365956,0,0,0,0
2008-06-29T01:30:00Z,2008-06-28T22:25:34Z,11.38,99,0.0134575770554652,NA,NA,NA,0
2008-06-29T02:00:00Z,2008-06-28T22:55:34Z,10.99,99,0.0131139067973811,0,0,0,0
2008-06-29T02:30:00Z,2008-06-28T23:25:34Z,10.6,99,0.0127779880174679,NA,NA,NA,0
2008-06-29T03:00:00Z,2008-06-28T23:55:34Z,10.6,97.6,0.0306671712419231,0,0,0,0
2008-06-29T03:30:00Z,2008-06-29T00:25:23Z,10.6,96.9,0.0396117628541506,NA,NA,NA,0
2008-06-29T04:00:00Z,2008-06-29T00:55:23Z,10.6,98,0.025555976034936,0,0,0,0
2008-06-29T04:30:00Z,2008-06-29T01:25:23Z,10.6,98.3,0.0217225796296956,NA,NA,NA,0
2008-06-29T05:00:00Z,2008-06-29T01:55:23Z,10.21,98.3,0.0211644401916655,0,0,0,0
2008-06-29T05:30:00Z,2008-06-29T02:25:23Z,10.6,98.7,0.0166113844227083,NA,NA,NA,0
2008-06-29T06:00:00Z,2008-06-29T02:55:23Z,10.99,99,0.0131139067973811,0,0,0,0
2008-06-29T06:30:00Z,2008-06-29T03:25:23Z,10.99,98.3,0.0222936415555479,NA,NA,NA,0
2008-06-29T07:00:00Z,2008-06-29T03:55:23Z,10.6,97.3,0.0345005676471635,0,0,0,0
2008-06-29T07:30:00Z,2008-06-29T04:25:23Z,10.6,98.7,0.0166113844227083,NA,NA,NA,0
2008-06-29T08:00:00Z,2008-06-29T04:55:23Z,10.99,98.3,0.0222936415555479,0,0,0,0
2008-06-29T08:30:00Z,2008-06-29T05:25:23Z,10.99,98,0.0262278135947624,NA,NA,NA,0
2008-06-29T09:00:00Z,2008-06-29T05:55:23Z,11.38,96.2,0.0511387928107681,1.6727500124999999,0,3.5361935264249995,0
2008-06-29T09:30:00Z,2008-06-29T06:25:23Z,10.99,93.5,0.0852403941829776,NA,NA,NA,0
2008-06-29T10:00:00Z,2008-06-29T06:55:23Z,10.99,95.1,0.0642581433071678,75.11166683833333,0,158.78606369623665,44.754213869947684
