TIMESTAMP,solar_TIMESTAMP,AUT_PAT_TRE_Pce_Js_1,AUT_PAT_TRE_Pce_Js_2,AUT_PAT_TRE_Pce_Js_3
2007-04-21T23:00:00Z,2007-04-21T23:47:14Z,4.353242692965082e-5,4.622481642646252e-5,3.1620427182417605e-5
2007-04-21T23:30:00Z,2007-04-22T00:17:25Z,3.910053960165956e-6,8.28430446068137e-6,2.2111744759390673e-5
2007-04-21T23:59:59Z,2007-04-22T00:47:24Z,0,0,1.7635184285920538e-5
2007-04-22T00:30:00Z,2007-04-22T01:17:25Z,3.910053960165956e-6,1.3675221743900894e-5,1.3375622094903518e-5
2007-04-22T01:00:00Z,2007-04-22T01:47:25Z,3.5920616510655076e-5,5.3550474746043964e-5,5.678188554707649e-6
2007-04-22T01:29:59Z,2007-04-22T02:17:24Z,5.960617018489006e-5,8.492752266899974e-5,2.414767988126352e-6
2007-04-22T02:00:00Z,2007-04-22T02:47:25Z,1.0395447032364661e-4,1.281378868198571e-4,0
2007-04-22T02:30:00Z,2007-04-22T03:17:25Z,1.1344947860800802e-4,1.4651348293020727e-4,5.678188554707649e-6
2007-04-22T02:59:59Z,2007-04-22T03:47:24Z,1.2313531729556837e-4,1.5591947619377202e-4,1.3375622094903518e-5
2007-04-22T03:30:00Z,2007-04-22T04:17:25Z,1.3300638848738936e-4,1.7515310308770764e-4,1.3375622094903518e-5
2007-04-22T04:00:00Z,2007-04-22T04:47:25Z,1.3300638848738936e-4,1.6546690134599265e-4,9.370132362014461e-6
2007-04-22T04:29:59Z,2007-04-22T05:17:24Z,1.532851220719077e-4,1.8497567763665887e-4,1.3375622094903518e-5
2007-04-22T05:00:00Z,2007-04-22T05:47:25Z,1.0395447032364661e-4,8.492752266899974e-5,5.246139149609324e-5
2007-04-22T05:30:00Z,2007-04-22T06:17:25Z,5.143522720051195e-5,2.575460060890284e-5,6.941857810902684e-5
2007-04-22T05:59:59Z,2007-04-22T06:47:24Z,5.960617018489006e-5,6.884758306719315e-5,4.704835714186577e-5
2007-04-22T06:30:00Z,2007-04-22T07:17:25Z,6.80272011520075e-5,1.0172058245974367e-4,6.941857810902684e-5
2007-04-22T07:00:00Z,2007-04-22T07:47:25Z,5.960617018489006e-5,8.492752266899974e-5,3.6619358629760684e-5
2007-04-22T07:29:59Z,2007-04-22T08:17:24Z,2.0693984363062625e-4,2.0502141641953267e-4,1.1920213076543947e-4
2007-04-22T08:00:00Z,2007-04-22T08:47:25Z,4.4548673656978215e-4,3.7129148275132356e-4,2.4308006237314358e-4
2007-04-22T08:30:00Z,2007-04-22T09:17:25Z,6.226994862408269e-4,5.502684086444733e-4,4.066049987641533e-4
