TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,ws,precip,swc_shallow,swc_deep,ppfd_in,vpd,ext_rad
1998-09-30T23:59:59Z,1998-09-30T23:09:47Z,28.14,89.2,-0.98,1.469,0,NA,NA,-2.07172,0.4121845860757621,0
1998-10-01T01:00:00Z,1998-10-01T00:09:48Z,27.92,89.7,-1.176,1.71,0,NA,NA,-2.486064,0.38810254609361455,0
1998-10-01T02:00:00Z,1998-10-01T01:10:06Z,27.47,89.5,-1.176,1.54,0,NA,NA,-2.486064,0.38538901592565855,0
1998-10-01T03:00:00Z,1998-10-01T02:10:06Z,27.13,92.9,-1.176,1.353,0,NA,NA,-2.486064,0.2554639300302481,0
1998-10-01T04:00:00Z,1998-10-01T03:10:06Z,26.89,92.4,-0.981,1.335,0,NA,NA,-2.0738339999999997,0.269633167299902,0
1998-10-01T05:00:00Z,1998-10-01T04:10:06Z,26.4,92.8,-1.177,1.363,0,NA,NA,-2.488178,0.2481873122883186,0
1998-10-01T06:00:00Z,1998-10-01T05:10:06Z,26.02,91.5,-1.177,1.102,0,NA,NA,-2.488178,0.28650346477732297,0
1998-10-01T07:00:00Z,1998-10-01T06:10:06Z,25.44,92,0.589,1.001,0,NA,NA,1.2451459999999999,0.2605467048684012,94.1166285122072
1998-10-01T08:00:00Z,1998-10-01T07:10:06Z,26.53,87.4,144.4,1.174,0,NA,NA,305.2616,0.43766507208149713,427.1050297963042
1998-10-01T09:00:00Z,1998-10-01T08:10:06Z,29.08,72.1,392.7,1.999,0,NA,NA,830.1677999999999,1.1243938266703286,729.505816598487
1998-10-01T10:00:00Z,1998-10-01T09:10:06Z,31.96,59.33,630.6,1.972,0,NA,NA,1333.0883999999999,1.9319533608519233,980.7016867497515
1998-10-01T11:00:00Z,1998-10-01T10:10:06Z,34.35,47.98,832,1.441,0,NA,NA,1758.848,2.8248065769265955,1163.566439692986
1998-10-01T12:00:00Z,1998-10-01T11:10:06Z,36.57,41.34,963,1.439,0,NA,NA,2035.782,3.599193052533099,1265.6326158865347
