TIMESTAMP,solar_TIMESTAMP,ESP_SAN_A2_45I_Oeu_Jt_1,ESP_SAN_A2_45I_Oeu_Jt_2,ESP_SAN_A2_45I_Oeu_Jt_3
2013-06-11T23:00:00Z,2013-06-11T22:36:38Z,9.913459837728195e-4,0.0012966807789473683,6.908620390455531e-4
2013-06-11T23:30:00Z,2013-06-11T23:06:38Z,9.173844624746451e-4,0.0010004124631578949,6.908620390455531e-4
2013-06-12T00:00:00Z,2013-06-11T23:36:38Z,9.842955983772822e-4,0.0013047414105263157,6.908620390455531e-4
2013-06-12T00:30:00Z,2013-06-12T00:06:26Z,9.591300202839758e-4,0.0013936280631578948,6.908620390455531e-4
2013-06-12T01:00:00Z,2013-06-12T00:36:26Z,9.304089452332659e-4,0.001092863852631579,6.908620390455531e-4
2013-06-12T01:30:00Z,2013-06-12T01:06:26Z,9.59721845841785e-4,0.0011538842105263158,6.908620390455531e-4
2013-06-12T02:00:00Z,2013-06-12T01:36:26Z,9.924896146044626e-4,0.0011718842526315788,6.908620390455531e-4
2013-06-12T02:30:00Z,2013-06-12T02:06:26Z,9.671843610547669e-4,0.0013075860842105263,6.908620390455531e-4
2013-06-12T03:00:00Z,2013-06-12T02:36:26Z,9.733034685598379e-4,0.0010695256421052633,6.908620390455531e-4
2013-06-12T03:30:00Z,2013-06-12T03:06:26Z,9.788145436105478e-4,0.001304953305263158,6.908620390455531e-4
2013-06-12T04:00:00Z,2013-06-12T03:36:26Z,9.780902028397567e-4,0.0012842107157894737,6.908620390455531e-4
2013-06-12T04:30:00Z,2013-06-12T04:06:26Z,9.473486004056796e-4,0.0011294401263157894,6.908620390455531e-4
2013-06-12T05:00:00Z,2013-06-12T04:36:26Z,0.0010548982352941178,0.001408077747368421,6.908620390455531e-4
2013-06-12T05:30:00Z,2013-06-12T05:06:26Z,0.001577304178498986,0.002998887052631579,9.522733188720174e-4
2013-06-12T06:00:00Z,2013-06-12T05:36:26Z,0.00195354906693712,0.003888707663157895,0.001437084251626898
2013-06-12T06:30:00Z,2013-06-12T06:06:26Z,0.0021554729614604467,0.005720219452631579,0.001730818611713666
2013-06-12T07:00:00Z,2013-06-12T06:36:26Z,0.0024613956997971607,0.006112689263157895,0.0026385596529284166
2013-06-12T07:30:00Z,2013-06-12T07:06:26Z,0.0026196034888438134,0.004702321807434295,0.0031958490672451194
2013-06-12T08:00:00Z,2013-06-12T07:36:26Z,0.0021026061663286006,0.006674454147368422,0.003127985639913232
2013-06-12T08:30:00Z,2013-06-12T08:06:26Z,0.0024805212981744425,0.007376408042105263,0.0033555244251626897
2013-06-12T09:00:00Z,2013-06-12T08:36:26Z,0.0029412934685598383,0.007663257642105263,0.002556457223427332
