TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,ws,precip,swc_shallow,swc_deep,ppfd_in,vpd,ext_rad
1996-03-01T13:59:59Z,1996-03-01T12:46:15Z,,RANGE_WARN,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-01T14:59:59Z,1996-03-01T13:46:15Z,,RANGE_WARN,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-01T15:59:59Z,1996-03-01T14:46:15Z,,RANGE_WARN,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-01T16:59:59Z,1996-03-01T15:46:15Z,,RANGE_WARN,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-01T17:59:59Z,1996-03-01T16:46:15Z,,RANGE_WARN,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-01T18:59:59Z,1996-03-01T17:46:15Z,,RANGE_WARN,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-01T19:59:59Z,1996-03-01T18:46:15Z,,RANGE_WARN,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-01T20:59:59Z,1996-03-01T19:46:15Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-01T21:59:59Z,1996-03-01T20:46:15Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-01T22:59:59Z,1996-03-01T21:46:15Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-01T23:59:59Z,1996-03-01T22:46:15Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T00:59:59Z,1996-03-01T23:46:15Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T01:59:59Z,1996-03-02T00:46:27Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T02:59:59Z,1996-03-02T01:46:27Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T03:59:59Z,1996-03-02T02:46:27Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T04:59:59Z,1996-03-02T03:46:27Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T05:59:59Z,1996-03-02T04:46:27Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T06:59:59Z,1996-03-02T05:46:27Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T07:59:59Z,1996-03-02T06:46:27Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T08:59:59Z,1996-03-02T07:46:27Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T09:59:59Z,1996-03-02T08:46:27Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T10:59:59Z,1996-03-02T09:46:27Z,,RANGE_WARN,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T11:59:59Z,1996-03-02T10:46:27Z,,RANGE_WARN,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T12:59:59Z,1996-03-02T11:46:27Z,,RANGE_WARN,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T13:59:59Z,1996-03-02T12:46:27Z,,RANGE_WARN,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T14:59:59Z,1996-03-02T13:46:27Z,,RANGE_WARN,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T15:59:59Z,1996-03-02T14:46:27Z,,RANGE_WARN,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T16:59:59Z,1996-03-02T15:46:27Z,,RANGE_WARN,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T17:59:59Z,1996-03-02T16:46:27Z,,RANGE_WARN,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T18:59:59Z,1996-03-02T17:46:27Z,,RANGE_WARN,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T19:59:59Z,1996-03-02T18:46:27Z,,RANGE_WARN,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T20:59:59Z,1996-03-02T19:46:27Z,,RANGE_WARN,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T21:59:59Z,1996-03-02T20:46:27Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T22:59:59Z,1996-03-02T21:46:27Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-02T23:59:59Z,1996-03-02T22:46:27Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T00:59:59Z,1996-03-02T23:46:27Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T01:59:59Z,1996-03-03T00:46:40Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T02:59:59Z,1996-03-03T01:46:40Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T03:59:59Z,1996-03-03T02:46:40Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T04:59:59Z,1996-03-03T03:46:40Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T05:59:59Z,1996-03-03T04:46:40Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T06:59:59Z,1996-03-03T05:46:40Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T07:59:59Z,1996-03-03T06:46:40Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T08:59:59Z,1996-03-03T07:46:40Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T09:59:59Z,1996-03-03T08:46:40Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T10:59:59Z,1996-03-03T09:46:40Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T11:59:59Z,1996-03-03T10:46:40Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T12:59:59Z,1996-03-03T11:46:40Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T13:59:59Z,1996-03-03T12:46:40Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T14:59:59Z,1996-03-03T13:46:40Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T15:59:59Z,1996-03-03T14:46:40Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T16:59:59Z,1996-03-03T15:46:40Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T17:59:59Z,1996-03-03T16:46:40Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T18:59:59Z,1996-03-03T17:46:40Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T19:59:59Z,1996-03-03T18:46:40Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T20:59:59Z,1996-03-03T19:46:40Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T21:59:59Z,1996-03-03T20:46:40Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T22:59:59Z,1996-03-03T21:46:40Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-03T23:59:59Z,1996-03-03T22:46:40Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T00:59:59Z,1996-03-03T23:46:40Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T02:00:00Z,1996-03-04T00:46:55Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T03:00:00Z,1996-03-04T01:46:55Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T04:00:00Z,1996-03-04T02:46:55Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T05:00:00Z,1996-03-04T03:46:55Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T06:00:00Z,1996-03-04T04:46:55Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T07:00:00Z,1996-03-04T05:46:55Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T08:00:00Z,1996-03-04T06:46:55Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T09:00:00Z,1996-03-04T07:46:55Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1996-03-04T10:00:00Z,1996-03-04T08:46:55Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
