TIMESTAMP,solar_TIMESTAMP,AUT_PAT_KRU_Pce_Js_1,AUT_PAT_KRU_Pce_Js_2,AUT_PAT_KRU_Pce_Js_3
2007-04-21T23:00:00Z,2007-04-21T23:47:14Z,0.00902343458121528,0.007818720437252397,0.009465432623002428
2007-04-21T23:30:00Z,2007-04-22T00:17:25Z,0.008369370432519585,0.007818720437252397,0.008957466879943596
2007-04-21T23:59:59Z,2007-04-22T00:47:24Z,0.008628346456942696,0.00840120161255192,0.009594488229049796
2007-04-22T00:30:00Z,2007-04-22T01:17:25Z,0.008890850076479892,0.008639392218770919,0.009855104338023515
2007-04-22T01:00:00Z,2007-04-22T01:47:25Z,0.00915691293729452,0.008880589957225099,0.009855104338023515
2007-04-22T01:29:59Z,2007-04-22T02:17:24Z,0.008890850076479892,0.009372110082286065,0.010119087728972994
2007-04-22T02:00:00Z,2007-04-22T02:47:25Z,0.00929128927057705,0.010132609874580771,0.010794001491374708
2007-04-22T02:30:00Z,2007-04-22T03:17:25Z,0.009562752710193257,0.010262114481370193,0.01107004179267377
2007-04-22T02:59:59Z,2007-04-22T03:47:24Z,0.009562752710193257,0.00987597641624376,0.01107004179267377
2007-04-22T03:30:00Z,2007-04-22T04:17:25Z,0.009699848405799731,0.01000389842621356,0.011490725620233525
2007-04-22T04:00:00Z,2007-04-22T04:47:25Z,0.00997678972628364,0.009372110082286065,0.011490725620233525
2007-04-22T04:29:59Z,2007-04-22T05:17:24Z,0.010399144477687038,0.01000389842621356,0.012064202233384013
2007-04-22T05:00:00Z,2007-04-22T05:47:25Z,0.010257427706170484,0.011056012983999015,0.01191947212158338
2007-04-22T05:30:00Z,2007-04-22T06:17:25Z,0.006652886526750607,0.013024937926791961,0.007280681107756984
2007-04-22T05:59:59Z,2007-04-22T06:47:24Z,0.004381281990529412,0.015488028594985812,2.54496831688251e-4
2007-04-22T06:30:00Z,2007-04-22T07:17:25Z,0.002628732827872015,0.015812857712968982,0
2007-04-22T07:00:00Z,2007-04-22T07:47:25Z,0.0012414525805169358,0.004146870689146554,0.002027474614673212
2007-04-22T07:29:59Z,2007-04-22T08:17:24Z,0.001310994907732003,0,0.0058586459474382355
2007-04-22T08:00:00Z,2007-04-22T08:47:25Z,0.002135550637188199,0.00353528834541383,0.011632738782629177
2007-04-22T08:30:00Z,2007-04-22T09:17:25Z,0.0025444855147373074,0.010392416015862348,0.017209526878517057
2007-04-22T08:59:59Z,2007-04-22T09:47:24Z,0.0014528925324933833,0.012302543614065858,0.02597465711679036
2007-04-22T09:30:00Z,2007-04-22T10:17:25Z,0.0019002040706076074,0.014381286794184411,0.030163738495224513
2007-04-22T10:00:00Z,2007-04-22T10:47:25Z,0.0012414525805169358,0.012302543614065858,0.020392778344471854
2007-04-22T10:29:59Z,2007-04-22T11:17:24Z,0.0011052594606285886,0.014849926765671368,0.020392778344471854
2007-04-22T11:00:00Z,2007-04-22T11:47:25Z,0.003423151869632238,0.017845692049699078,0.019612882581920288
2007-04-22T11:30:00Z,2007-04-22T12:17:25Z,0.0038923332206081255,0.018556444939446387,0.01668218136686034
2007-04-22T11:59:59Z,2007-04-22T12:47:24Z,0.0025444855147373074,0.01630745342943651,0.015323388942430379
2007-04-22T12:30:00Z,2007-04-22T13:17:25Z,6.023031014386748e-4,0.010392416015862348,0.014188982346241892
2007-04-22T13:00:00Z,2007-04-22T13:47:25Z,3.2791839286520083e-4,0.009496910554687375,0.013408605845268134
2007-04-22T13:29:59Z,2007-04-22T14:17:24Z,5.878853171987091e-5,0.012445285140627737,0.01403094468130091
2007-04-22T14:00:00Z,2007-04-22T14:47:25Z,2.4994260628624414e-5,0.013468930965992625,0.012064202233384013
2007-04-22T14:30:00Z,2007-04-22T15:17:25Z,6.023031014386748e-4,0.013172046310826632,0.012503907203923042
2007-04-22T14:59:59Z,2007-04-22T15:47:24Z,4.883207409895003e-4,0.01287871237371319,0.011490725620233525
2007-04-22T15:30:00Z,2007-04-22T16:17:25Z,3.2791839286520083e-4,0.0133200423610565,0.01107004179267377
2007-04-22T16:00:00Z,2007-04-22T16:47:25Z,0,0.014073510585316104,0.017209526878517057
2007-04-22T16:29:59Z,2007-04-22T17:17:24Z,0.0015252205288244021,0.017845692049699078,0.018665229231991383
2007-04-22T17:00:00Z,2007-04-22T17:47:25Z,0.00237843872063483,0.01564995689818202,0.012652330997593931
2007-04-22T17:30:00Z,2007-04-22T18:17:25Z,0.006652886526750607,0.01564995689818202,0.01565673747329225
2007-04-22T17:59:59Z,2007-04-22T18:47:24Z,0.00915691293729452,0.014536564703388152,0.016164646990436304
2007-04-22T18:30:00Z,2007-04-22T19:17:25Z,0.010116644343718704,0.01361871706773032,0.01548954180988314
2007-04-22T19:00:00Z,2007-04-22T19:47:25Z,0.010685397239841365,0.014226937178404635,0.015323388942430379
2007-04-22T19:29:59Z,2007-04-22T20:17:24Z,0.010257427706170484,0.01376940566227173,0.013873894032008878
2007-04-22T20:00:00Z,2007-04-22T20:47:25Z,0.009699848405799731,0.01174012698502259,0.012652330997593931
2007-04-22T20:30:00Z,2007-04-22T21:17:25Z,0.008628346456942696,0.009496910554687375,0.01107004179267377
2007-04-22T20:59:59Z,2007-04-22T21:47:24Z,0.00902343458121528,0.008880589957225099,0.010794001491374708
2007-04-22T21:30:00Z,2007-04-22T22:17:25Z,0.008759155365052323,0.008519922593861291,0.010119087728972994
2007-04-22T22:00:00Z,2007-04-22T22:47:25Z,0.007987454114972443,0.008880589957225099,0.009337206612715244
