TIMESTAMP,solar_TIMESTAMP,ESP_SAN_A_45I_Oeu_Jt_1,ESP_SAN_A_45I_Oeu_Jt_2,ESP_SAN_A_45I_Oeu_Jt_3
2014-04-20T23:08:00Z,2014-04-20T22:46:03Z,7.525598543689321e-4,0.0010425444113029826,5.789918340611354e-4
2014-04-20T23:38:00Z,2014-04-20T23:16:03Z,7.134673300970874e-4,0.0010773087127158556,6.590355240174673e-4
2014-04-21T00:08:00Z,2014-04-20T23:46:03Z,7.126767637540452e-4,8.06900722135008e-4,5.789918340611354e-4
2014-04-21T00:38:00Z,2014-04-21T00:16:14Z,7.952123300970875e-4,0.0010215970015698588,5.840598471615721e-4
2014-04-21T01:08:00Z,2014-04-21T00:46:14Z,7.126767637540452e-4,8.919075039246469e-4,6.037336899563318e-4
2014-04-21T01:38:00Z,2014-04-21T01:16:14Z,8.65913721682848e-4,0.0010738708006279435,6.008409825327512e-4
2014-04-21T02:08:00Z,2014-04-21T01:46:14Z,7.527153559870551e-4,9.804332653061225e-4,7.025605458515284e-4
2014-04-21T02:38:00Z,2014-04-21T02:16:14Z,7.764615048543689e-4,0.0010072411616954475,6.487497161572053e-4
2014-04-21T03:08:00Z,2014-04-21T02:46:14Z,8.00615372168285e-4,0.0010853240659340659,6.139170742358079e-4
2014-04-21T03:38:00Z,2014-04-21T03:16:14Z,8.619375242718448e-4,0.001158165557299843,6.534106113537119e-4
2014-04-21T04:08:00Z,2014-04-21T03:46:14Z,7.727586084142396e-4,9.24850251177394e-4,6.334300218340612e-4
2014-04-21T04:38:00Z,2014-04-21T04:16:14Z,8.113624595469256e-4,9.40904819466248e-4,6.008409825327512e-4
2014-04-21T05:08:00Z,2014-04-21T04:46:14Z,8.155266666666668e-4,7.968827001569858e-4,6.124331441048035e-4
2014-04-21T05:38:00Z,2014-04-21T05:16:14Z,7.126767637540452e-4,8.902355102040816e-4,5.972817248908297e-4
2014-04-21T06:08:00Z,2014-04-21T05:46:14Z,7.126767637540452e-4,8.231054945054945e-4,5.819263755458515e-4
2014-04-21T06:38:00Z,2014-04-21T06:16:14Z,7.637153398058253e-4,8.435655572998431e-4,6.188521615720524e-4
