TIMESTAMP,solar_TIMESTAMP,GBR_GUI_ST3_Psy_Js_1,GBR_GUI_ST3_Psy_Js_2,GBR_GUI_ST3_Psy_Js_3,GBR_GUI_ST3_Psy_Js_4,GBR_GUI_ST3_Psy_Js_5,GBR_GUI_ST3_Psy_Js_6,GBR_GUI_ST3_Psy_Js_7,GBR_GUI_ST3_Psy_Js_8
2003-05-26T11:30:00Z,2003-05-26T11:13:11Z,0.0035571621186896245,7.155048251168229e-4,0.0035341493842292065,0.006732826366482093,0.0022344362375443477,0.00586186441829026,0.003614666347063145,0.0025224787410719784
2003-05-26T11:45:00Z,2003-05-26T11:28:11Z,0.003975818906933307,8.814414036521323e-4,0.004182673732141205,0.0075839247534673125,0.0025183896364243978,0.006582871968114622,0.00421775195515662,0.00307242786537866
2003-05-26T12:00:00Z,2003-05-26T11:43:11Z,0.004047813144118886,9.417371638708588e-4,0.00416211882515351,0.007776395087440834,0.0028713960309326605,0.006683630969345705,0.004442874376112133,0.0030315885341169707
2003-05-26T12:15:00Z,2003-05-26T11:58:11Z,0.0042816315893570095,0.001048879911323394,0.004489465137989423,0.008311456242881505,0.0029087501942803014,0.006685071778501719,0.004526492620423941,0.0032961179081104843
2003-05-26T12:30:00Z,2003-05-26T12:13:11Z,0.00451261769796273,0.0011553818905024177,0.004816089445545657,0.009016479216050085,0.0034247880069019038,0.007021617503807065,0.0045364850826452386,0.003362674539400356
2003-05-26T12:45:00Z,2003-05-26T12:28:11Z,0.004674607054371342,0.0012306299680126757,0.005149224212496671,0.009306779898682544,0.003311021392574192,0.007241607587761719,0.004970843128678116,0.003607955475160309
2003-05-26T13:00:00Z,2003-05-26T12:43:11Z,0.00452967032175971,0.0012605716926027655,0.004975743514318974,0.0092880058617284475,0.0033825288252285657,0.007201560909184629,0.0048100539535304585,0.003556947257805791
2003-05-26T13:15:00Z,2003-05-26T12:58:11Z,0.0047026504544557465,0.0013189864365349183,0.005275128841284267,0.009589208982795234,0.0033771595582105605,0.0072223326560991435,0.005155868672964654,0.003700544359425574
2003-05-26T13:30:00Z,2003-05-26T13:13:11Z,0.004659534596332184,0.0013572470057526276,0.005109804433597068,0.00918719935051125,0.003524259874366902,0.00694618290304617,0.005041275956770418,0.00349623776373274
2003-05-26T13:45:00Z,2003-05-26T13:28:11Z,0.004396468989224991,0.0012471129371246557,0.004661558425100254,0.008527427848712113,0.0031927166181736134,0.006686332262471737,0.004626211864763737,0.0033790863486800773
