TIMESTAMP,solar_TIMESTAMP,GBR_ABE_PLO_Psi_Jt_1,GBR_ABE_PLO_Psi_Jt_2,GBR_ABE_PLO_Psi_Jt_3,GBR_ABE_PLO_Psi_Jt_4,GBR_ABE_PLO_Psi_Jt_5,GBR_ABE_PLO_Psi_Jt_6,GBR_ABE_PLO_Psi_Jt_7,GBR_ABE_PLO_Psi_Jt_8,GBR_ABE_PLO_Psi_Jt_9,GBR_ABE_PLO_Psi_Jt_10,GBR_ABE_PLO_Psi_Jt_11,GBR_ABE_PLO_Psi_Jt_12,GBR_ABE_PLO_Psi_Jt_13,GBR_ABE_PLO_Psi_Jt_14,GBR_ABE_PLO_Psi_Jt_15
2001-04-18T13:00:00Z,2001-04-18T12:45:38Z,5.065974414808902e-4,5.599841061011084e-4,9.655659973403003e-4,8.711854065283043e-4,6.426136172911533e-4,4.515525127215829e-4,5.224925050834506e-4,4.1048386243566954e-4,7.913076489343151e-4,0,0,0,0,0,0
2001-04-18T13:30:00Z,2001-04-18T13:15:38Z,5.123663478788464e-4,5.984196945730019e-4,0.0010239027926749733,0.0010273094743419562,7.446417415128152e-4,4.824772854979131e-4,5.879465408040242e-4,4.689137210021333e-4,8.025102991098843e-4,0,0,0,0,0,0
2001-04-18T14:00:00Z,2001-04-18T13:45:38Z,5.065974414808902e-4,5.919617898420479e-4,0.0010239027926749733,0.0010575589250740613,7.726313670517847e-4,5.086797327345678e-4,6.000872879748767e-4,4.7433054237356497e-4,7.913076489343151e-4,0,0,0,0,0,0
2001-04-18T14:30:00Z,2001-04-18T14:15:38Z,4.223129894822417e-4,5.285291859730755e-4,9.655659973403003e-4,0.0010373583135436942,7.446417415128152e-4,4.981519281359631e-4,5.819037262408488e-4,4.5813221298421624e-4,7.415264003000041e-4,0,0,0,0,0,0
2001-04-18T15:00:00Z,2001-04-18T14:45:38Z,4.113983166070326e-4,5.347781344998457e-4,8.943106996755403e-4,0.0010373583135436942,7.446417415128152e-4,4.721059205351511e-4,5.638858251798241e-4,4.474204818161026e-4,6.820884506009465e-4,0,0,0,0,0,0
2001-04-18T15:30:00Z,2001-04-18T15:15:38Z,3.6851824228001135e-4,5.223013328844564e-4,8.317626184999079e-4,0.0010273094743419562,7.238650311601981e-4,4.515525127215829e-4,5.401209184049577e-4,4.209486463766072e-4,6.346139546379143e-4,0,0,0,0,0,0
2001-04-18T16:00:00Z,2001-04-18T15:45:38Z,3.2690983657643357e-4,4.976017124630808e-4,7.976617379569621e-4,0.001017294926906232,7.032734285045084e-4,4.2119998685679087e-4,5.166537334266118e-4,3.846352585794471e-4,5.93294559115776e-4,0,0,0,0,0,0
2001-04-18T16:30:00Z,2001-04-18T16:15:38Z,2.965625788285127e-4,4.6119269739922216e-4,7.374493253863483e-4,9.481522946075274e-4,6.626472277724238e-4,3.865233949820249e-4,4.8201594710795725e-4,3.4921030236999913e-4,5.478090332410092e-4,0,0,0,0,0,0
2001-04-18T17:00:00Z,2001-04-18T16:45:38Z,2.1942111566990494e-4,3.8499477292587103e-4,6.341372914867916e-4,7.964089465273205e-4,5.643570073881215e-4,3.3366803060435923e-4,4.1479952466654105e-4,2.85856244610801e-4,4.7918393326993957e-4,0,0,0,0,0,0
2001-04-18T17:30:00Z,2001-04-18T17:15:38Z,1.7861334217154654e-4,3.234858038378321e-4,5.537534254954559e-4,6.971795277806311e-4,5.014660774562955e-4,2.8741139912213915e-4,3.556591990543943e-4,2.4393195002576424e-4,4.178292385451292e-4,0,0,0,0,0,0
2001-04-18T18:00:00Z,2001-04-18T17:45:38Z,1.3567749420049412e-4,2.7527543767144516e-4,4.6504622208968496e-4,5.686293143437408e-4,4.170499769732936e-4,2.3859643120730127e-4,2.939519538830778e-4,2.0807156726181193e-4,3.5438233565421144e-4,0,0,0,0,0,0
2001-04-18T18:30:00Z,2001-04-18T18:15:38Z,9.557723032307728e-5,2.092085699193609e-4,0.00036450464157313813,4.1729511873986964e-4,3.095425981993558e-4,1.9208022145490426e-4,2.258819982124081e-4,1.6107309758799467e-4,2.8116308106502114e-4,0,0,0,0,0,0
2001-04-18T19:00:00Z,2001-04-18T18:45:38Z,5.881929580014057e-5,1.3428722794140967e-4,2.5584174381190414e-4,2.7271182697620054e-4,1.960641807125921e-4,1.4033563731549937e-4,1.5374962520773634e-4,1.131647265078589e-4,2.007773035388368e-4,0,0,0,0,0,0
2001-04-18T19:30:00Z,2001-04-18T19:15:38Z,3.873607565438143e-5,8.75346416069977e-5,1.8445284535240802e-4,1.8766711289850443e-4,1.3083557995614403e-4,9.607559378582309e-5,0.00010023467737540561,7.633079117021805e-5,1.37888774764294e-4,0,0,0,0,0,0
2001-04-18T20:00:00Z,2001-04-18T19:45:38Z,4.5240827449382166e-5,6.399436057236812e-5,1.3155951782475888e-4,1.3349817555519228e-4,8.818619266432087e-5,6.547273157477302e-5,6.63859876902742e-5,5.254203424100862e-5,9.696366851010848e-5,0,0,0,0,0,0
2001-04-18T20:30:00Z,2001-04-18T20:15:38Z,3.2225286636988394e-6,3.195437096386758e-5,8.303310589009212e-5,7.865009447561395e-5,5.6923371796889415e-5,4.655147947311578e-5,4.2291922658059064e-5,3.983225666436938e-5,6.848338766483292e-5,0,0,0,0,0,0
2001-04-18T21:00:00Z,2001-04-18T20:45:38Z,0,1.6410725803480272e-5,5.0129603673943706e-5,4.9052382686117276e-5,3.2190363823984e-5,3.4725041125750324e-5,2.6589262880485682e-5,2.7892648882368694e-5,4.507675520692804e-5,0,0,0,0,0,0
2001-04-18T21:30:00Z,2001-04-18T21:15:38Z,2.638323903056864e-5,1.3567121097292978e-5,3.0324873359999473e-5,3.109462370181989e-5,1.653161008732434e-5,2.634405897416543e-5,1.793732986692321e-5,1.4329541481837346e-5,2.3943645760213976e-5,0,0,0,0,0,0
2001-04-18T22:00:00Z,2001-04-18T21:45:38Z,2.638323903056864e-5,5.772117683671176e-6,1.557620302991838e-5,1.5037020833307466e-5,5.814548209332064e-6,1.8460708425868375e-5,1.0042812140518354e-5,5.041446323283174e-6,1.017446185133461e-5,0,0,0,0,0,0
2001-04-18T22:30:00Z,2001-04-18T22:15:38Z,5.309634204623171e-6,5.772117683671176e-6,1.8368530134708418e-5,8.00793125225983e-6,3.528801311938228e-6,1.353613917977013e-5,7.627426304059935e-6,3.05982652894247e-6,8.126126052634842e-6,0,0,0,0,0,0
2001-04-18T23:00:00Z,2001-04-18T22:45:38Z,4.856699814114087e-5,5.772117683671176e-6,1.4167651967293594e-6,4.858975943741611e-6,1.503363338753388e-6,4.762917853634161e-6,3.24754781248882e-6,0,0,0,0,0,0,0,0
2001-04-18T23:30:00Z,2001-04-18T23:15:38Z,9.96529410841598e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-04-19T00:00:00Z,2001-04-18T23:45:38Z,2.041727466235929e-5,8.192575592285743e-5,8.152900146551449e-5,0,2.8686711517758997e-5,3.722385648548186e-5,4.180679016715492e-5,6.159673093850471e-5,1.2754327400127697e-4,0,0,0,0,0,0
