TIMESTAMP,solar_TIMESTAMP,ARG_MAZ_Npu_Jt_1,ARG_MAZ_Npu_Jt_2,ARG_MAZ_Npu_Jt_3,ARG_MAZ_Npu_Jt_4,ARG_MAZ_Npu_Jt_5
2009-11-22T19:00:00Z,2009-11-22T14:23:10Z,,,,,
2009-11-22T20:00:00Z,2009-11-22T15:23:10Z,,,,,
2009-11-22T21:00:00Z,2009-11-22T16:23:10Z,,,,,
2009-11-22T22:00:00Z,2009-11-22T17:23:10Z,,,,,
2009-11-22T23:00:00Z,2009-11-22T18:23:10Z,,,,,
2009-11-23T00:00:00Z,2009-11-22T19:23:10Z,,,,,
2009-11-23T01:00:00Z,2009-11-22T20:23:10Z,,,,,
2009-11-23T02:00:00Z,2009-11-22T21:23:10Z,,,,,
2009-11-23T03:00:00Z,2009-11-22T22:23:10Z,,,,,
2009-11-23T04:00:00Z,2009-11-22T23:23:10Z,,,,,
2009-11-23T05:00:00Z,2009-11-23T00:22:51Z,,,,,
2009-11-23T06:00:00Z,2009-11-23T01:22:51Z,,,,,
2009-11-23T07:00:00Z,2009-11-23T02:22:51Z,,,,,
2009-11-23T08:00:00Z,2009-11-23T03:22:51Z,,,,,
2009-11-23T09:00:01Z,2009-11-23T04:22:52Z,,,,,
2009-11-23T10:00:01Z,2009-11-23T05:22:52Z,,,,,
2009-11-23T11:00:02Z,2009-11-23T06:22:53Z,,,,,
2009-11-23T12:00:02Z,2009-11-23T07:22:53Z,,,,,
2009-11-23T13:00:03Z,2009-11-23T08:22:54Z,,,,,
2009-11-23T14:00:03Z,2009-11-23T09:22:54Z,,,,,
2009-11-23T15:00:04Z,2009-11-23T10:22:55Z,,,,,
2009-11-23T16:00:04Z,2009-11-23T11:22:55Z,,,,,
2009-11-23T17:00:05Z,2009-11-23T12:22:56Z,,,,,
2009-11-23T18:00:05Z,2009-11-23T13:22:56Z,,,,,
2009-11-23T19:00:06Z,2009-11-23T14:22:57Z,,,,,
2009-11-23T20:00:06Z,2009-11-23T15:22:57Z,,,,,
2009-11-23T21:00:07Z,2009-11-23T16:22:58Z,,,,,
2009-11-23T22:00:07Z,2009-11-23T17:22:58Z,,,,,
2009-11-23T23:00:08Z,2009-11-23T18:22:59Z,,,,,
2009-11-24T00:00:08Z,2009-11-23T19:22:59Z,,,,,
2009-11-24T01:00:09Z,2009-11-23T20:23:00Z,,,,,
2009-11-24T02:00:09Z,2009-11-23T21:23:00Z,,,,,
2009-11-24T03:00:10Z,2009-11-23T22:23:01Z,,,,,
2009-11-24T04:00:10Z,2009-11-23T23:23:01Z,,,,,
2009-11-24T05:00:11Z,2009-11-24T00:22:43Z,,,,,
2009-11-24T06:00:11Z,2009-11-24T01:22:43Z,,,,,
2009-11-24T07:00:12Z,2009-11-24T02:22:44Z,,,,,
2009-11-24T08:00:12Z,2009-11-24T03:22:44Z,,,,,
2009-11-24T09:00:13Z,2009-11-24T04:22:45Z,,,,,
2009-11-24T10:00:13Z,2009-11-24T05:22:45Z,,,,,
2009-11-24T11:00:14Z,2009-11-24T06:22:46Z,,,,,
2009-11-24T12:00:14Z,2009-11-24T07:22:46Z,,,,,
2009-11-24T13:00:15Z,2009-11-24T08:22:47Z,,,,,
2009-11-24T14:00:15Z,2009-11-24T09:22:47Z,,,,,
2009-11-24T15:00:16Z,2009-11-24T10:22:48Z,,,,,
2009-11-24T16:00:16Z,2009-11-24T11:22:48Z,,,,,
2009-11-24T17:00:17Z,2009-11-24T12:22:49Z,,,,,
2009-11-24T18:00:17Z,2009-11-24T13:22:49Z,,,,,
2009-11-24T19:00:18Z,2009-11-24T14:22:50Z,,,,,
2009-11-24T20:00:18Z,2009-11-24T15:22:50Z,,,,,
2009-11-24T21:00:19Z,2009-11-24T16:22:51Z,,,,,
2009-11-24T22:00:19Z,2009-11-24T17:22:51Z,,,,,
2009-11-24T23:00:20Z,2009-11-24T18:22:52Z,,,,,
2009-11-25T00:00:20Z,2009-11-24T19:22:52Z,,,,,
2009-11-25T01:00:21Z,2009-11-24T20:22:53Z,,,,,
2009-11-25T02:00:21Z,2009-11-24T21:22:53Z,,,,,
2009-11-25T03:00:22Z,2009-11-24T22:22:54Z,,,,,
2009-11-25T04:00:22Z,2009-11-24T23:22:54Z,,,,,
2009-11-25T05:00:23Z,2009-11-25T00:22:35Z,,,,,
2009-11-25T06:00:23Z,2009-11-25T01:22:35Z,,,,,
2009-11-25T07:00:24Z,2009-11-25T02:22:36Z,,,,,
2009-11-25T08:00:24Z,2009-11-25T03:22:36Z,,,,,
2009-11-25T09:00:25Z,2009-11-25T04:22:37Z,,,,,
2009-11-25T10:00:25Z,2009-11-25T05:22:37Z,,,,,
2009-11-25T11:00:26Z,2009-11-25T06:22:38Z,,,,,
2009-11-25T12:00:26Z,2009-11-25T07:22:38Z,,,,,
2009-11-25T13:00:27Z,2009-11-25T08:22:39Z,,,,,
2009-11-25T14:00:27Z,2009-11-25T09:22:39Z,,,,,
2009-11-25T15:00:28Z,2009-11-25T10:22:40Z,,,,,
2009-11-25T16:00:28Z,2009-11-25T11:22:40Z,,,,,
2009-11-25T17:00:29Z,2009-11-25T12:22:41Z,,,,,
2009-11-25T18:00:29Z,2009-11-25T13:22:41Z,,,,,
