TIMESTAMP,solar_TIMESTAMP,SEN_SOU_PRE_Ato_Js_1,SEN_SOU_PRE_Ato_Js_2,SEN_SOU_PRE_Ato_Js_3
1996-02-29T00:00:00Z,1996-02-28T22:45:52Z,0.0014425117009768808,4.947338940470245e-4,0.002106204100820874
1996-02-29T01:00:00Z,1996-02-28T23:45:52Z,7.500475572023189e-4,8.783762137628032e-4,0.0010207326848805333
1996-02-29T01:59:59Z,1996-02-29T00:46:02Z,0.0015122056249272475,0.0017662841172052213,7.790201772342318e-4
1996-02-29T02:59:59Z,1996-02-29T01:46:02Z,0.0022233844206045856,0.0021157562830522933,0.0012205130585719345
1996-02-29T03:59:59Z,1996-02-29T02:46:02Z,0.002516865796726144,0.0022759816446245276,6.526705160144541e-4
1996-02-29T04:59:59Z,1996-02-29T03:46:02Z,0.0034296650210711038,0.0017767263386679858,6.643909699345225e-4
1996-02-29T05:59:59Z,1996-02-29T04:46:02Z,0.005834517056253758,0.002492349528846025,0.0015873735343323292
1996-02-29T06:59:59Z,1996-02-29T05:46:02Z,0.008751263362985453,0.0027870042772680527,0.002228724008693102
1996-02-29T07:59:59Z,1996-02-29T06:46:02Z,0.023871586044486935,0.0049671934377817474,0.0074478507367927
1996-02-29T08:59:59Z,1996-02-29T07:46:02Z,0.042214778079468857,0.023271378201230247,0.020593661309559624
1996-02-29T09:59:59Z,1996-02-29T08:46:02Z,0.04709597366058662,0.027715662477907303,0.02525884655411869
1996-02-29T10:59:59Z,1996-02-29T09:46:02Z,0.04753851994765292,0.02537350064052085,0.02606551805793374
1996-02-29T11:59:59Z,1996-02-29T10:46:02Z,0.04656172938787686,0.026421695816961372,0.02728361813007109
1996-02-29T12:59:59Z,1996-02-29T11:46:02Z,0.0457247293872627,0.027383160926600786,0.02746334791016059
1996-02-29T13:59:59Z,1996-02-29T12:46:02Z,0.04430169154658282,0.022888407898458807,0.027188553345303693
1996-02-29T14:59:59Z,1996-02-29T13:46:02Z,0.04455040456535453,0.022296741387979428,0.026277232148864713
1996-02-29T15:59:59Z,1996-02-29T14:46:02Z,0.04314532406970557,0.02274109775049982,0.026871904825663324
1996-02-29T16:59:59Z,1996-02-29T15:46:02Z,0.037811949615347396,0.020209026138881498,0.02443617653478996
1996-02-29T17:59:59Z,1996-02-29T16:46:02Z,0.027024449845038014,0.016382425812120602,0.026014122485023244
1996-02-29T18:59:59Z,1996-02-29T17:46:02Z,0.014043125188983705,0.006197265083304981,0.013607980279260006
1996-02-29T19:59:59Z,1996-02-29T18:46:02Z,0.007809234206867839,0.002926791059083217,0.007860443212737694
1996-02-29T20:59:59Z,1996-02-29T19:46:02Z,0.006063940851736871,0.0020941626164838138,0.005247431934844621
1996-02-29T21:59:59Z,1996-02-29T20:46:02Z,0.0056042997824774406,4.6142736160455076e-4,0.003241973915576831
1996-02-29T22:59:59Z,1996-02-29T21:46:02Z,0.004574348654133991,0.0018792807205314965,0.0027568360259610375
1996-02-29T23:59:59Z,1996-02-29T22:46:02Z,0.0030821479304445278,0.0020503336106974797,0.0021948950128457528
1996-03-01T00:59:59Z,1996-02-29T23:46:02Z,0.0017930076563002749,0.001580471580309238,0.001784847965137334
1996-03-01T01:59:59Z,1996-03-01T00:46:15Z,0.0024031242784881787,0.001220774983168932,0.0010989042834866586
1996-03-01T02:59:59Z,1996-03-01T01:46:15Z,0.0031233965762304926,0.0024068373523112654,0.001394672638749968
1996-03-01T03:59:59Z,1996-03-01T02:46:15Z,0.003231182026078918,0.002249012623701053,0.0012243136562388192
1996-03-01T04:59:59Z,1996-03-01T03:46:15Z,0.004224192242408493,0.0022012278127180084,0.001147914225746152
1996-03-01T05:59:59Z,1996-03-01T04:46:15Z,0.006655179975843261,0.002348876661977044,0.0011729791032691842
1996-03-01T06:59:59Z,1996-03-01T05:46:15Z,0.009261983974826611,0.0026714786855068936,0.0016496465099309079
1996-03-01T07:59:59Z,1996-03-01T06:46:15Z,0.02377184164373638,0.0060585806832708445,0.007973644552420375
1996-03-01T08:59:59Z,1996-03-01T07:46:15Z,0.04153753519698324,0.022134444815053743,0.021292459820946522
1996-03-01T09:59:59Z,1996-03-01T08:46:15Z,0.04669512207457959,0.025904667473883182,0.024823133200770425
1996-03-01T10:59:59Z,1996-03-01T09:46:15Z,0.047092343135186836,0.02605584246586004,0.026543850984544187
1996-03-01T11:59:59Z,1996-03-01T10:46:15Z,0.04638107797027502,0.026867380659845334,0.0273665394497482
1996-03-01T12:59:59Z,1996-03-01T11:46:15Z,0.04463229898042743,0.027152340972229693,0.027451807486815725
1996-03-01T13:59:59Z,1996-03-01T12:46:15Z,0.04194552204204654,0.023971178867142517,0.02672682568628147
1996-03-01T14:59:59Z,1996-03-01T13:46:15Z,0.0402564716885704,0.021825431940459602,0.02464830915470183
1996-03-01T15:59:59Z,1996-03-01T14:46:15Z,0.03762810118109624,0.020956047251066496,0.024809810793036596
1996-03-01T16:59:59Z,1996-03-01T15:46:15Z,0.03228377402472484,0.01739795298612848,0.02118456837539383
1996-03-01T17:59:59Z,1996-03-01T16:46:15Z,0.0228396724969446,0.013894845633005734,0.018272688835912907
1996-03-01T18:59:59Z,1996-03-01T17:46:15Z,0.012470871637810134,0.005682105616380439,0.01062999532719472
1996-03-01T19:59:59Z,1996-03-01T18:46:15Z,0.006735651730023364,0.0021776933565728035,0.006929767809263867
1996-03-01T20:59:59Z,1996-03-01T19:46:15Z,0.004069178639070317,0.001327585229976678,0.004209375301465893
