TIMESTAMP,solar_TIMESTAMP,ESP_SAN_B2_100_Oeu_Jt_1,ESP_SAN_B2_100_Oeu_Jt_2,ESP_SAN_B2_100_Oeu_Jt_3
2013-06-11T23:00:00Z,2013-06-11T22:36:38Z,NA,NA,0.0013712196007259528
2013-06-11T23:30:00Z,2013-06-11T23:06:38Z,NA,NA,0.0015898806352087115
2013-06-12T00:00:00Z,2013-06-11T23:36:38Z,NA,NA,0.001395772613430127
2013-06-12T00:30:00Z,2013-06-12T00:06:26Z,NA,NA,0.0012663632304900183
2013-06-12T01:00:00Z,2013-06-12T00:36:26Z,NA,NA,0.001179369945553539
2013-06-12T01:30:00Z,2013-06-12T01:06:26Z,NA,NA,0.0012327884754990926
2013-06-12T02:00:00Z,2013-06-12T01:36:26Z,NA,NA,0.0011383027041742288
2013-06-12T02:30:00Z,2013-06-12T02:06:26Z,NA,NA,0.001366526442831216
2013-06-12T03:00:00Z,2013-06-12T02:36:26Z,NA,NA,0.0014092900362976408
2013-06-12T03:30:00Z,2013-06-12T03:06:26Z,NA,NA,0.0013300269328493648
2013-06-12T04:00:00Z,2013-06-12T03:36:26Z,NA,NA,0.0012023959165154267
2013-06-12T04:30:00Z,2013-06-12T04:06:26Z,NA,NA,0.0012428680943738658
2013-06-12T05:00:00Z,2013-06-12T04:36:26Z,NA,NA,0.0015029451361161527
2013-06-12T05:30:00Z,2013-06-12T05:06:26Z,NA,NA,0.0027738412885662434
2013-06-12T06:00:00Z,2013-06-12T05:36:26Z,NA,NA,0.003947780762250454
2013-06-12T06:30:00Z,2013-06-12T06:06:26Z,NA,NA,0.004573706751361163
2013-06-12T07:00:00Z,2013-06-12T06:36:26Z,NA,NA,0.00452810390199637
2013-06-12T07:30:00Z,2013-06-12T07:06:26Z,NA,NA,0.005478178765880219
2013-06-12T08:00:00Z,2013-06-12T07:36:26Z,NA,NA,0.006723155662431942
2013-06-12T08:30:00Z,2013-06-12T08:06:26Z,NA,NA,0.00551138332123412
2013-06-12T09:00:00Z,2013-06-12T08:36:26Z,NA,NA,0.005398333539019965
2013-06-12T09:30:00Z,2013-06-12T09:06:26Z,NA,NA,0.005398041742286751
2013-06-12T10:00:00Z,2013-06-12T09:36:26Z,NA,NA,0.004408119673321235
2013-06-12T10:30:00Z,2013-06-12T10:06:26Z,NA,NA,0.005529082794918331
2013-06-12T11:00:00Z,2013-06-12T10:36:26Z,NA,NA,0.005513768529945554
2013-06-12T11:30:00Z,2013-06-12T11:06:26Z,NA,NA,0.005293302558983666
2013-06-12T12:00:00Z,2013-06-12T11:36:26Z,NA,NA,0.0046234353357531765
2013-06-12T12:30:00Z,2013-06-12T12:06:26Z,NA,NA,0.00531011558983666
2013-06-12T13:00:00Z,2013-06-12T12:36:26Z,NA,NA,0.00503669499092559
