TIMESTAMP,solar_TIMESTAMP,FIN_PET_Bpu_Js_1,FIN_PET_Bpu_Js_2,FIN_PET_Bpu_Js_3,FIN_PET_Bpu_Js_4,FIN_PET_Bpu_Js_5,FIN_PET_Bpu_Js_6,FIN_PET_Bpu_Js_7
2008-06-17T04:00:00Z,2008-06-17T05:47:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T04:30:00Z,2008-06-17T06:17:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T05:00:00Z,2008-06-17T06:47:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T05:30:00Z,2008-06-17T07:17:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T06:00:00Z,2008-06-17T07:47:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T06:30:00Z,2008-06-17T08:17:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T07:00:00Z,2008-06-17T08:47:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T07:30:00Z,2008-06-17T09:17:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T08:00:00Z,2008-06-17T09:47:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T08:30:00Z,2008-06-17T10:17:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T09:00:00Z,2008-06-17T10:47:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T09:30:00Z,2008-06-17T11:17:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T10:00:00Z,2008-06-17T11:47:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T10:30:00Z,2008-06-17T12:17:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T11:00:00Z,2008-06-17T12:47:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T11:30:00Z,2008-06-17T13:17:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T12:00:00Z,2008-06-17T13:47:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T12:30:00Z,2008-06-17T14:17:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T13:00:00Z,2008-06-17T14:47:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T13:30:00Z,2008-06-17T15:17:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T14:00:00Z,2008-06-17T15:47:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T14:30:00Z,2008-06-17T16:17:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T15:00:00Z,2008-06-17T16:47:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T15:30:00Z,2008-06-17T17:17:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T16:00:00Z,2008-06-17T17:47:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T16:30:00Z,2008-06-17T18:17:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T17:00:00Z,2008-06-17T18:47:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T17:30:00Z,2008-06-17T19:17:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T18:00:00Z,2008-06-17T19:47:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T18:30:00Z,2008-06-17T20:17:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T19:00:00Z,2008-06-17T20:47:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T19:30:00Z,2008-06-17T21:17:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T20:00:00Z,2008-06-17T21:47:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T20:30:00Z,2008-06-17T22:17:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T21:00:00Z,2008-06-17T22:47:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T21:30:00Z,2008-06-17T23:17:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T22:00:00Z,2008-06-17T23:47:21Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T22:30:00Z,2008-06-18T00:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T23:00:00Z,2008-06-18T00:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-17T23:30:00Z,2008-06-18T01:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T00:00:00Z,2008-06-18T01:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T00:30:00Z,2008-06-18T02:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T01:00:00Z,2008-06-18T02:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T01:30:00Z,2008-06-18T03:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T02:00:00Z,2008-06-18T03:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T02:30:00Z,2008-06-18T04:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T03:00:00Z,2008-06-18T04:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T03:30:00Z,2008-06-18T05:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T04:00:00Z,2008-06-18T05:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T04:30:00Z,2008-06-18T06:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T05:00:00Z,2008-06-18T06:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T05:30:00Z,2008-06-18T07:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T06:00:00Z,2008-06-18T07:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T06:30:00Z,2008-06-18T08:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T07:00:00Z,2008-06-18T08:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T07:30:00Z,2008-06-18T09:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T08:00:00Z,2008-06-18T09:47:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T08:30:00Z,2008-06-18T10:17:09Z,NA,NA,NA,NA,NA,NA,NA
2008-06-18T09:00:00Z,2008-06-18T10:47:09Z,NA,NA,NA,NA,NA,NA,NA
