TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,netrad,ws,precip,swc_shallow,swc_deep,sw_in,ext_rad
2013-06-11T23:00:00Z,2013-06-11T22:36:38Z,18.08,73.27,0.555,0,-58.81,0.254,0,0.1822,0.2936,0,0
2013-06-11T23:30:00Z,2013-06-11T23:06:38Z,17.2,78.17,0.429,0,-55.18,0,0,0.1812,0.2936,0,0
2013-06-12T00:00:00Z,2013-06-11T23:36:38Z,16.26,83.5,0.306,0,-52.88,0,0,0.1802,0.2936,0,0
2013-06-12T00:30:00Z,2013-06-12T00:06:26Z,16.04,82.9,0.311,0,-52.28,0.065,0,0.1792,0.2936,0,0
2013-06-12T01:00:00Z,2013-06-12T00:36:26Z,15.66,82.8,0.307,0,-50.77,0.014,0,0.178,0.2936,0,0
2013-06-12T01:30:00Z,2013-06-12T01:06:26Z,15.37,83.4,0.289,0,-49.64,0,0,0.1773,0.2936,0,0
2013-06-12T02:00:00Z,2013-06-12T01:36:26Z,15.13,85.9,0.243,0,-47.67,0,0,0.1758,0.2936,0,0
2013-06-12T02:30:00Z,2013-06-12T02:06:26Z,15.01,86.1,0.237,0,-47.31,0,0,0.1745,0.2936,0,0
2013-06-12T03:00:00Z,2013-06-12T02:36:26Z,14.79,86.5,0.227,0,-47.99,0.046,0,0.1729,0.2936,0,0
2013-06-12T03:30:00Z,2013-06-12T03:06:26Z,14.6,86,0.233,0,-47.3,0.004,0,0.1721,0.2936,0,0
2013-06-12T04:00:00Z,2013-06-12T03:36:26Z,14.6,84.8,0.253,2.089,-47.31,0.009,0,0.1708,0.2936,0.9880969999999999,0
2013-06-12T04:30:00Z,2013-06-12T04:06:26Z,14.72,83.7,0.272,38.87,-32.14,0,0,0.1701,0.2936,18.385509999999996,0
2013-06-12T05:00:00Z,2013-06-12T04:36:26Z,16.58,75.3,0.469,167.6,6.422,0.039,0,0.1682,0.2936,79.2748,0
2013-06-12T05:30:00Z,2013-06-12T05:06:26Z,18.66,66.24,0.727,353.5,62.3,0.279,0,0.1666,0.2936,167.2055,91.72729435877426
2013-06-12T06:00:00Z,2013-06-12T05:36:26Z,20.88,60.06,0.986,569.7,132.4,0.191,0,0.166,0.2936,269.4681,216.7191856629877
2013-06-12T06:30:00Z,2013-06-12T06:06:26Z,21.86,58.62,1.085,787,214.2,0.616,0,0.1629,0.2936,372.251,343.4011486944467
2013-06-12T07:00:00Z,2013-06-12T06:36:26Z,23.6,54.33,1.33,998,291.4,0.662,0,0.1518,0.2936,472.054,469.60624100135215
2013-06-12T07:30:00Z,2013-06-12T07:06:26Z,24.65,52.6,1.472,1204,368.4,0.468,0,0.148,0.2936,569.492,593.1756776429731
