TIMESTAMP,TIMESTAMP_solar,COL_MAC_SAF_Tca_Js_1,COL_MAC_SAF_Tca_Js_2,COL_MAC_SAF_Tca_Js_3
2015-01-13T23:00:00Z,2015-01-13T17:49:22Z,3.920888571428571e-5,-6.762700801644671e-6,3.2273632865387754e-5
2015-01-13T23:15:00Z,2015-01-13T18:04:22Z,3.602117174734286e-5,-1.2643309350639596e-5,2.6328489583591837e-5
2015-01-13T23:30:00Z,2015-01-13T18:19:22Z,3.2833456824085716e-5,-1.999407136002031e-5,1.910938775510204e-5
2015-01-13T23:45:00Z,2015-01-13T18:34:22Z,3.2833456824085716e-5,-1.6465705877786804e-5,1.3164245110285716e-5
2015-01-14T00:00:00Z,2015-01-13T18:49:22Z,3.2833456824085716e-5,-1.7935857573989845e-5,9.55469387755102e-6
2015-01-14T00:15:00Z,2015-01-13T19:04:22Z,3.2833456824085716e-5,-1.9406010152284267e-5,7.431428783755103e-6
2015-01-14T00:30:00Z,2015-01-13T19:19:22Z,3.3152228890200004e-5,-2.3228405797340106e-5,6.582122236653061e-6
2015-01-14T00:45:00Z,2015-01-13T19:34:22Z,3.155837142857144e-5,-1.9111979989461932e-5,4.034203869306122e-6
2015-01-14T01:00:00Z,2015-01-13T19:49:22Z,3.3152228890200004e-5,-2.0582131685664977e-5,9.767020195836734e-6
2015-01-14T01:15:00Z,2015-01-13T20:04:22Z,3.219591460448571e-5,-1.97000403151066e-5,8.28073469387755e-6
2015-01-14T01:30:00Z,2015-01-13T20:19:22Z,3.3471000000000005e-5,-1.852391878172589e-5,1.1677958971346939e-5
2015-01-14T01:45:00Z,2015-01-13T20:34:22Z,3.155837142857144e-5,-2.2640345471695434e-5,8.705387967428573e-6
2015-01-14T02:00:00Z,2015-01-13T20:49:22Z,3.2833456824085716e-5,-2.1464223056223353e-5,8.705387967428573e-6
2015-01-14T02:15:00Z,2015-01-13T21:04:22Z,3.442731428571429e-5,-1.97000403151066e-5,5.520490008244897e-6
2015-01-14T02:30:00Z,2015-01-13T21:19:22Z,3.3471000000000005e-5,-2.0582131685664977e-5,4.4588571428571435e-6
2015-01-14T02:45:00Z,2015-01-13T21:34:22Z,3.378977110980001e-5,-2.117019289340102e-5,1.9109387755102043e-6
2015-01-14T03:00:00Z,2015-01-13T21:49:22Z,3.442731428571429e-5,-2.3228405797340106e-5,6.369795918367347e-7
2015-01-14T03:15:00Z,2015-01-13T22:04:22Z,3.4746085395514284e-5,-2.2052284263959395e-5,4.246532735510204e-7
2015-01-14T03:30:00Z,2015-01-13T22:19:22Z,3.219591460448571e-5,-2.2640345471695434e-5,1.2739591836734694e-6
2015-01-14T03:45:00Z,2015-01-13T22:34:22Z,3.506485746162857e-5,-2.293437563451777e-5,4.246530824571429e-6
2015-01-14T04:00:00Z,2015-01-13T22:49:22Z,3.4746085395514284e-5,-2.3228405797340106e-5,3.609551232734694e-6
2015-01-14T04:15:00Z,2015-01-13T23:04:22Z,3.442731428571429e-5,-2.425751269035533e-5,2.335592049061225e-6
2015-01-14T04:30:00Z,2015-01-13T23:19:22Z,3.410854317591428e-5,-2.440452821281218e-5,-4.246532735510204e-7
2015-01-14T04:45:00Z,2015-01-13T23:34:22Z,3.4746085395514284e-5,-2.469855837563452e-5,-2.1232631828571428e-7
2015-01-14T05:00:00Z,2015-01-13T23:49:22Z,3.506485746162857e-5,-2.528661958337056e-5,-8.493059101224489e-7
2015-01-14T05:15:00Z,2015-01-14T00:04:03Z,3.442731428571429e-5,-2.117019289340102e-5,1.9109387755102043e-6
2015-01-14T05:30:00Z,2015-01-14T00:19:03Z,3.697748603305714e-5,-2.3228405797340106e-5,9.342367559265306e-6
2015-01-14T05:45:00Z,2015-01-14T00:34:03Z,3.697748603305714e-5,-2.587467990901523e-5,2.1232650937959183e-6
2015-01-14T06:00:00Z,2015-01-14T00:49:03Z,3.538362857142857e-5,-2.9403045391248732e-5,-3.1848979591836733e-6
2015-01-14T06:15:00Z,2015-01-14T01:04:03Z,3.5702399681228575e-5,-2.6168710953928942e-5,-5.3081630529795916e-6
2015-01-14T06:30:00Z,2015-01-14T01:19:03Z,3.6658713966942845e-5,-2.91090152284264e-5,-5.0958367346938776e-6
2015-01-14T06:45:00Z,2015-01-14T01:34:03Z,3.602117174734286e-5,-2.822692385786803e-5,-6.3697959183673465e-6
2015-01-14T07:00:00Z,2015-01-14T01:49:03Z,3.538362857142857e-5,-2.8520954020690353e-5,-4.883510416408164e-6
2015-01-14T07:15:00Z,2015-01-14T02:04:03Z,3.410854317591428e-5,-2.822692385786803e-5,-5.732816326530612e-6
2015-01-14T07:30:00Z,2015-01-14T02:19:03Z,3.602117174734286e-5,-2.9697076436162433e-5,-6.794449191918367e-6
2015-01-14T07:45:00Z,2015-01-14T02:34:03Z,3.2833456824085716e-5,-2.9991106598984778e-5,-5.9451426448163265e-6
2015-01-14T08:00:00Z,2015-01-14T02:49:03Z,3.378977110980001e-5,-2.9403045391248732e-5,-5.9451426448163265e-6
2015-01-14T08:15:00Z,2015-01-14T03:04:03Z,3.3471000000000005e-5,-2.9991106598984778e-5,-6.3697959183673465e-6
2015-01-14T08:30:00Z,2015-01-14T03:19:03Z,3.3152228890200004e-5,-2.9697076436162433e-5,-5.732816326530612e-6
2015-01-14T08:45:00Z,2015-01-14T03:34:03Z,3.060205714285715e-5,-3.2049319502923864e-05,-5.732816326530612e-6
2015-01-14T09:00:00Z,2015-01-14T03:49:03Z,3.123960031877143e-5,-3.146125917727919e-5,-5.520490008244897e-6
2015-01-14T09:15:00Z,2015-01-14T04:04:03Z,3.028328603305714e-5,-2.9403045391248732e-5,-6.157469600081632e-6
2015-01-14T09:30:00Z,2015-01-14T04:19:03Z,2.900819968122857e-5,-3.2049319502923864e-05,-6.794449191918367e-6
2015-01-14T09:45:00Z,2015-01-14T04:34:03Z,2.996451396694285e-5,-3.2049319502923864e-05,-6.157469600081632e-6
2015-01-14T10:00:00Z,2015-01-14T04:49:03Z,2.8051885395514283e-5,-3.116722813236549e-5,-6.157469600081632e-6
2015-01-14T10:15:00Z,2015-01-14T05:04:03Z,2.837065746162857e-5,-3.2049319502923864e-05,-7.0067755102040814e-6
2015-01-14T10:30:00Z,2015-01-14T05:19:03Z,2.868942857142857e-5,-3.3519472081218276e-5,-5.9451426448163265e-6
2015-01-14T10:45:00Z,2015-01-14T05:34:03Z,2.7733114285714288e-5,-3.2049319502923864e-05,-7.431428783755103e-6
2015-01-14T11:00:00Z,2015-01-14T05:49:03Z,2.900819968122857e-5,-3.234335054783756e-5,-6.794449191918367e-6
2015-01-14T11:15:00Z,2015-01-14T06:04:03Z,2.7414343175914286e-5,-3.293141087348224e-5,-6.582122236653061e-6
2015-01-14T11:30:00Z,2015-01-14T06:19:03Z,2.6776800000000004e-5,-3.469559361459899e-5,-7.0067755102040814e-6
2015-01-14T11:45:00Z,2015-01-14T06:34:03Z,2.7414343175914286e-5,-3.381350224404061e-5,-6.3697959183673465e-6
2015-01-14T12:00:00Z,2015-01-14T06:49:03Z,2.6776800000000004e-5,-3.3519472081218276e-5,-7.0067755102040814e-6
2015-01-14T12:15:00Z,2015-01-14T07:04:03Z,2.6458028890200002e-5,-3.116722813236549e-5,-7.431428783755103e-6
2015-01-14T12:30:00Z,2015-01-14T07:19:03Z,2.70955711098e-5,-3.175528934010152e-5,-8.28073469387755e-6
2015-01-14T12:45:00Z,2015-01-14T07:34:03Z,2.6458028890200002e-5,-3.2637380710659896e-5,-7.431428783755103e-6
2015-01-14T13:00:00Z,2015-01-14T07:49:03Z,2.5820485714285717e-5,-3.146125917727919e-5,-7.643755102040817e-6
2015-01-14T13:15:00Z,2015-01-14T08:04:03Z,2.6776800000000004e-5,-2.9697076436162433e-5,-6.582122236653061e-6
2015-01-14T13:30:00Z,2015-01-14T08:19:03Z,2.6776800000000004e-5,-2.7344832487309646e-5,-5.3081630529795916e-6
2015-01-14T13:45:00Z,2015-01-14T08:34:03Z,2.5820485714285717e-5,-2.5580649746192897e-5,-5.732816326530612e-6
2015-01-14T14:00:00Z,2015-01-14T08:49:03Z,2.6139256824085715e-5,-2.3816467005076144e-5,-7.431428783755103e-6
2015-01-14T14:15:00Z,2015-01-14T09:04:03Z,2.5820485714285717e-5,-2.3816467005076144e-5,-5.520490008244897e-6
2015-01-14T14:30:00Z,2015-01-14T09:19:03Z,2.550171460448572e-5,-2.6462741116751266e-5,-5.0958367346938776e-6
2015-01-14T14:45:00Z,2015-01-14T09:34:03Z,2.70955711098e-5,-2.087616273057868e-5,-6.157469600081632e-6
2015-01-14T15:00:00Z,2015-01-14T09:49:03Z,2.550171460448572e-5,-1.8229888618903556e-5,-6.157469600081632e-6
2015-01-14T15:15:00Z,2015-01-14T10:04:03Z,2.70955711098e-5,-1.7641827411167514e-5,-5.732816326530612e-6
2015-01-14T15:30:00Z,2015-01-14T10:19:03Z,2.837065746162857e-5,-1.587764467005076e-5,-4.4588571428571435e-6
2015-01-14T15:45:00Z,2015-01-14T10:34:03Z,2.8051885395514283e-5,-1.4701523136670051e-5,-7.219101828489796e-6
2015-01-14T16:00:00Z,2015-01-14T10:49:03Z,2.837065746162857e-5,-1.4407492091756344e-5,-6.3697959183673465e-6
2015-01-14T16:15:00Z,2015-01-14T11:04:03Z,2.9645742857142856e-5,-1.1467187817258886e-5,-5.9451426448163265e-6
2015-01-14T16:30:00Z,2015-01-14T11:19:03Z,2.837065746162857e-5,-9.408974913319797e-6,-5.732816326530612e-6
2015-01-14T16:45:00Z,2015-01-14T11:34:03Z,3.410854317591428e-5,-7.056730964467007e-6,-4.034203869306122e-6
2015-01-14T17:00:00Z,2015-01-14T11:49:03Z,3.602117174734286e-5,-8.820913705583759e-7,-2.1232650937959183e-6
2015-01-14T17:15:00Z,2015-01-14T12:04:03Z,3.5702399681228575e-5,-2.6462741116751274e-6,4.246532735510204e-7
2015-01-14T17:30:00Z,2015-01-14T12:19:03Z,3.602117174734286e-5,-2.6462741116751274e-6,2.1232650937959183e-6
2015-01-14T17:45:00Z,2015-01-14T12:34:03Z,3.793380031877143e-5,-2.6462741116751274e-6,6.157469600081632e-6
2015-01-14T18:00:00Z,2015-01-14T12:49:03Z,3.8890114604485714e-5,-2.9403016282233505e-7,7.431428783755103e-6
2015-01-14T18:15:00Z,2015-01-14T13:04:03Z,3.952765682408572e-5,1.4701525782944162e-6,1.0616326742938776e-5
2015-01-14T18:30:00Z,2015-01-14T13:19:03Z,4.335291396694287e-5,-2.0582129039390867e-6,1.2527265518448977e-5
2015-01-14T18:45:00Z,2015-01-14T13:34:03Z,4.367168603305715e-5,1.4701525782944162e-6,2.1869632440734694e-5
2015-01-14T19:00:00Z,2015-01-14T13:49:03Z,4.112151428571428e-5,2.9403016282233505e-7,2.420522448979592e-5
2015-01-14T19:15:00Z,2015-01-14T14:04:03Z,4.144028539551429e-5,-1.4701525782944162e-6,1.8684734481551018e-5
2015-01-14T19:30:00Z,2015-01-14T14:19:03Z,4.399045714285715e-5,-2.3522439488527922e-6,1.995869366522449e-5
2015-01-14T19:45:00Z,2015-01-14T14:34:03Z,5.195974253837143e-5,-1.4701525782944162e-6,3.269828550195918e-5
2015-01-14T20:00:00Z,2015-01-14T14:49:03Z,6.0247799999999996e-5,3.822395645055838e-6,4.267763265306123e-5
2015-01-14T20:15:00Z,2015-01-14T15:04:03Z,5.929148571428571e-5,-1.7641827411167518e-6,4.161599978767347e-5
2015-01-14T20:30:00Z,2015-01-14T15:19:03Z,6.247919968122857e-5,-4.99851806052792e-6,4.310228592661224e-5
2015-01-14T20:45:00Z,2015-01-14T15:34:03Z,7.427374317591428e-5,-1.7641827411167518e-6,4.586253061224489e-5
2015-01-14T21:00:00Z,2015-01-14T15:49:03Z,7.778022825265715e-5,-8.820913705583759e-7,5.371861203257142e-5
2015-01-14T21:15:00Z,2015-01-14T16:04:03Z,1.1730788603305712e-4,1.29373403955533e-5,1.008551018284898e-4
2015-01-14T21:30:00Z,2015-01-14T16:19:03Z,1.2878365746162856e-4,2.087616273057868e-5,1.1911518367346939e-4
2015-01-14T21:45:00Z,2015-01-14T16:34:03Z,1.2400208603305713e-4,4.234038578680204e-5,9.597159204906122e-5
2015-01-14T22:00:00Z,2015-01-14T16:49:03Z,9.94566857142857e-5,1.852391878172589e-5,6.688285714285714e-5
2015-01-14T22:15:00Z,2015-01-14T17:04:03Z,6.0566571109800005e-5,-5.880612077360407e-7,4.565020429395918e-5
2015-01-14T22:30:00Z,2015-01-14T17:19:03Z,4.526554253837143e-5,-7.350761127289341e-6,3.0150367134612246e-5
2015-01-14T22:45:00Z,2015-01-14T17:34:03Z,3.5702399681228575e-5,-1.7641827411167514e-5,1.65614693877551e-5
2015-01-14T23:00:00Z,2015-01-14T17:49:03Z,3.2833456824085716e-5,-2.2640345471695434e-5,8.705387967428573e-6
2015-01-14T23:15:00Z,2015-01-14T18:04:03Z,3.203652857142857e-5,-2.411049716789848e-5,4.4588571428571435e-6
2015-01-14T23:30:00Z,2015-01-14T18:19:03Z,2.996451396694285e-5,-2.528661958337056e-5,8.493059101224489e-7
2015-01-14T23:45:00Z,2015-01-14T18:34:03Z,2.996451396694285e-5,-2.6168710953928942e-5,-4.246532735510204e-7
2015-01-15T00:00:00Z,2015-01-14T18:49:03Z,3.123960031877143e-5,-2.793289369504569e-5,-2.1232650937959183e-6
2015-01-15T00:15:00Z,2015-01-14T19:04:03Z,2.9326971747342858e-5,-2.7344832487309646e-5,-2.9725716408979597e-6
2015-01-15T00:30:00Z,2015-01-14T19:19:03Z,2.9645742857142856e-5,-2.8520954020690353e-5,-3.397224277469388e-6
2015-01-15T00:45:00Z,2015-01-14T19:34:03Z,2.900819968122857e-5,-2.9403045391248732e-5,-3.821877551020409e-6
2015-01-15T01:00:00Z,2015-01-14T19:49:03Z,3.028328603305714e-5,-3.028513676180711e-5,-3.397224277469388e-6
2015-01-15T01:15:00Z,2015-01-14T20:04:03Z,3.060205714285715e-5,-2.91090152284264e-5,-4.246530824571429e-6
2015-01-15T01:30:00Z,2015-01-14T20:19:03Z,2.996451396694285e-5,-2.8814985065604067e-5,-4.246530824571429e-6
2015-01-15T01:45:00Z,2015-01-14T20:34:03Z,3.060205714285715e-5,-2.9697076436162433e-5,-3.397224277469388e-6
2015-01-15T02:00:00Z,2015-01-14T20:49:03Z,2.9645742857142856e-5,-3.2049319502923864e-05,-4.4588571428571435e-6
2015-01-15T02:15:00Z,2015-01-14T21:04:03Z,3.060205714285715e-5,-3.028513676180711e-5,-4.4588571428571435e-6
2015-01-15T02:30:00Z,2015-01-14T21:19:03Z,2.9645742857142856e-5,-3.0579167806720816e-5,-5.3081630529795916e-6
2015-01-15T02:45:00Z,2015-01-14T21:34:03Z,2.996451396694285e-5,-2.9403045391248732e-5,-6.794449191918367e-6
2015-01-15T03:00:00Z,2015-01-14T21:49:03Z,3.028328603305714e-5,-3.087319796954315e-5,-6.582122236653061e-6
2015-01-15T03:15:00Z,2015-01-14T22:04:03Z,2.9326971747342858e-5,-3.146125917727919e-5,-6.157469600081632e-6
2015-01-15T03:30:00Z,2015-01-14T22:19:03Z,2.996451396694285e-5,-2.9697076436162433e-5,-6.3697959183673465e-6
2015-01-15T03:45:00Z,2015-01-14T22:34:03Z,2.868942857142857e-5,-2.9991106598984778e-5,-5.9451426448163265e-6
2015-01-15T04:00:00Z,2015-01-14T22:49:03Z,3.028328603305714e-5,-2.9991106598984778e-5,-5.3081630529795916e-6
2015-01-15T04:15:00Z,2015-01-14T23:04:03Z,2.996451396694285e-5,-3.175528934010152e-5,-6.582122236653061e-6
2015-01-15T04:30:00Z,2015-01-14T23:19:03Z,2.900819968122857e-5,-3.0579167806720816e-5,-6.794449191918367e-6
2015-01-15T04:45:00Z,2015-01-14T23:34:03Z,3.028328603305714e-5,-3.2637380710659896e-5,-5.3081630529795916e-6
2015-01-15T05:00:00Z,2015-01-14T23:49:03Z,2.996451396694285e-5,-3.2637380710659896e-5,-5.3081630529795916e-6
2015-01-15T05:15:00Z,2015-01-15T00:03:43Z,2.837065746162857e-5,-3.146125917727919e-5,-6.157469600081632e-6
2015-01-15T05:30:00Z,2015-01-15T00:18:43Z,2.996451396694285e-5,-3.116722813236549e-5,-5.9451426448163265e-6
2015-01-15T05:45:00Z,2015-01-15T00:33:43Z,2.996451396694285e-5,-3.3519472081218276e-5,-6.582122236653061e-6
2015-01-15T06:00:00Z,2015-01-15T00:48:43Z,2.868942857142857e-5,-3.146125917727919e-5,-6.157469600081632e-6
2015-01-15T06:15:00Z,2015-01-15T01:03:43Z,2.900819968122857e-5,-3.381350224404061e-5,-5.3081630529795916e-6
2015-01-15T06:30:00Z,2015-01-15T01:18:43Z,2.837065746162857e-5,-3.116722813236549e-5,-5.732816326530612e-6
2015-01-15T06:45:00Z,2015-01-15T01:33:43Z,2.8051885395514283e-5,-3.4107533288954314e-5,-5.9451426448163265e-6
2015-01-15T07:00:00Z,2015-01-15T01:48:43Z,2.8051885395514283e-5,-3.322544191839594e-5,-4.883510416408164e-6
2015-01-15T07:15:00Z,2015-01-15T02:03:43Z,2.837065746162857e-5,-3.2049319502923864e-05,-5.3081630529795916e-6
2015-01-15T07:30:00Z,2015-01-15T02:18:43Z,2.8051885395514283e-5,-3.2637380710659896e-5,-5.0958367346938776e-6
2015-01-15T07:45:00Z,2015-01-15T02:33:43Z,2.629864285714286e-5,-3.2637380710659896e-5,-5.732816326530612e-6
2015-01-15T08:00:00Z,2015-01-15T02:48:43Z,2.837065746162857e-5,-3.469559361459899e-5,-6.157469600081632e-6
2015-01-15T08:15:00Z,2015-01-15T03:03:43Z,2.868942857142857e-5,-3.2637380710659896e-5,-5.0958367346938776e-6
2015-01-15T08:30:00Z,2015-01-15T03:18:43Z,2.6776800000000004e-5,-3.234335054783756e-5,-4.883510416408164e-6
2015-01-15T08:45:00Z,2015-01-15T03:33:43Z,2.8051885395514283e-5,-3.469559361459899e-5,-6.157469600081632e-6
2015-01-15T09:00:00Z,2015-01-15T03:48:43Z,2.7254957142857143e-5,-3.3519472081218276e-5,-4.671183461142857e-6
2015-01-15T09:15:00Z,2015-01-15T04:03:43Z,2.837065746162857e-5,-3.792992893401016e-5,-5.3081630529795916e-6
2015-01-15T09:30:00Z,2015-01-15T04:18:43Z,2.6139256824085715e-5,-3.557768498515736e-5,-5.9451426448163265e-6
2015-01-15T09:45:00Z,2015-01-15T04:33:43Z,2.70955711098e-5,-3.557768498515736e-5,-6.157469600081632e-6
2015-01-15T10:00:00Z,2015-01-15T04:48:43Z,2.8051885395514283e-5,-3.528365482233503e-5,-5.732816326530612e-6
2015-01-15T10:15:00Z,2015-01-15T05:03:43Z,2.6776800000000004e-5,-3.469559361459899e-5,-7.431428783755103e-6
2015-01-15T10:30:00Z,2015-01-15T05:18:43Z,2.550171460448572e-5,-3.4107533288954314e-5,-5.520490008244897e-6
2015-01-15T10:45:00Z,2015-01-15T05:33:43Z,2.6139256824085715e-5,-3.49896246595127e-5,-6.794449191918367e-6
2015-01-15T11:00:00Z,2015-01-15T05:48:43Z,2.5820485714285717e-5,-3.528365482233503e-5,-6.794449191918367e-6
2015-01-15T11:15:00Z,2015-01-15T06:03:43Z,2.7414343175914286e-5,-3.557768498515736e-5,-6.582122236653061e-6
2015-01-15T11:30:00Z,2015-01-15T06:18:43Z,2.4864171428571426e-5,-3.4401563451776655e-5,-6.3697959183673465e-6
2015-01-15T11:45:00Z,2015-01-15T06:33:43Z,2.5820485714285717e-5,-3.528365482233503e-5,-5.732816326530612e-6
2015-01-15T12:00:00Z,2015-01-15T06:48:43Z,2.550171460448572e-5,-3.293141087348224e-5,-5.0958367346938776e-6
2015-01-15T12:15:00Z,2015-01-15T07:03:43Z,2.70955711098e-5,-2.9697076436162433e-5,-3.397224277469388e-6
2015-01-15T12:30:00Z,2015-01-15T07:18:43Z,2.6776800000000004e-5,-2.9403045391248732e-5,-1.0616328653877552e-6
2015-01-15T12:45:00Z,2015-01-15T07:33:43Z,2.5820485714285717e-5,-2.587467990901523e-5,3.397224277469388e-6
2015-01-15T13:00:00Z,2015-01-15T07:48:43Z,2.5820485714285717e-5,-2.293437563451777e-5,7.0067755102040814e-6
2015-01-15T13:15:00Z,2015-01-15T08:03:43Z,2.8051885395514283e-5,-2.293437563451777e-5,9.342367559265306e-6
2015-01-15T13:30:00Z,2015-01-15T08:18:43Z,2.868942857142857e-5,-1.9111979989461932e-5,1.4438204293959186e-5
2015-01-15T13:45:00Z,2015-01-15T08:33:43Z,3.825257142857143e-5,-3.822395645055838e-6,3.821877551020408e-5
2015-01-15T14:00:00Z,2015-01-15T08:48:43Z,4.367168603305715e-5,1.4701523136670051e-5,6.284865327355102e-5
2015-01-15T14:15:00Z,2015-01-15T09:03:43Z,6.471060031877143e-5,2.587467990901523e-5,9.533461245722448e-5
2015-01-15T14:30:00Z,2015-01-15T09:18:43Z,7.841777142857142e-5,3.175528934010152e-5,9.597159204906122e-5
2015-01-15T14:45:00Z,2015-01-15T09:33:43Z,1.2177068539551426e-4,4.439859869074112e-5,9.958114264481632e-5
2015-01-15T15:00:00Z,2015-01-15T09:48:43Z,1.5811062825265716e-4,5.93941519902335e-5,1.0743722470212244e-4
2015-01-15T15:15:00Z,2015-01-15T10:03:43Z,2.2919665746162855e-4,7.733001044631473e-5,1.1550563244073472e-4
2015-01-15T15:30:00Z,2015-01-15T10:18:43Z,2.0879528539551428e-4,7.11553708524061e-5,1.233617144980408e-4
2015-01-15T15:45:00Z,2015-01-15T10:33:43Z,2.056075714285714e-4,6.821506569581727e-5,1.2569730591012246e-4
2015-01-15T16:00:00Z,2015-01-15T10:48:43Z,0.00022090860000000004,7.644791907575635e-5,1.2208775531436734e-4
2015-01-15T16:15:00Z,2015-01-15T11:03:43Z,2.078389711098e-4,6.439267005076142e-5,1.2782057164089795e-4
2015-01-15T16:30:00Z,2015-01-15T11:18:43Z,1.5874817142857146e-4,7.23314923857868e-5,1.2251240795093879e-4
2015-01-15T16:45:00Z,2015-01-15T11:33:43Z,1.9540688539551428e-4,7.203746222296447e-5,1.2251240795093879e-4
2015-01-15T17:00:00Z,2015-01-15T11:48:43Z,2.5278574253837145e-4,1.0085244640647716e-4,1.365259589713469e-4
2015-01-15T17:15:00Z,2015-01-15T12:03:43Z,1.880751431759143e-4,6.939118811128935e-5,1.3100546960008165e-4
2015-01-15T17:30:00Z,2015-01-15T12:18:43Z,2.119830003187714e-4,7.703597940140101e-5,1.2230008163265308e-4
2015-01-15T17:45:00Z,2015-01-15T12:33:43Z,2.8912568539551426e-4,8.938525858921827e-5,1.397108569305306e-4
2015-01-15T18:00:00Z,2015-01-15T12:48:43Z,2.779686860330571e-4,9.32076551163655e-5,1.484162448979592e-4
2015-01-15T18:15:00Z,2015-01-15T13:03:43Z,0.00031398985682408573,1.049688730964467e-4,1.4650530612244898e-4
2015-01-15T18:30:00Z,2015-01-15T13:18:43Z,2.1899597142857144e-4,8.350465004022336e-5,1.4204644897959184e-4
2015-01-15T18:45:00Z,2015-01-15T13:33:43Z,2.075202e-4,9.026734995977667e-5,1.2951918346114287e-4
2015-01-15T19:00:00Z,2015-01-15T13:48:43Z,5.1003428252657145e-5,-7.644792172203045e-6,2.5266857355183676e-5
2015-01-15T19:15:00Z,2015-01-15T14:03:43Z,4.494677142857143e-5,-1.8817948944548225e-5,1.2739591836734693e-5
2015-01-15T19:30:00Z,2015-01-15T14:18:43Z,4.080274317591429e-5,-1.8817948944548225e-5,9.342367559265306e-6
2015-01-15T19:45:00Z,2015-01-15T14:33:43Z,3.442731428571429e-5,-2.3816467005076144e-5,4.883510416408164e-6
2015-01-15T20:00:00Z,2015-01-15T14:48:43Z,3.3152228890200004e-5,-2.469855837563452e-5,5.732816326530612e-6
2015-01-15T20:15:00Z,2015-01-15T15:03:43Z,3.506485746162857e-5,-2.8520954020690353e-5,1.4862855019591836e-6
2015-01-15T20:30:00Z,2015-01-15T15:18:43Z,3.602117174734286e-5,-2.7344832487309646e-5,1.9109387755102043e-6
2015-01-15T20:45:00Z,2015-01-15T15:33:43Z,3.602117174734286e-5,-2.6462741116751266e-5,-4.246532735510204e-7
2015-01-15T21:00:00Z,2015-01-15T15:48:43Z,3.538362857142857e-5,-2.7344832487309646e-5,-8.493059101224489e-7
2015-01-15T21:15:00Z,2015-01-15T16:03:43Z,3.2514685714285715e-5,-2.91090152284264e-5,-1.0616328653877552e-6
2015-01-15T21:30:00Z,2015-01-15T16:18:43Z,3.378977110980001e-5,-2.9403045391248732e-5,-8.493059101224489e-7
2015-01-15T21:45:00Z,2015-01-15T16:33:43Z,3.3152228890200004e-5,-2.8814985065604067e-5,-1.0616328653877552e-6
2015-01-15T22:00:00Z,2015-01-15T16:48:43Z,3.506485746162857e-5,-2.793289369504569e-5,0
2015-01-15T22:15:00Z,2015-01-15T17:03:43Z,3.3471000000000005e-5,-2.763886265013198e-5,-1.9109387755102043e-6
2015-01-15T22:30:00Z,2015-01-15T17:18:43Z,3.3152228890200004e-5,-3.0579167806720816e-5,-2.335592049061225e-6
2015-01-15T22:45:00Z,2015-01-15T17:33:43Z,3.219591460448571e-5,-3.146125917727919e-5,-2.9725716408979597e-6
2015-01-15T23:00:00Z,2015-01-15T17:48:43Z,3.155837142857144e-5,-3.0579167806720816e-5,-2.1232650937959183e-6
2015-01-15T23:15:00Z,2015-01-15T18:03:43Z,3.2833456824085716e-5,-2.9697076436162433e-5,-2.1232650937959183e-6
2015-01-15T23:30:00Z,2015-01-15T18:18:43Z,3.2833456824085716e-5,-3.116722813236549e-5,-2.9725716408979597e-6
2015-01-15T23:45:00Z,2015-01-15T18:33:43Z,3.1877142538371426e-5,-2.9697076436162433e-5,-2.9725716408979597e-6
2015-01-16T00:00:00Z,2015-01-15T18:48:43Z,3.123960031877143e-5,-3.116722813236549e-5,-3.609551232734694e-6
2015-01-16T00:15:00Z,2015-01-15T19:03:43Z,3.1877142538371426e-5,-2.822692385786803e-5,-4.246530824571429e-6
2015-01-16T00:30:00Z,2015-01-15T19:18:43Z,3.123960031877143e-5,-3.0579167806720816e-5,-4.671183461142857e-6
2015-01-16T00:45:00Z,2015-01-15T19:33:43Z,3.123960031877143e-5,-2.9991106598984778e-5,-4.4588571428571435e-6
2015-01-16T01:00:00Z,2015-01-15T19:48:43Z,3.155837142857144e-5,-2.9403045391248732e-5,-3.821877551020409e-6
