TIMESTAMP,ta,rh,sw_in,ws,precip,swc_shallow,ppfd_in,vpd,ext_rad,interpolated
2017-01-01 05:00:00+00:00,-0.4,61.4,0.0,1.6,0.18,0.36,0.0,0.2289704104293188,0.0,False
2017-01-01 05:30:00+00:00,-1.2,71.3,0.0,0.9,0.0,0.36,0.0,0.1605305525251528,0.0,False
2017-01-01 06:00:00+00:00,-1.4,74.7,0.0,0.9,0.0,0.36,0.0,0.1394407971783768,0.0,False
2017-01-01 06:30:00+00:00,-0.6,67.4,0.0,0.8,0.0,0.36,0.0,0.1905666856667216,0.0,False
2017-01-01 07:00:00+00:00,-0.6,72.3,0.0,0.9,0.0,0.36,0.0,0.1619232267781653,0.0,False
2017-01-01 07:30:00+00:00,-0.1,70.8,0.0,0.6,0.0,0.36,0.0,0.1770510629907968,0.0,False
2017-01-01 08:00:00+00:00,-0.3,74.2,0.0,1.0,0.0,0.36,0.0,0.154166148158403,0.0,False
2017-01-01 08:30:00+00:00,-0.5,78.3,0.0,0.6,0.0,0.36,0.0,0.1277826276925596,0.0,False
2017-01-01 09:00:00+00:00,-0.4,79.0,0.0,0.8,0.0,0.36,0.0,0.124569394275018,0.0,False
2017-01-01 09:30:00+00:00,-0.3,80.7,0.0,0.9,0.0,0.36,0.0,0.115325839513844,0.0,False
2017-01-01 10:00:00+00:00,2.4,70.9,0.0,3.3,0.0,0.36,0.0,0.2113649344313599,0.0,False
2017-01-01 10:30:00+00:00,2.0,76.2,0.0,3.8,0.0,0.36,0.0,0.1679889042661668,0.0,False
2017-01-01 11:00:00+00:00,1.4,83.7,0.0,1.7,0.03,0.36,0.0,0.1101939098608731,0.0,False
2017-01-01 11:30:00+00:00,1.3,84.0,0.0,1.2,0.03,0.36,0.0,0.1073886577391358,0.0,False
2017-01-01 12:00:00+00:00,1.7,79.6,0.0,2.1,0.03,0.36,0.0,0.1409220314441231,0.0,False
2017-01-01 12:30:00+00:00,1.6,80.1,0.0,0.5,0.03,0.36,0.0,0.1364828898458689,0.0,False
2017-01-01 13:00:00+00:00,-0.4,91.2,0.0,0.8,0.03,0.36,0.0,0.0522005080771503,89.49679583237494,False
2017-01-01 13:30:00+00:00,-1.4,93.0,0.0,0.4,0.03,0.36,0.0,0.0385804577173374,195.3253783997216,False
2017-01-01 14:00:00+00:00,-0.1,87.8,0.0,0.7,0.03,0.36,0.0,0.0739733893317712,291.4350249696924,False
2017-01-01 14:30:00+00:00,3.0,68.6,0.0,4.2,0.03,0.36,0.0,0.238037516491474,376.1823424487449,False
