TIMESTAMP,ta,rh,vpd,ppfd_in,netrad,precip,swc_shallow,sw_in,ext_rad,n_sources,interpolated
2005-01-01 05:30:00+00:00,7.87,82.0,0.19158195,0.052,-38.58,0.0,,0.0245959999999999,0.0,2,False
2005-01-01 06:00:00+00:00,7.76,82.6,0.18380961,0.02,-22.89,0.0,,0.00946,0.0,2,False
2005-01-01 06:30:00+00:00,7.4,82.9,0.17624428,0.053,-48.65,0.0,,0.0250689999999999,0.0,2,False
2005-01-01 07:00:00+00:00,6.874,84.6,0.15309049,0.076,-49.71,0.0,,0.0359479999999999,0.0,2,False
2005-01-01 07:30:00+00:00,6.267,85.6,0.1372767,0.087,-51.28,0.0,,0.0411509999999999,0.0,2,False
2005-01-01 08:00:00+00:00,5.568,87.4,0.11443008,0.114,-49.69,0.0,,0.053922,0.0,2,False
2005-01-01 08:30:00+00:00,5.143,88.4,0.10227275,0.116,-48.13,0.0,,0.054868,0.0,2,False
2005-01-01 09:00:00+00:00,4.927,89.7,0.089450296,0.1,-48.0,0.0,,0.0473,0.0,2,False
2005-01-01 09:30:00+00:00,5.042,90.9,0.079667028,0.064,-48.75,0.0,,0.030272,0.0,2,False
2005-01-01 10:00:00+00:00,5.114,91.1,0.0783091,0.093,-47.2,0.0,,0.043989,0.0,2,False
2005-01-01 10:30:00+00:00,5.331,91.3,0.077717512,0.071,-48.64,0.0,,0.0335829999999999,0.0,2,False
2005-01-01 11:00:00+00:00,5.388,91.2,0.078923809,0.072,-49.48,0.0,,0.0340559999999999,0.0,2,False
2005-01-01 11:30:00+00:00,5.581,91.4,0.078173758,0.069,-56.14,0.0,,0.032637,0.0,2,False
2005-01-01 12:00:00+00:00,5.707,91.2,0.080695801,0.429,-58.29,0.0,,0.202917,0.0,2,False
2005-01-01 12:30:00+00:00,5.595,90.8,0.083709244,15.59,-45.0,0.0,,7.37407,1.6124359585770565,2,False
2005-01-01 13:00:00+00:00,6.044,91.7,0.077912215,82.1,-21.43,0.0,,38.8333,120.39772439083372,2,False
2005-01-01 13:30:00+00:00,7.59,90.5,0.099195905,216.3,30.12,0.0,,102.3099,231.0665558237331,2,False
2005-01-01 14:00:00+00:00,9.42,82.0,0.21282444,355.0,75.6,0.0,,167.915,331.7265899915173,2,False
2005-01-01 14:30:00+00:00,11.02,74.3,0.33823343,481.8,118.2,0.0,,227.8914,420.6566274222809,2,False
2005-01-01 15:00:00+00:00,12.53,68.65,0.45591533,599.3,159.9,0.0,,283.4689,496.3360405154879,2,False
2005-01-01 15:30:00+00:00,14.3,61.45,0.62925954,702.0,197.7,0.0,,332.046,557.4707750388737,2,False
2005-01-01 16:00:00+00:00,15.29,57.42,0.74089319,779.0,227.2,0.0,,368.467,603.0154774392141,2,False
2005-01-01 16:30:00+00:00,15.94,54.95,0.81722453,830.0,244.5,0.0,,392.59,632.1913696060574,2,False
2005-01-01 17:00:00+00:00,16.92,50.58,0.95423735,851.0,253.2,0.0,,402.523,644.4995654419978,2,False
2005-01-01 17:30:00+00:00,17.37,44.91,1.0944673,850.0,250.6,0.0,,402.05,639.7296015338835,2,False
2005-01-01 18:00:00+00:00,17.3,44.79,1.0920071,815.0,235.1,0.0,,385.495,617.9630360537307,2,False
2005-01-01 18:30:00+00:00,17.56,43.71,1.1318101,741.0,206.4,0.0,,350.493,579.5720543469988,2,False
2005-01-01 19:00:00+00:00,17.59,42.91,1.150071,640.3,164.9,0.0,,302.8619,525.213105047086,2,False
2005-01-01 19:30:00+00:00,17.63,40.7,1.1976098,529.6,120.4,0.0,,250.5008,455.8156755286448,2,False
2005-01-01 20:00:00+00:00,17.76,41.93,1.1824214,418.8,77.9,0.0,,198.0924,372.5663986254848,2,False
2005-01-01 20:30:00+00:00,17.5,42.71,1.1475616,288.2,30.74,0.0,,136.31859999999998,276.8887623705277,2,False
2005-01-01 21:00:00+00:00,17.11,42.82,1.1174518,155.7,-16.74,0.0,,73.64609999999999,170.41876969980436,2,False
2005-01-01 21:30:00+00:00,16.17,51.7,0.88914922,47.17,-54.08,0.0,,22.31141,54.97696431543336,2,False
2005-01-01 22:00:00+00:00,14.63,89.9,0.16842227,6.406,-65.84,0.0,,3.030038,0.0,2,False
2005-01-01 22:30:00+00:00,13.16,89.1,0.16519943,0.15,-66.06,0.0,,0.07095,0.0,2,False
2005-01-01 23:00:00+00:00,12.0,57.13,0.60206102,0.112,-64.09,0.0,,0.0529759999999999,0.0,2,False
2005-01-01 23:30:00+00:00,10.89,59.32,0.53076969,0.095,-60.69,0.0,,0.0449349999999999,0.0,2,False
