Data set, n locations, n data points, R2 test, R2 train, MAE, ta,vpd,ppfd_in,swc_shallow, Best parameters 
biome_WoodlandShrubland_ann, 36, 723429, 0.6446919159943133, 0.6351682624330709, 318.43950764732085, 0.2852182920987809, 0.1946138778004965, 0.1542050269816922, 0.36596280311903034, {'epochs': 150, 'n_hidden': 8, 'n_neuron': 32} 
biome_Temperate forest_ann, 39, 883163, 0.5246775581313422, 0.5190088249376767, 1128.8561144398532, 0.2887511074061165, 0.24478926704100673, 0.22966278914145163, 0.2367968364114252, {'epochs': 120, 'n_hidden': 8, 'n_neuron': 32} 
biome_Tropical rain forest_ann, 5, 59346, 0.8252668790052129, 0.8299743356766236, 1353.1514027385676, 0.3360261165230964, 0.19831289659897477, 0.2748472891449834, 0.19081369773294546, {'epochs': 150, 'n_hidden': 10, 'n_neuron': 32} 
biome_Tropical forest savanna_ann, 5, 44353, 0.876214955344381, 0.8757213599605402, 103.46579374591464, 0.32251424109546406, 0.4758277603754523, 0.11258590047894708, 0.0890720980501365, {'epochs': 150, 'n_hidden': 10, 'n_neuron': 32} 
biome_Subtropical desert_ann, 4, 39982, 0.37228964752212956, 0.4108079634438983, 535.3447436770181, 0.2360635065874579, 0.16670598352036597, 0.17130911811358795, 0.4259213917785882, {'epochs': 150, 'n_hidden': 10, 'n_neuron': 32} 
biome_Boreal forest_ann, 3, 32509, 0.8308020513446743, 0.8238883394515308, 293.93570230019753, 0.2920786331892194, 0.2174264575462877, 0.3790048109258007, 0.11149009833869214, {'epochs': 150, 'n_hidden': 10, 'n_neuron': 32} 
biome_Temperate grassland desert_ann, 3, 459827, 0.7740812656963174, 0.7689190977846301, 85.08592348230562, 0.39726722776653356, 0.31471915407750256, 0.12147794464284806, 0.16653567351311585, {'epochs': 150, 'n_hidden': 8, 'n_neuron': 32} 
