TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,swc_shallow,sw_in,ext_rad
2011-03-10T03:00:00Z,2011-03-09T23:47:32Z,NA,NA,NA,NA,NA,NA,0
2011-03-10T03:30:00Z,2011-03-10T00:17:47Z,NA,NA,NA,NA,NA,NA,0
2011-03-10T03:59:59Z,2011-03-10T00:47:46Z,NA,NA,NA,NA,NA,NA,0
2011-03-10T04:30:00Z,2011-03-10T01:17:47Z,NA,NA,NA,NA,NA,NA,0
2011-03-10T05:00:00Z,2011-03-10T01:47:47Z,NA,NA,NA,NA,NA,NA,0
2011-03-10T05:29:59Z,2011-03-10T02:17:46Z,NA,NA,NA,NA,NA,NA,0
2011-03-10T06:00:00Z,2011-03-10T02:47:47Z,NA,NA,NA,NA,NA,NA,0
2011-03-10T06:30:00Z,2011-03-10T03:17:47Z,NA,NA,NA,NA,NA,NA,0
2011-03-10T06:59:59Z,2011-03-10T03:47:46Z,NA,NA,NA,NA,NA,NA,0
2011-03-10T07:30:00Z,2011-03-10T04:17:47Z,NA,NA,NA,NA,NA,NA,0
2011-03-10T08:00:00Z,2011-03-10T04:47:47Z,NA,NA,NA,NA,NA,NA,0
2011-03-10T08:29:59Z,2011-03-10T05:17:46Z,NA,NA,NA,NA,NA,NA,0
2011-03-10T09:00:00Z,2011-03-10T05:47:47Z,NA,NA,NA,NA,NA,NA,0
2011-03-10T09:30:00Z,2011-03-10T06:17:47Z,NA,NA,NA,NA,NA,NA,79.5000583227748
2011-03-10T09:59:59Z,2011-03-10T06:47:46Z,NA,NA,NA,NA,NA,NA,245.52096308475782
2011-03-10T10:30:00Z,2011-03-10T07:17:47Z,NA,NA,NA,NA,NA,NA,408.1806391020595
2011-03-10T11:00:00Z,2011-03-10T07:47:47Z,NA,NA,NA,NA,NA,NA,564.421830055604
2011-03-10T11:29:59Z,2011-03-10T08:17:46Z,NA,NA,NA,NA,NA,NA,711.5829940570878
2011-03-10T12:00:00Z,2011-03-10T08:47:47Z,NA,NA,NA,NA,NA,NA,847.3803991350096
2011-03-10T12:30:00Z,2011-03-10T09:17:47Z,NA,NA,NA,NA,NA,NA,969.2545584005697
2011-03-10T12:59:59Z,2011-03-10T09:47:46Z,NA,NA,NA,NA,NA,NA,1075.144169435938
2011-03-10T13:30:00Z,2011-03-10T10:17:47Z,NA,NA,NA,NA,NA,NA,1163.3981173807474
