TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,vpd,ext_rad
2006-12-14T17:00:00Z,2006-12-14T23:55:57Z,20.27,91.91,NA,NA,0.63,NA,0.104,0.134,0.1926580894068766,0
2006-12-14T17:30:00Z,2006-12-15T00:25:30Z,20.09,92.54,NA,NA,0.72,NA,0.104,0.134,0.175688950660817,0
2006-12-14T18:00:00Z,2006-12-15T00:55:30Z,19.82,92.92,NA,NA,0.78,NA,0.104,0.134,0.1639745229219764,0
2006-12-14T18:30:00Z,2006-12-15T01:25:30Z,19.54,93.4,NA,NA,0.82,NA,0.104,0.134,0.15022397259196701,0
2006-12-14T19:00:00Z,2006-12-15T01:55:30Z,19.33,93.02,NA,NA,0.84,NA,0.104,0.133,0.1568118682971476,0
2006-12-14T19:30:00Z,2006-12-15T02:25:30Z,19.06,93.4,NA,NA,1.03,NA,0.104,0.133,0.1458012693104044,0
2006-12-14T20:00:00Z,2006-12-15T02:55:30Z,18.64,93.93,NA,NA,0.69,NA,0.104,0.133,0.13062007827023359,0
2006-12-14T20:30:00Z,2006-12-15T03:25:30Z,18.38,92.28,NA,NA,0.83,NA,0.104,0.133,0.16344243080936632,0
2006-12-14T21:00:00Z,2006-12-15T03:55:30Z,18.24,92.65,NA,0.45,1.09,NA,0.104,0.133,0.154248120410687,0
2006-12-14T21:30:00Z,2006-12-15T04:25:30Z,17.9,94.2,NA,NA,0.81,NA,0.104,0.133,0.11914558766138653,0
2006-12-14T22:00:00Z,2006-12-15T04:55:30Z,17.47,95.77,NA,NA,0.61,NA,0.104,0.133,0.08456968107473468,0
2006-12-14T22:30:00Z,2006-12-15T05:25:30Z,17.1,97.15,NA,NA,0.34,NA,0.104,0.133,0.055661434455715676,0
2006-12-14T23:00:00Z,2006-12-15T05:55:30Z,17.02,96.55,NA,0.45,0.63,NA,0.104,0.133,0.06703890308278315,0
2006-12-14T23:30:00Z,2006-12-15T06:25:30Z,16.67,97.58,5.91,10.92,0.31,NA,0.104,0.133,0.04599113103916638,19.217834764411034
2006-12-15T00:00:00Z,2006-12-15T06:55:30Z,16.66,98.03,55.83,90.96,0.17,NA,0.104,0.133,0.03741526853915506,179.6479550671332
2006-12-15T00:30:00Z,2006-12-15T07:25:30Z,17.69,95.69,148.74,253.78,0.36,NA,0.104,0.133,0.08737382880888206,334.4931887740216
2006-12-15T01:00:00Z,2006-12-15T07:55:30Z,19.17,90.04,264.46,454.8,1.18,NA,0.104,0.133,0.2215415357759477,481.1058584167899
2006-12-15T01:30:00Z,2006-12-15T08:25:30Z,20.46,81.58,378.36,651.27,1.64,NA,0.104,0.133,0.44383602744051814,616.9790548798023
2006-12-15T02:00:00Z,2006-12-15T08:55:30Z,21.81,75.48,493.48,850.02,2.26,NA,0.104,0.133,0.6418466283974029,739.7895026373864
2006-12-15T02:30:00Z,2006-12-15T09:25:30Z,23.18,71.57,597.59,1031.94,2.23,NA,0.104,0.133,0.8087469390151093,847.4372850414828
2006-12-15T03:00:00Z,2006-12-15T09:55:30Z,24.42,68.6,123.06,1183.84,2.03,NA,0.104,0.133,0.9623487790063062,938.0817504052465
