TIMESTAMP,solar_TIMESTAMP,ta,vpd,sw_in,ws,precip,swc_shallow,swc_deep,ppfd_in,rh,ext_rad
2007-01-31T01:00:00Z,2007-01-31T00:11:16Z,6.73,0.010268,0,0.57,0,NA,NA,0,98.95594544415829,0
2007-01-31T02:00:00Z,2007-01-31T01:11:16Z,5.94,0.008458,0,1.17,0,NA,NA,0,99.0918179195113,0
2007-01-31T03:00:00Z,2007-01-31T02:11:16Z,4.77,0.006627,-1.92,1.17,0,NA,NA,-4.058879999999999,99.22811388250497,0
2007-01-31T04:00:00Z,2007-01-31T03:11:16Z,4.13,0.00479,-3.64,0.98,0,NA,NA,-7.69496,99.416500837625,0
2007-01-31T05:00:00Z,2007-01-31T04:11:16Z,4.14,0.008678,-4.48,1,0,NA,NA,-9.47072,98.94362188233183,0
2007-01-31T06:00:00Z,2007-01-31T05:11:16Z,3.88,0.006122,-3.31,0.75,0,NA,NA,-6.9973399999999994,99.24101983456251,0
2007-01-31T07:00:00Z,2007-01-31T06:11:16Z,3.7,0.010158,-2.9,0.94,0,NA,NA,-6.130599999999999,98.72458878815156,0
2007-01-31T08:00:00Z,2007-01-31T07:11:16Z,2.86,0.005595,-0.12,0.81,0,NA,NA,-0.25367999999999996,99.25451548287761,0
2007-01-31T09:00:00Z,2007-01-31T08:11:16Z,2.5,0.019447,72.29,0.8,0,NA,NA,152.82106000000002,97.3417184375734,251.01442867276828
2007-01-31T10:00:00Z,2007-01-31T09:11:16Z,6.75,0.047298,253.42,0.68,0,NA,NA,535.72988,95.19732858015801,469.4643215311656
2007-01-31T11:00:00Z,2007-01-31T10:11:16Z,10.99,0.164557,406.92,0.62,0,NA,NA,860.22888,87.45475786619097,637.914689035063
2007-01-31T12:00:00Z,2007-01-31T11:11:16Z,12.44,0.275553,401.65,1.05,0,NA,NA,849.0880999999999,80.91227878544035,744.8882489813956
2007-01-31T13:00:00Z,2007-01-31T12:11:16Z,13.56,0.385958,490.13,1.29,0,NA,NA,1036.13482,75.15318020477937,783.0963704976695
2007-01-31T14:00:00Z,2007-01-31T13:11:16Z,14.84,0.486625,507.68,1.37,0,NA,NA,1073.23552,71.16610274355367,749.9356909983517
2007-01-31T15:00:00Z,2007-01-31T14:11:16Z,15.2,0.528337,454.12,1.59,0,NA,NA,960.00968,69.41180581028145,647.6655073345102
2007-01-31T16:00:00Z,2007-01-31T15:11:16Z,14.59,0.451038,242.55,1.27,0,NA,NA,512.7506999999999,72.84003827366583,483.25385332876675
