TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,netrad,ws,precip,swc_shallow,swc_deep,sw_in,ext_rad
2014-04-20T23:08:00Z,2014-04-20T22:46:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014-04-20T23:38:00Z,2014-04-20T23:16:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014-04-21T00:08:00Z,2014-04-20T23:46:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014-04-21T00:38:00Z,2014-04-21T00:16:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014-04-21T01:08:00Z,2014-04-21T00:46:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014-04-21T01:38:00Z,2014-04-21T01:16:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014-04-21T02:08:00Z,2014-04-21T01:46:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014-04-21T02:38:00Z,2014-04-21T02:16:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014-04-21T03:08:00Z,2014-04-21T02:46:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014-04-21T03:38:00Z,2014-04-21T03:16:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014-04-21T04:08:00Z,2014-04-21T03:46:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014-04-21T04:38:00Z,2014-04-21T04:16:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014-04-21T05:08:00Z,2014-04-21T04:46:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014-04-21T05:38:00Z,2014-04-21T05:16:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2014-04-21T06:08:00Z,2014-04-21T05:46:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.62841617955546
