TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,ws,precip,swc_shallow,ppfd_in,vpd,ext_rad
2017-01-01T05:00:00Z,2016-12-31T23:58:48Z,-0.4,61.4,0,1.6,0.18,0.36,0,0.22897041042931884,0
2017-01-01T05:30:00Z,2017-01-01T00:28:48Z,-1.2,71.3,0,0.9,0,0.36,0,0.16053055252515286,0
2017-01-01T06:00:00Z,2017-01-01T00:58:48Z,-1.4,74.7,0,0.9,0,0.36,0,0.13944079717837685,0
2017-01-01T06:30:00Z,2017-01-01T01:28:48Z,-0.6,67.4,0,0.8,0,0.36,0,0.19056668566672166,0
2017-01-01T07:00:00Z,2017-01-01T01:58:48Z,-0.6,72.3,0,0.9,0,0.36,0,0.16192322677816537,0
2017-01-01T07:30:00Z,2017-01-01T02:28:48Z,-0.1,70.8,0,0.6,0,0.36,0,0.17705106299079681,0
2017-01-01T08:00:00Z,2017-01-01T02:58:48Z,-0.3,74.2,0,1,0,0.36,0,0.154166148158403,0
2017-01-01T08:30:00Z,2017-01-01T03:28:48Z,-0.5,78.3,0,0.6,0,0.36,0,0.12778262769255963,0
2017-01-01T09:00:00Z,2017-01-01T03:58:48Z,-0.4,79,0,0.8,0,0.36,0,0.12456939427501801,0
2017-01-01T09:30:00Z,2017-01-01T04:28:48Z,-0.3,80.7,0,0.9,0,0.36,0,0.11532583951384406,0
2017-01-01T10:00:00Z,2017-01-01T04:58:48Z,2.4,70.9,0,3.3,0,0.36,0,0.21136493443135992,0
2017-01-01T10:30:00Z,2017-01-01T05:28:48Z,2,76.2,0,3.8,0,0.36,0,0.16798890426616683,0
2017-01-01T11:00:00Z,2017-01-01T05:58:48Z,1.4,83.7,0,1.7,0.03,0.36,0,0.11019390986087312,0
2017-01-01T11:30:00Z,2017-01-01T06:28:48Z,1.3,84,0,1.2,0.03,0.36,0,0.10738865773913586,0
2017-01-01T12:00:00Z,2017-01-01T06:58:48Z,1.7,79.6,0,2.1,0.03,0.36,0,0.14092203144412316,0
2017-01-01T12:30:00Z,2017-01-01T07:28:48Z,1.6,80.1,0,0.5,0.03,0.36,0,0.1364828898458689,0
2017-01-01T13:00:00Z,2017-01-01T07:58:48Z,-0.4,91.2,0,0.8,0.03,0.36,0,0.05220050807715039,89.49679583237494
2017-01-01T13:30:00Z,2017-01-01T08:28:48Z,-1.4,93,0,0.4,0.03,0.36,0,0.038580457717337445,195.32537839972161
2017-01-01T14:00:00Z,2017-01-01T08:58:48Z,-0.1,87.8,0,0.7,0.03,0.36,0,0.07397338933177126,291.4350249696924
2017-01-01T14:30:00Z,2017-01-01T09:28:48Z,3,68.6,0,4.2,0.03,0.36,0,0.23803751649147406,376.1823424487449
2017-01-01T15:00:00Z,2017-01-01T09:58:48Z,1.1,80.3,0,4.4,0.03,0.36,0,0.13032674770893693,448.1182229992122
2017-01-01T15:30:00Z,2017-01-01T10:28:48Z,1.3,72.1,0,4.9,0.05,0.36,0,0.18725897193261815,506.01262262779244
2017-01-01T16:00:00Z,2017-01-01T10:58:48Z,1.2,69,0,4.9,0.05,0.36,0,0.20656936165377815,548.8755939905068
2017-01-01T16:30:00Z,2017-01-01T11:28:48Z,0.7,60,0,7.2,0.05,0.36,0,0.25707099770889386,575.9742137681416
2017-01-01T17:00:00Z,2017-01-01T11:58:48Z,-0.1,54.3,0,6.1,0.05,0.36,0,0.27709704036573335,586.8451151650277
2017-01-01T17:30:00Z,2017-01-01T12:28:48Z,-0.4,53.9,5,4.8,0.05,0.36,10.57,0.27345947981325386,581.3024112326348
2017-01-01T18:00:00Z,2017-01-01T12:58:48Z,-0.4,51.1,28,4.5,0.05,0.36,59.19199999999999,0.2900687323832562,559.4408735316828
2017-01-01T18:30:00Z,2017-01-01T13:28:48Z,-0.2,51.9,52,5.3,0.05,0.36,109.928,0.2895269091151729,521.6343117764101
2017-01-01T19:00:00Z,2017-01-01T13:58:48Z,0.2,52.3,117,4.9,0.05,0.36,247.338,0.29561966111767235,468.5291821632976
2017-01-01T19:30:00Z,2017-01-01T14:28:48Z,0.6,51.3,273,5.8,0.05,0.36,577.122,0.31072185302718147,401.03353367237355
2017-01-01T20:00:00Z,2017-01-01T14:58:48Z,0.8,52.1,377,6,0.05,0.36,796.978,0.31008173013674434,320.30148134571414
2017-01-01T20:30:00Z,2017-01-01T15:28:48Z,0.9,53.3,316,2.3,0.05,0.36,668.024,0.3045106183701378,227.71347203300377
2017-01-01T21:00:00Z,2017-01-01T15:58:48Z,1.4,53.5,421,3,0.05,0.36,889.9939999999999,0.31435685941905533,124.8526800395318
2017-01-01T21:30:00Z,2017-01-01T16:28:48Z,1.1,54.3,268,4.1,0.05,0.36,566.552,0.3023315924009348,13.47793628780115
2017-01-01T22:00:00Z,2017-01-01T16:58:48Z,1.5,51.9,278,4.4,0.05,0.36,587.692,0.32752462963644463,0
2017-01-01T22:30:00Z,2017-01-01T17:28:48Z,2.1,49.5,475,4.5,0.05,0.36,1004.15,0.3590112381343976,0
2017-01-01T23:00:00Z,2017-01-01T17:58:48Z,1.8,50.4,349,3.8,0.05,0.36,737.786,0.3451050792395511,0
2017-01-01T23:30:00Z,2017-01-01T18:28:48Z,2.2,48.5,421,3.4,0.05,0.36,889.9939999999999,0.36875191602525154,0
2017-01-02T00:00:00Z,2017-01-01T18:58:48Z,2.3,46.2,131,2.9,0.05,0.36,276.93399999999997,0.38798692715215655,0
2017-01-02T00:30:00Z,2017-01-01T19:28:48Z,2.3,45.5,183,3,0.05,0.36,386.86199999999997,0.3930350841968871,0
2017-01-02T01:00:00Z,2017-01-01T19:58:48Z,2.3,45.3,193,2.9,0.05,0.35,408.00199999999995,0.394477414781096,0
2017-01-02T01:30:00Z,2017-01-01T20:28:48Z,2,46,37,2.4,0.05,0.35,78.21799999999999,0.3811512953938239,0
2017-01-02T02:00:00Z,2017-01-01T20:58:48Z,1.4,48.9,46,2,0.05,0.35,97.244,0.3454545272325534,0
