scheme,cluster,level,name,location,rows,pct_of_cluster
pft,deciduous,location,ZAF_NOO_E3_IRR,1 site(s),38449,12.98
pft,deciduous,location,DEU_STE,2 site(s),36097,12.19
pft,deciduous,location,USA_TNB,1 site(s),21224,7.17
pft,deciduous,location,ITA_TOR,1 site(s),21040,7.1
pft,deciduous,location,USA_TNO_TNP,1 site(s),19671,6.64
pft,deciduous,location,USA_WVF,1 site(s),17128,5.78
pft,deciduous,location,THA_KHU,1 site(s),16391,5.53
pft,deciduous,location,USA_INM,1 site(s),14729,4.97
pft,deciduous,location,USA_TNY,1 site(s),13829,4.67
pft,deciduous,location,ZAF_FRA_FRA,1 site(s),13404,4.53
pft,deciduous,location,ZAF_SOU_SOU,1 site(s),13133,4.43
pft,deciduous,location,IDN_JAM_RUB,1 site(s),7384,2.49
pft,deciduous,location,USA_WIL_WC1,1 site(s),6743,2.28
pft,deciduous,location,FIN_PET,1 site(s),3240,1.09
pft,deciduous,location,ARG_TRE,1 site(s),623,0.21
pft,deciduous,location,ARG_MAZ,1 site(s),575,0.19
pft,evergreen,site,FRA_PUE,FRA_PUE,171204,14.82
pft,evergreen,site,CAN_TUR_P39,CAN_TUR,111712,9.67
pft,evergreen,site,CAN_TUR_P74,CAN_TUR,84216,7.29
pft,evergreen,site,USA_PJS_P04_AMB,USA_PJS,82802,7.17
pft,evergreen,site,USA_PJS_P08_AMB,USA_PJS,81704,7.07
pft,evergreen,site,USA_PJS_P12_AMB,USA_PJS,80076,6.93
pft,evergreen,site,NZL_HUA_HUA,NZL_HUA_HUA,60143,5.21
pft,evergreen,site,USA_PAR_FER,USA_PAR_FER,56805,4.92
pft,evergreen,site,NLD_LOO,NLD_LOO,56048,4.85
pft,evergreen,site,ESP_TIL_MIX,ESP_TIL,53762,4.66
pft,evergreen,site,AUS_WOM,AUS_WOM,49660,4.3
pft,evergreen,site,AUS_RIC_EUC_ELE,AUS_RIC_EUC_ELE,33937,2.94
pft,evergreen,site,CZE_LIZ_LES,CZE_LIZ_LES,33410,2.89
pft,evergreen,site,SWE_NOR_ST1_ST3,SWE_NOR,23551,2.04
pft,evergreen,site,PRT_LEZ_ARN,PRT_LEZ_ARN,20680,1.79
pft,evergreen,site,ESP_TIL_OAK,ESP_TIL,18541,1.61
pft,evergreen,site,CHE_DAV_SEE,CHE_DAV_SEE,16047,1.39
pft,evergreen,site,ESP_VAL_SOR,ESP_VAL_SOR,15020,1.3
