TIMESTAMP,solar_TIMESTAMP,ESP_TIL_PIN_Psy_Js_1,ESP_TIL_PIN_Psy_Js_2,ESP_TIL_PIN_Psy_Js_3,ESP_TIL_PIN_Psy_Js_4,ESP_TIL_PIN_Psy_Js_5,ESP_TIL_PIN_Psy_Js_6,ESP_TIL_PIN_Psy_Js_7,ESP_TIL_PIN_Psy_Js_8,ESP_TIL_PIN_Psy_Js_9
2010-05-01T11:15:00Z,2010-05-01T11:21:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T11:30:00Z,2010-05-01T11:36:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T11:44:59Z,2010-05-01T11:51:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T12:00:00Z,2010-05-01T12:06:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T12:15:00Z,2010-05-01T12:21:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T12:29:59Z,2010-05-01T12:36:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T12:45:00Z,2010-05-01T12:51:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T13:00:00Z,2010-05-01T13:06:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T13:14:59Z,2010-05-01T13:21:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T13:30:00Z,2010-05-01T13:36:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T13:45:00Z,2010-05-01T13:51:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T13:59:59Z,2010-05-01T14:06:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T14:15:00Z,2010-05-01T14:21:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T14:30:00Z,2010-05-01T14:36:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T14:44:59Z,2010-05-01T14:51:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T15:00:00Z,2010-05-01T15:06:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T15:15:00Z,2010-05-01T15:21:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T15:29:59Z,2010-05-01T15:36:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T15:45:00Z,2010-05-01T15:51:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T16:00:00Z,2010-05-01T16:06:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T16:14:59Z,2010-05-01T16:21:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T16:30:00Z,2010-05-01T16:36:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T16:45:00Z,2010-05-01T16:51:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T16:59:59Z,2010-05-01T17:06:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T17:15:00Z,2010-05-01T17:21:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T17:30:00Z,2010-05-01T17:36:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T17:44:59Z,2010-05-01T17:51:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T18:00:00Z,2010-05-01T18:06:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T18:15:00Z,2010-05-01T18:21:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T18:29:59Z,2010-05-01T18:36:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T18:45:00Z,2010-05-01T18:51:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T19:00:00Z,2010-05-01T19:06:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T19:14:59Z,2010-05-01T19:21:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T19:30:00Z,2010-05-01T19:36:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T19:45:00Z,2010-05-01T19:51:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T19:59:59Z,2010-05-01T20:06:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T20:15:00Z,2010-05-01T20:21:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T20:30:00Z,2010-05-01T20:36:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T20:44:59Z,2010-05-01T20:51:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T21:00:00Z,2010-05-01T21:06:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T21:15:00Z,2010-05-01T21:21:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T21:29:59Z,2010-05-01T21:36:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T21:45:00Z,2010-05-01T21:51:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T22:00:00Z,2010-05-01T22:06:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T22:14:59Z,2010-05-01T22:21:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T22:30:00Z,2010-05-01T22:36:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T22:45:00Z,2010-05-01T22:51:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T22:59:59Z,2010-05-01T23:06:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T23:15:00Z,2010-05-01T23:21:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T23:30:00Z,2010-05-01T23:36:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-01T23:44:59Z,2010-05-01T23:51:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T00:00:00Z,2010-05-02T00:06:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T00:15:00Z,2010-05-02T00:21:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T00:29:59Z,2010-05-02T00:36:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T00:45:00Z,2010-05-02T00:51:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T01:00:00Z,2010-05-02T01:06:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T01:14:59Z,2010-05-02T01:21:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T01:30:00Z,2010-05-02T01:36:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T01:45:00Z,2010-05-02T01:51:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T01:59:59Z,2010-05-02T02:06:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T02:15:00Z,2010-05-02T02:21:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T02:30:00Z,2010-05-02T02:36:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T02:44:59Z,2010-05-02T02:51:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T03:00:00Z,2010-05-02T03:06:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T03:15:00Z,2010-05-02T03:21:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T03:29:59Z,2010-05-02T03:36:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T03:45:00Z,2010-05-02T03:51:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T04:00:00Z,2010-05-02T04:06:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T04:14:59Z,2010-05-02T04:21:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T04:30:00Z,2010-05-02T04:36:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T04:45:00Z,2010-05-02T04:51:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T04:59:59Z,2010-05-02T05:06:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T05:15:00Z,2010-05-02T05:21:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T05:30:00Z,2010-05-02T05:36:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T05:44:59Z,2010-05-02T05:51:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T06:00:00Z,2010-05-02T06:06:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T06:15:00Z,2010-05-02T06:21:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T06:29:59Z,2010-05-02T06:36:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T06:45:00Z,2010-05-02T06:51:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T07:00:00Z,2010-05-02T07:06:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T07:14:59Z,2010-05-02T07:21:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T07:30:00Z,2010-05-02T07:36:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T07:45:00Z,2010-05-02T07:51:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T07:59:59Z,2010-05-02T08:06:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T08:15:00Z,2010-05-02T08:21:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T08:30:00Z,2010-05-02T08:36:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T08:44:59Z,2010-05-02T08:51:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T09:00:00Z,2010-05-02T09:06:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T09:15:00Z,2010-05-02T09:21:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T09:29:59Z,2010-05-02T09:36:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T09:45:00Z,2010-05-02T09:51:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T10:00:00Z,2010-05-02T10:06:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T10:14:59Z,2010-05-02T10:21:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T10:30:00Z,2010-05-02T10:36:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T10:45:00Z,2010-05-02T10:51:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T10:59:59Z,2010-05-02T11:06:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T11:15:00Z,2010-05-02T11:21:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T11:30:00Z,2010-05-02T11:36:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T11:44:59Z,2010-05-02T11:51:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T12:00:00Z,2010-05-02T12:06:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T12:15:00Z,2010-05-02T12:21:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T12:29:59Z,2010-05-02T12:36:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T12:45:00Z,2010-05-02T12:51:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T13:00:00Z,2010-05-02T13:06:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T13:14:59Z,2010-05-02T13:21:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T13:30:00Z,2010-05-02T13:36:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T13:45:00Z,2010-05-02T13:51:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T13:59:59Z,2010-05-02T14:06:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T14:15:00Z,2010-05-02T14:21:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T14:30:00Z,2010-05-02T14:36:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T14:44:59Z,2010-05-02T14:51:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T15:00:00Z,2010-05-02T15:06:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T15:15:00Z,2010-05-02T15:21:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T15:29:59Z,2010-05-02T15:36:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T15:45:00Z,2010-05-02T15:51:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T16:00:00Z,2010-05-02T16:06:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T16:14:59Z,2010-05-02T16:21:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02T16:30:00Z,2010-05-02T16:36:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
