TIMESTAMP,solar_TIMESTAMP,SEN_SOU_PRE_Ato_Js_1,SEN_SOU_PRE_Ato_Js_2,SEN_SOU_PRE_Ato_Js_3
1996-02-29T00:00:00Z,1996-02-28T22:45:52Z,102.85108427965159,87.71631941453745,378.69549732759316
1996-02-29T01:00:00Z,1996-02-28T23:45:52Z,53.47839082852534,155.736102700145,183.52773674151987
1996-02-29T01:59:59Z,1996-02-29T00:46:02Z,107.82026105731275,313.1621739804857,140.06782786671488
1996-02-29T02:59:59Z,1996-02-29T01:46:02Z,158.52730918910697,375.1235889851716,219.44824793123385
1996-02-29T03:59:59Z,1996-02-29T02:46:02Z,179.45253130657406,403.53154559192876,117.35015877939885
1996-02-29T04:59:59Z,1996-02-29T03:46:02Z,244.53511600236968,315.0135798458339,119.45749639422715
1996-02-29T05:59:59Z,1996-02-29T04:46:02Z,416.00106611089296,441.8935714644002,285.40976147295277
1996-02-29T06:59:59Z,1996-02-29T05:46:02Z,623.9650777808628,494.13585835962573,400.72457676301974
1996-02-29T07:59:59Z,1996-02-29T06:46:02Z,1702.0440849719184,880.6833965187038,1339.1235624753276
1996-02-29T08:59:59Z,1996-02-29T07:46:02Z,3009.9136770661294,4126.015355078123,3702.74030345882
1996-02-29T09:59:59Z,1996-02-29T08:46:02Z,3357.9429219998256,4913.986957332964,4541.54061043054
1996-02-29T10:59:59Z,1996-02-29T09:46:02Z,3389.4964722676536,4498.721663564346,4686.580146816486
1996-02-29T11:59:59Z,1996-02-29T10:46:02Z,3319.85130535562,4684.566668347251,4905.594539786782
1996-02-29T12:59:59Z,1996-02-29T11:46:02Z,3260.1732053118303,4855.034432286319,4937.909954246874
1996-02-29T13:59:59Z,1996-02-29T12:46:02Z,3158.710607271355,4058.1147203967466,4888.501891485605
1996-02-29T14:59:59Z,1996-02-29T13:46:02Z,3176.4438455097775,3953.212248088753,4724.646340365875
1996-02-29T15:59:59Z,1996-02-29T14:46:02Z,3076.2616061700073,4031.9966311636176,4831.5684876542655
1996-02-29T16:59:59Z,1996-02-29T15:46:02Z,2695.9920075742693,3583.0603344236893,4393.624540955235
1996-02-29T17:59:59Z,1996-02-29T16:46:02Z,1926.8432739512104,2904.604096488983,4677.339222807179
1996-02-29T18:59:59Z,1996-02-29T17:46:02Z,1001.2748259745381,1098.7750992699732,2446.7148542109494
1996-02-29T19:59:59Z,1996-02-29T18:46:02Z,556.7983989496769,518.9200547754544,1413.307689650237
1996-02-29T20:59:59Z,1996-02-29T19:46:02Z,432.3589827288388,371.2950319025802,943.4882618850629
1996-02-29T21:59:59Z,1996-02-29T20:46:02Z,399.5865744906415,81.81107121248685,582.9069100207142
1996-02-29T22:59:59Z,1996-02-29T21:46:02Z,326.1510590397535,333.1964717502343,495.6791174677946
1996-02-29T23:59:59Z,1996-02-29T22:46:02Z,219.7571474406948,363.5241491766632,394.6421233096663
1996-03-01T00:59:59Z,1996-02-29T23:46:02Z,127.8414458942096,280.21761118882785,320.9156641316926
1996-03-01T01:59:59Z,1996-03-01T00:46:15Z,171.34276105620714,216.44340451585163,197.5829901709012
1996-03-01T02:59:59Z,1996-03-01T01:46:15Z,222.6981758852341,426.73226256478733,250.76214044724424
1996-03-01T03:59:59Z,1996-03-01T02:46:15Z,230.38327845942686,398.74993818219673,220.1315953917397
1996-03-01T04:59:59Z,1996-03-01T03:46:15Z,301.18490688372555,390.2776911949029,206.3949777891581
1996-03-01T05:59:59Z,1996-03-01T04:46:15Z,474.5143322776245,416.4558321685299,210.90164276779933
1996-03-01T06:59:59Z,1996-03-01T05:46:15Z,660.3794574051374,473.6531709403722,296.60644248557725
1996-03-01T07:59:59Z,1996-03-01T06:46:15Z,1694.9323091984036,1074.1863551439205,1433.6612905251834
1996-03-01T08:59:59Z,1996-03-01T07:46:15Z,2961.6262595449048,3924.4370657090285,3828.3842758061846
1996-03-01T09:59:59Z,1996-03-01T08:46:15Z,3329.3622039175243,4592.8975431194885,4463.199349498523
