TIMESTAMP,solar_TIMESTAMP,GBR_GUI_ST2_Psy_Js_1,GBR_GUI_ST2_Psy_Js_2,GBR_GUI_ST2_Psy_Js_3,GBR_GUI_ST2_Psy_Js_4,GBR_GUI_ST2_Psy_Js_5,GBR_GUI_ST2_Psy_Js_6,GBR_GUI_ST2_Psy_Js_7,GBR_GUI_ST2_Psy_Js_8,GBR_GUI_ST2_Psy_Js_9
2003-05-05T11:15:00Z,2003-05-05T10:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T11:30:00Z,2003-05-05T11:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T11:45:00Z,2003-05-05T11:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T12:00:00Z,2003-05-05T11:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T12:15:00Z,2003-05-05T11:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T12:30:00Z,2003-05-05T12:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T12:45:00Z,2003-05-05T12:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T13:00:00Z,2003-05-05T12:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T13:15:00Z,2003-05-05T12:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T13:30:00Z,2003-05-05T13:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T13:45:00Z,2003-05-05T13:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T14:00:00Z,2003-05-05T13:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T14:15:00Z,2003-05-05T13:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T14:30:00Z,2003-05-05T14:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T14:45:00Z,2003-05-05T14:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T15:00:00Z,2003-05-05T14:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T15:15:00Z,2003-05-05T14:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T15:30:00Z,2003-05-05T15:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T15:45:00Z,2003-05-05T15:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T16:00:00Z,2003-05-05T15:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T16:15:00Z,2003-05-05T15:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T16:30:00Z,2003-05-05T16:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T16:45:00Z,2003-05-05T16:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T17:00:00Z,2003-05-05T16:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T17:15:00Z,2003-05-05T16:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T17:30:00Z,2003-05-05T17:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T17:45:00Z,2003-05-05T17:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T18:00:00Z,2003-05-05T17:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T18:15:00Z,2003-05-05T17:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T18:30:00Z,2003-05-05T18:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T18:45:00Z,2003-05-05T18:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T19:00:00Z,2003-05-05T18:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T19:15:00Z,2003-05-05T18:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T19:30:00Z,2003-05-05T19:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T19:45:00Z,2003-05-05T19:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T20:00:00Z,2003-05-05T19:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T20:15:00Z,2003-05-05T19:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T20:30:00Z,2003-05-05T20:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T20:45:00Z,2003-05-05T20:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T21:00:00Z,2003-05-05T20:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T21:15:00Z,2003-05-05T20:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T21:30:00Z,2003-05-05T21:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T21:45:00Z,2003-05-05T21:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T22:00:00Z,2003-05-05T21:43:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T22:15:00Z,2003-05-05T21:58:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T22:30:00Z,2003-05-05T22:13:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-05T22:45:00Z,2003-05-05T22:28:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
