TIMESTAMP,solar_TIMESTAMP,GBR_GUI_ST3_Psy_Js_1,GBR_GUI_ST3_Psy_Js_2,GBR_GUI_ST3_Psy_Js_3,GBR_GUI_ST3_Psy_Js_4,GBR_GUI_ST3_Psy_Js_5,GBR_GUI_ST3_Psy_Js_6,GBR_GUI_ST3_Psy_Js_7,GBR_GUI_ST3_Psy_Js_8
2003-07-12T01:30:00Z,2003-07-12T01:05:11Z,85.32482204364848,29.248961572920877,6.939217263571408,3.7371732371732844,130.02279616363597,137.489624921734,4.078441936380938,6.7143075965740415
2003-07-12T01:45:00Z,2003-07-12T01:20:11Z,9.207367931045926,10.499345399079468,8.96348834105671,3.917190760911927,227.80330577036133,0.8500288746264913,9.770806005885978,4.80253198318637
2003-07-12T02:00:00Z,2003-07-12T01:35:11Z,23.48709411572862,33.546088996294294,6.887701164659573,2.8118524795836928,0,126.33396817407383,4.479263966294394,3.5914517909329557
2003-07-12T02:15:00Z,2003-07-12T01:50:11Z,13.893332985366795,7.776792084055432,9.077581358412582,3.8320633367455645,298.8518663945462,21.519123472089174,3.6202017461393226,3.991707221389714
2003-07-12T02:30:00Z,2003-07-12T02:05:11Z,17.30249176714855,30.784610476440232,9.950902493088803,2.2098874897582665,189.4682157270133,80.14385365904452,5.517440176201148,3.4551915764276204
2003-07-12T02:45:00Z,2003-07-12T02:20:11Z,0.28141984109758156,61.24024399144007,10.041343041813162,3.1759346398542445,280.8017369341761,246.80601075602763,4.478108270241745,8.027353526846966
2003-07-12T03:00:00Z,2003-07-12T02:35:11Z,10.756489139861182,10.248262321354042,6.221888861190871,2.074297006205789,18.434381642792992,0,0.9509765871925928,5.849906315103481
2003-07-12T03:15:00Z,2003-07-12T02:50:11Z,20.932727421020303,0,0,0.03685828552078997,362.48705362716237,19.359387720981967,6.5684186920749035,2.4556580372994685
2003-07-12T03:30:00Z,2003-07-12T03:05:11Z,8.073540125599052,0,1.1102467194943952,0.03644554469008209,135.4874905445587,43.02432573773068,4.367012971750357,3.190544053544308
2003-07-12T03:45:00Z,2003-07-12T03:20:11Z,6.743032779389855,37.944654747331214,0.9724068308941154,0.6008393503644894,36.06756561307665,66.38295254002267,2.2115091340258415,3.850204634997495
2003-07-12T04:00:00Z,2003-07-12T03:35:11Z,0,15.948864720460653,2.2171690105116895,0.04900544847991667,19.91609967739968,123.75443461209653,0.5707055751124088,0
2003-07-12T04:15:00Z,2003-07-12T03:50:11Z,20.642748161038266,13.24456206191467,0.059462169987335584,0.555371886007229,69.7963457733031,13.750898993929932,1.2082024376326996,2.9541362091604495
2003-07-12T04:30:00Z,2003-07-12T04:05:11Z,38.27332765995434,11.44459627480883,1.7575153422167076,0.4442553672272311,122.87133680045996,92.84742932453331,0.8032980377569097,3.7076667446458362
2003-07-12T04:45:00Z,2003-07-12T04:20:11Z,79.09068678965232,34.776252411538884,1.6589625595612412,0,122.90425298988811,191.1456635803172,0,4.499191069855075
2003-07-12T05:00:00Z,2003-07-12T04:35:11Z,40.108346093921526,33.42448868917343,0.5178104490338512,1.8407799139225831,82.12841806339468,36.81091015085706,3.454825741859821,2.0472079079442107
2003-07-12T05:15:00Z,2003-07-12T04:50:11Z,84.08299289105267,60.63220890898672,1.6064417068865495,1.8395548160805206,138.9798669196215,158.9979286164445,0.62119164261459,2.102174331585443
2003-07-12T05:30:00Z,2003-07-12T05:05:11Z,109.93254029397123,32.36304065185912,1.7654945097797357,3.684775982842086,381.68125155540474,162.81170340805411,0.6972743818432687,0
2003-07-12T05:45:00Z,2003-07-12T05:20:11Z,160.6881056594586,31.33352839098436,3.272086925958484,5.768016046738956,207.35444682423852,315.86609544616795,1.6693695066648528,1.682689268662646
2003-07-12T06:00:00Z,2003-07-12T05:35:11Z,212.58041102590278,29.245737759158153,4.878068742347463,8.013974132341625,62.23177966972021,405.66822444509495,2.5934417590551506,1.9400722069436287
2003-07-12T06:15:00Z,2003-07-12T05:50:11Z,242.2274166613883,56.603897223628664,6.535305297193631,12.946042122415435,112.68344343340787,446.7635847273383,5.090305139880519,2.7282376104324446
2003-07-12T06:30:00Z,2003-07-12T06:05:11Z,417.2589743004035,58.37857397351233,6.892556162607472,18.426210386591606,276.000534462685,765.8247144477801,12.114662568268992,3.6099612689753164
2003-07-12T06:45:00Z,2003-07-12T06:20:11Z,452.71495895957804,56.285574368914396,8.751477860485293,19.909013730406933,116.40225530846857,869.0612849808695,12.360791538924389,4.6078949029884955
2003-07-12T07:00:00Z,2003-07-12T06:35:11Z,554.6010653945848,79.8770606022949,8.729515525359028,22.66282662876667,84.3640024235094,929.604450350572,14.820883076153958,5.760776799388452
2003-07-12T07:15:00Z,2003-07-12T06:50:11Z,558.4354050847983,80.17124821516015,8.786703523985096,24.151042006647906,187.1052550174211,1030.2197281961705,16.568305899196194,8.611563765628988
2003-07-12T07:30:00Z,2003-07-12T07:05:11Z,719.8439364918592,72.97433599106171,12.785911363926845,28.79571741439583,119.01132513235233,1211.2925109139553,23.24774349765325,4.446064422202154
2003-07-12T07:45:00Z,2003-07-12T07:20:11Z,733.708471300242,66.87932054231192,12.794115748368261,30.237162273146062,371.9488417705485,1500.9818971945638,21.43919247359562,10.44799191495584
2003-07-12T08:00:00Z,2003-07-12T07:35:11Z,810.1477358637167,94.62221535311562,16.43797541214943,36.58891431617324,262.9376586977798,1447.110887131335,22.976549340215147,8.442480666442233
2003-07-12T08:15:00Z,2003-07-12T07:50:11Z,846.9048314766267,89.9019397711963,19.65939936432907,39.60106704984044,207.56860317446748,1733.7359606389412,36.037664739185736,10.271918296933782
2003-07-12T08:30:00Z,2003-07-12T08:05:11Z,1043.0594431830662,112.67058566628552,27.2193401549647,53.37303805135837,58.51967418831482,2565.8196482786575,42.81596059224978,21.629891122372428
2003-07-12T08:45:00Z,2003-07-12T08:20:11Z,1340.9574358865448,173.31111490576487,36.22851798707641,74.77324113538701,475.9526564013272,2652.737015799963,50.724471511686104,19.601019687711233
2003-07-12T09:00:00Z,2003-07-12T08:35:11Z,1552.242830245157,240.52796710467695,52.34155586015168,99.27974519739021,747.7917894978385,3428.016650252041,80.4597614182161,30.130173851749653
2003-07-12T09:15:00Z,2003-07-12T08:50:11Z,2047.4607365716377,317.1109867288148,68.9393350554364,132.33131730674725,742.0633890441653,4118.838848052577,102.90399897181872,40.914786911689035
2003-07-12T09:30:00Z,2003-07-12T09:05:11Z,2159.229255950652,349.93507730228913,77.48319158403811,142.89027289635763,1011.2363121400721,4876.348245231971,115.63066734733168,41.105146827728895
2003-07-12T09:45:00Z,2003-07-12T09:20:11Z,2532.8135872062544,414.8155686263684,91.31362990754567,162.83504289167362,1419.1469600376154,5216.86533920136,145.56126113903974,57.11186966127103
2003-07-12T10:00:00Z,2003-07-12T09:35:11Z,2562.2578555338955,452.6778103851927,95.63445062022453,173.87476234880734,1798.3883595288928,5435.644079548707,150.48334442199754,54.28511029078003
2003-07-12T10:15:00Z,2003-07-12T09:50:11Z,2622.2138644199854,557.2692415410431,101.58627684565828,188.84202402780883,1811.0453234203258,5602.186014329671,147.83334248327353,53.9661650070116
2003-07-12T10:30:00Z,2003-07-12T10:05:11Z,2896.1033067038056,618.7019524074565,111.4534577568139,196.80354154209925,1957.9199362856298,5940.262944490558,159.8462030874845,64.26749325349357
2003-07-12T10:45:00Z,2003-07-12T10:20:11Z,2902.896066570136,616.0375591570414,113.67396741761539,206.9155151789418,2425.3830859649083,6287.334485901262,173.58672405346428,69.41730583670306
2003-07-12T11:00:00Z,2003-07-12T10:35:11Z,3022.0052613607036,709.2631237810807,126.32540864608157,220.94574477343414,2561.691820282249,6279.418902378891,178.4291650620839,73.84792368431523
2003-07-12T11:15:00Z,2003-07-12T10:50:11Z,3231.177064984904,793.8510869554193,141.83163016320583,236.05442798627374,2783.673486003689,6680.000360970127,188.76799984324776,83.94592459060259
2003-07-12T11:30:00Z,2003-07-12T11:05:11Z,3242.7515145244192,981.5286983787129,153.546237275012,251.18638280521495,2997.193465448549,7394.78548388724,200.9481265119567,89.68190827346355
2003-07-12T11:45:00Z,2003-07-12T11:20:11Z,3383.0778152690436,1023.1828938851762,154.85639193089764,256.3531437811082,3502.2876067819852,7517.08321995371,210.95391635043296,96.9892776845329
2003-07-12T12:00:00Z,2003-07-12T11:35:11Z,3358.471179563842,1015.5989626420718,171.83572992149817,257.9687815633794,3809.1637188196078,7370.115092404303,207.1973183251594,93.15349121079082
2003-07-12T12:15:00Z,2003-07-12T11:50:11Z,3337.9298330731995,1063.3961447701317,173.5073624629476,260.91632595109036,3769.1926985370583,7327.174831401406,205.634775409631,93.95575850355843
2003-07-12T12:30:00Z,2003-07-12T12:05:11Z,3124.125875115677,1056.4944821511094,161.7461193746129,244.74146839275417,3249.159009165344,7339.170362267895,220.80934185100452,85.428477481281
2003-07-12T12:45:00Z,2003-07-12T12:20:11Z,3110.740883739547,1062.3107811941004,161.96277674253943,233.3789628380328,3200.9011742704774,6858.5050400669215,198.19577564430267,88.963662112659
2003-07-12T13:00:00Z,2003-07-12T12:35:11Z,2812.1517446999073,946.99207485948,156.9102692605403,223.99874991996077,3468.2515023149695,6708.866273163394,186.67151197887128,79.24837473332116
2003-07-12T13:15:00Z,2003-07-12T12:50:11Z,2557.70978823312,887.6698346484596,145.12972438217184,203.5910976547548,3183.501192639442,6115.5215217412915,181.31174662262936,75.02755808105063
2003-07-12T13:30:00Z,2003-07-12T13:05:11Z,2388.201747369334,742.1301490702564,119.14366096121768,174.63534870519973,2473.0732653981013,5240.2848477177895,153.1866675857793,61.29947107153755
2003-07-12T13:45:00Z,2003-07-12T13:20:11Z,2309.3056494974635,724.3935766656059,104.19982025653854,159.1013210391836,2948.7222032535033,4878.4603502280925,119.36387686710225,54.11417863420843
2003-07-12T14:00:00Z,2003-07-12T13:35:11Z,2249.176128678479,695.0824732222404,91.79374943551852,147.8003589932976,2235.211103375175,4796.040737436466,126.60251487956326,50.633399183082894
2003-07-12T14:15:00Z,2003-07-12T13:50:11Z,2218.841722188896,642.7138099582709,100.08250957693407,151.65200175314953,1901.900773606903,4843.105132385671,128.90031350706477,55.29382272700256
2003-07-12T14:30:00Z,2003-07-12T14:05:11Z,2220.4998235394614,724.1196710131434,103.82540669671583,167.89432716535413,1819.6036917781896,5039.819424441458,135.93988875861004,58.40610574402573
2003-07-12T14:45:00Z,2003-07-12T14:20:11Z,2288.520876671354,688.4750118153405,103.32635837255602,167.96904253507972,1717.4527162262987,4653.8932534532805,125.501555220543,62.517757386199214
2003-07-12T15:00:00Z,2003-07-12T14:35:11Z,2150.5991836074336,580.5679197008938,90.85132197856349,146.5094745546582,1569.3009464979732,4372.596378600566,116.02883986839764,49.56798349424268
2003-07-12T15:15:00Z,2003-07-12T14:50:11Z,1978.0124191238685,522.1054619886692,87.05111193995432,135.24537326439506,1841.360330008989,3984.664778883411,105.08978172614191,52.59179619780908
2003-07-12T15:30:00Z,2003-07-12T15:05:11Z,2079.2504282717064,558.8953502245864,95.01618965804829,145.15075434120422,1874.3909432175124,4766.002447378257,119.30288311614999,57.89299771031288
2003-07-12T15:45:00Z,2003-07-12T15:20:11Z,2307.8815397622634,588.7211474089853,108.5547095908831,171.16928971034105,1308.5470978056446,5503.023796661405,146.6780656026628,64.51530385768557
2003-07-12T16:00:00Z,2003-07-12T15:35:11Z,2875.1499331732007,792.3714275109334,153.63091763478772,230.42245257207816,1631.478281045863,6316.95446219218,178.30602003101785,77.76803696353309
2003-07-12T16:15:00Z,2003-07-12T15:50:11Z,3585.2462469112884,963.4404769486848,194.29041857173073,278.9289657289247,2453.8500489858316,7509.825793018313,219.4660086915838,105.64709414195812
2003-07-12T16:30:00Z,2003-07-12T16:05:11Z,4203.36589191405,1142.1200174123308,231.0507457634185,310.2239054474277,2760.7983792407395,8026.997141945921,248.3277484948899,120.3603174784953
2003-07-12T16:45:00Z,2003-07-12T16:20:11Z,4340.874001126441,1419.6744901418008,252.1771309725714,328.08682921600916,3887.6098898214505,9123.240202981935,284.30173750646406,133.3132960133231
2003-07-12T17:00:00Z,2003-07-12T16:35:11Z,4320.09478951148,1676.7397925482205,255.50176544485956,331.59364970095237,4667.130532500628,9105.079983000946,299.0161648571057,133.05447339648634
2003-07-12T17:15:00Z,2003-07-12T16:50:11Z,4539.304543794644,1689.171730547476,245.1799372689192,333.84895937637646,4834.906094570448,9346.07149781514,267.3298942004883,130.74335357016082
2003-07-12T17:30:00Z,2003-07-12T17:05:11Z,4609.992970189532,1775.1852495759188,231.81050408303093,324.738761227575,5155.289964947667,8904.522341354035,275.33067147439857,128.97295715685385
2003-07-12T17:45:00Z,2003-07-12T17:20:11Z,4808.927565640704,1932.6817001488146,257.74256585695343,350.5247551713977,5825.6631634312,9910.170649794338,290.2856807572176,138.64292119489565
2003-07-12T18:00:00Z,2003-07-12T17:35:11Z,4777.796216399978,2026.2133972276408,264.1682137768532,352.8942288095548,5892.738510418217,10264.97542858023,306.3422255833122,141.43366768924918
2003-07-12T18:15:00Z,2003-07-12T17:50:11Z,4893.701934507736,2164.342337932668,259.72699692318844,354.33504996299905,5974.049149407307,9938.478015142837,282.62914342119115,140.76028502745217
2003-07-12T18:30:00Z,2003-07-12T18:05:11Z,4645.685021906799,2133.0065733384686,251.19813245777618,337.1302858872529,6109.081852939377,9502.126641371853,288.13294460408406,131.76076740025908
2003-07-12T18:45:00Z,2003-07-12T18:20:11Z,4562.0907762428105,2072.1680056093282,244.7491059644411,319.25600677429196,5935.294091249535,9355.438011087806,269.75863803860983,121.94444484483567
2003-07-12T19:00:00Z,2003-07-12T18:35:11Z,4393.244808990815,2013.160221895571,241.22814399539004,313.8363614741609,5513.423640414261,8858.30584619694,257.5372809193918,125.60451196950748
2003-07-12T19:15:00Z,2003-07-12T18:50:11Z,4231.0565371147395,2042.0838265159805,240.08325574874718,304.23681718209764,5317.068815610156,9103.701465440878,280.28631096804116,124.24723811423766
2003-07-12T19:30:00Z,2003-07-12T19:05:11Z,4140.778720026186,2018.9117244640463,234.2574118800554,299.6077971652484,5093.365333771232,8908.09437282532,272.66542498221713,121.7533549244915
2003-07-12T19:45:00Z,2003-07-12T19:20:11Z,4029.40529644817,1944.1525093790162,226.46036639818823,291.9945389316974,5673.293059018396,8816.1890996622,256.88215543672067,118.10803288611208
2003-07-12T20:00:00Z,2003-07-12T19:35:11Z,3920.082214782185,1911.6938320474105,216.53198045786817,278.51081902920214,4550.144698820071,8448.260509706672,260.0789155604554,113.74106231609484
2003-07-12T20:15:00Z,2003-07-12T19:50:11Z,3852.5455821322034,1918.701714802611,208.8067696400909,275.0955245923674,4424.930496461051,8783.063943930927,260.2010375308958,103.45580163616977
2003-07-12T20:30:00Z,2003-07-12T20:05:11Z,3682.6481978746006,1801.053080428378,201.4787108285611,259.05422370848544,4805.120720847677,7921.206757057986,208.6772176543468,100.84207499793126
2003-07-12T20:45:00Z,2003-07-12T20:20:11Z,3622.9202074874775,1673.0421597674906,189.65617155783988,247.88784205133123,4113.613770429885,7721.879235395629,210.0238749483541,95.25033974059927
2003-07-12T21:00:00Z,2003-07-12T20:35:11Z,3291.7368034923747,1570.7405160925207,171.53069529366738,221.21987653042433,3681.350331723808,6863.19432086977,184.1335336384959,85.37552215487591
2003-07-12T21:15:00Z,2003-07-12T20:50:11Z,3120.197486862311,1371.3252879255856,144.59806844449187,196.69876307046604,3679.359029862186,6545.173868087857,163.2288628082017,72.10427558892196
2003-07-12T21:30:00Z,2003-07-12T21:05:11Z,2711.5766722642225,1205.1919278619014,121.95290768944344,166.510197440531,2938.754694562,5554.383425377626,136.98982661354427,62.4607535201776
2003-07-12T21:45:00Z,2003-07-12T21:20:11Z,2443.042733278411,1080.5112216974826,108.87048091302653,145.564327814284,2506.397591492139,5030.651932599954,129.60465782600414,48.74347738823915
2003-07-12T22:00:00Z,2003-07-12T21:35:11Z,2178.757513164387,960.9656782027323,90.67871367574901,122.83908485412292,2559.0974416398044,4299.0219404771115,97.70883350638655,43.684548639900115
2003-07-12T22:15:00Z,2003-07-12T21:50:11Z,1887.4735787783554,752.1348046441906,72.42085493336604,98.48717183153722,1714.4178098335497,3735.328593617403,83.17225327136735,37.89001850689159
2003-07-12T22:30:00Z,2003-07-12T22:05:11Z,1602.2878379781157,668.7859919483886,60.000206637332234,85.843114332592,1430.5212399684754,3208.5892013152907,77.15413945816225,29.833337491513735
2003-07-12T22:45:00Z,2003-07-12T22:20:11Z,1443.8412631665553,564.4365593004618,51.876591142768355,72.88211950266073,1657.5602068530177,2788.0295708346744,52.29907518843791,31.411114682585136
2003-07-12T23:00:00Z,2003-07-12T22:35:11Z,1313.514641168442,522.1933102213837,42.02054002133443,58.974994888775804,1136.0300668888876,2373.4124313483553,40.299724300746256,22.050047738454644
2003-07-12T23:15:00Z,2003-07-12T22:50:11Z,1195.9608398943494,442.09033013404274,36.21454879043596,50.2007015854243,965.3277827245486,2108.8836115320846,43.87864383022447,18.32526169986611
2003-07-12T23:30:00Z,2003-07-12T23:05:11Z,966.4907678042674,359.0472544272639,35.5918705266259,47.155824697269246,723.7393670411702,1929.16724205794,30.866620769605262,18.726942270546196
2003-07-12T23:45:00Z,2003-07-12T23:20:11Z,921.4530685225677,366.5660896819907,31.821697957664462,42.21331469271825,768.948001295486,1682.0394882284152,37.13302829757076,8.703804708840341
2003-07-13T00:00:00Z,2003-07-12T23:35:11Z,422.4544760369189,264.18255996110855,41.371144431589315,40.54537763153629,326.9200303015217,825.2447073021843,21.679237801623152,11.646535455367065
