TIMESTAMP,solar_TIMESTAMP,ESP_TIL_OAK_Qil_Js_1,ESP_TIL_OAK_Qil_Js_2,ESP_TIL_OAK_Qil_Js_3,ESP_TIL_OAK_Qil_Js_4,ESP_TIL_OAK_Qil_Js_5,ESP_TIL_OAK_Qil_Js_6,ESP_TIL_OAK_Qil_Js_7,ESP_TIL_OAK_Qil_Js_8,ESP_TIL_OAK_Qil_Js_9,ESP_TIL_OAK_Qil_Js_10
2010-05-04T23:15:00Z,2010-05-04T23:22:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-04T23:30:00Z,2010-05-04T23:37:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-04T23:45:00Z,2010-05-04T23:52:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T00:00:00Z,2010-05-05T00:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T00:15:00Z,2010-05-05T00:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T00:30:00Z,2010-05-05T00:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T00:45:00Z,2010-05-05T00:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T01:00:00Z,2010-05-05T01:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T01:15:00Z,2010-05-05T01:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T01:30:00Z,2010-05-05T01:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T01:45:00Z,2010-05-05T01:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T02:00:00Z,2010-05-05T02:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T02:15:00Z,2010-05-05T02:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T02:30:00Z,2010-05-05T02:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T02:45:00Z,2010-05-05T02:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T03:00:00Z,2010-05-05T03:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T03:15:00Z,2010-05-05T03:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T03:30:00Z,2010-05-05T03:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T03:45:00Z,2010-05-05T03:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T04:00:00Z,2010-05-05T04:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T04:15:00Z,2010-05-05T04:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T04:30:00Z,2010-05-05T04:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T04:45:00Z,2010-05-05T04:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T05:00:00Z,2010-05-05T05:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T05:15:00Z,2010-05-05T05:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T05:30:00Z,2010-05-05T05:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T05:45:00Z,2010-05-05T05:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T06:00:00Z,2010-05-05T06:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T06:15:00Z,2010-05-05T06:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T06:30:00Z,2010-05-05T06:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T06:45:00Z,2010-05-05T06:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T07:00:00Z,2010-05-05T07:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T07:15:00Z,2010-05-05T07:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
