TIMESTAMP,solar_TIMESTAMP,ESP_SAN_B_100_Oeu_Jt_1,ESP_SAN_B_100_Oeu_Jt_2,ESP_SAN_B_100_Oeu_Jt_3
2014-04-20T23:08:00Z,2014-04-20T22:46:03Z,1.2255068607068609,1.145245390070922,1.1684244444444443
2014-04-20T23:38:00Z,2014-04-20T23:16:03Z,1.2397971413721416,1.2963462695035461,1.1684244444444443
2014-04-21T00:08:00Z,2014-04-20T23:46:03Z,1.3150243503118504,1.1494777304964539,1.1684244444444443
2014-04-21T00:38:00Z,2014-04-21T00:16:14Z,1.2132678794178795,1.2467074609929079,1.1684244444444443
2014-04-21T01:08:00Z,2014-04-21T00:46:14Z,1.2030681133056134,1.3172592907801417,1.1684244444444443
2014-04-21T01:38:00Z,2014-04-21T01:16:14Z,1.2023324324324325,1.3053555744680851,1.1684244444444443
2014-04-21T02:08:00Z,2014-04-21T01:46:14Z,1.200190150727651,1.4298551773049648,1.1684244444444443
2014-04-21T02:38:00Z,2014-04-21T02:16:14Z,1.2215388513513514,1.2886116879432625,1.1684244444444443
2014-04-21T03:08:00Z,2014-04-21T02:46:14Z,1.1984642411642412,1.3897278865248226,1.1684244444444443
2014-04-21T03:38:00Z,2014-04-21T03:16:14Z,1.1958389033264034,1.1994386666666665,1.1684244444444443
2014-04-21T04:08:00Z,2014-04-21T03:46:14Z,1.1958389033264034,1.1662281418439715,1.1684244444444443
2014-04-21T04:38:00Z,2014-04-21T04:16:14Z,1.1958389033264034,1.1742144680851065,1.1684244444444443
2014-04-21T05:08:00Z,2014-04-21T04:46:14Z,1.2264286902286903,1.3039724539007091,1.1684244444444443
2014-04-21T05:38:00Z,2014-04-21T05:16:14Z,1.260339838877339,1.1770953758865248,1.1684244444444443
2014-04-21T06:08:00Z,2014-04-21T05:46:14Z,1.1958389033264034,1.2705201418439718,1.1684244444444443
2014-04-21T06:38:00Z,2014-04-21T06:16:14Z,1.1958389033264034,1.2601028936170213,1.1684244444444443
2014-04-21T07:08:00Z,2014-04-21T06:46:14Z,1.2456903066528069,1.3901871773049648,1.3448053524492232
2014-04-21T07:38:00Z,2014-04-21T07:16:14Z,1.2174122661122662,1.222123659574468,1.1684244444444443
2014-04-21T08:08:00Z,2014-04-21T07:46:14Z,1.1958389033264034,1.2867271773049644,1.1684244444444443
2014-04-21T08:38:00Z,2014-04-21T08:16:14Z,1.2563652027027028,1.1778373900709218,1.1684244444444443
2014-04-21T09:08:00Z,2014-04-21T08:46:14Z,1.1958389033264034,1.2046028085106384,1.1684244444444443
2014-04-21T09:38:00Z,2014-04-21T09:16:14Z,1.241431574844075,1.338262893617021,1.1684244444444443
2014-04-21T10:08:00Z,2014-04-21T09:46:14Z,1.1958389033264034,1.184656170212766,1.1684244444444443
2014-04-21T10:38:00Z,2014-04-21T10:16:14Z,1.261337707900208,1.462708709219858,1.1684244444444443
2014-04-21T11:08:00Z,2014-04-21T10:46:14Z,1.3862548596673596,1.9131629787234044,1.1684244444444443
2014-04-21T11:38:00Z,2014-04-21T11:16:14Z,2.031932432432433,2.6588624680851063,1.6329105376344084
2014-04-21T12:08:00Z,2014-04-21T11:46:14Z,4.140042697505198,4.695356822695036,2.102295842293907
2014-04-21T12:38:00Z,2014-04-21T12:16:14Z,5.09665446985447,6.753828680851064,2.3694817204301075
2014-04-21T13:08:00Z,2014-04-21T12:46:14Z,4.069047687110188,5.587054269503546,3.234008315412186
2014-04-21T13:38:00Z,2014-04-21T13:16:14Z,1.4837240384615384,1.7495498156028368,1.2076318757467144
2014-04-21T14:08:00Z,2014-04-21T13:46:14Z,1.4624470114345114,1.7504548368794326,1.4830470250896057
2014-04-21T14:38:00Z,2014-04-21T14:16:14Z,2.9013918659043663,2.885857815602837,2.109094265232975
2014-04-21T15:08:00Z,2014-04-21T14:46:14Z,5.6137904365904365,6.922850524822694,4.196593954599761
2014-04-21T15:38:00Z,2014-04-21T15:16:14Z,4.5747078482328485,6.684785673758865,3.16918523297491
2014-04-21T16:08:00Z,2014-04-21T15:46:14Z,2.041198544698545,2.7834593191489363,1.444506093189964
2014-04-21T16:38:00Z,2014-04-21T16:16:14Z,1.19669630977131,1.1568536453900709,1.1684244444444443
2014-04-21T17:08:00Z,2014-04-21T16:46:14Z,1.3349364085239086,1.1605239716312057,1.1684244444444443
2014-04-21T17:38:00Z,2014-04-21T17:16:14Z,1.1958389033264034,1.1502293333333335,1.1684244444444443
2014-04-21T18:08:00Z,2014-04-21T17:46:14Z,1.2485323024948025,1.166217560283688,1.1684244444444443
2014-04-21T18:38:00Z,2014-04-21T18:16:14Z,1.1993201663201662,1.562194865248227,1.1684244444444443
2014-04-21T19:08:00Z,2014-04-21T18:46:14Z,1.1958389033264034,1.3369479716312056,1.1684244444444443
2014-04-21T19:38:00Z,2014-04-21T19:16:14Z,1.1958389033264034,1.2468664113475176,1.1684244444444443
2014-04-21T20:08:00Z,2014-04-21T19:46:14Z,1.2819285862785863,1.3319453333333333,1.1684244444444443
2014-04-21T20:38:00Z,2014-04-21T20:16:14Z,1.1958389033264034,1.3812928510638298,1.1684244444444443
2014-04-21T21:08:00Z,2014-04-21T20:46:14Z,1.1970386954261956,1.358740510638298,1.1684244444444443
2014-04-21T21:38:00Z,2014-04-21T21:16:14Z,1.2078061330561332,1.2281692765957448,1.1684244444444443
2014-04-21T22:08:00Z,2014-04-21T21:46:14Z,1.2016900467775469,1.2186356879432623,1.1684244444444443
2014-04-21T22:38:00Z,2014-04-21T22:16:14Z,1.2398339916839918,1.2071038014184396,1.1684244444444443
