TIMESTAMP,solar_TIMESTAMP,SWE_NOR_ST4_BEF_Pab_Jt_1,SWE_NOR_ST4_BEF_Pab_Jt_2,SWE_NOR_ST4_BEF_Pab_Jt_3,SWE_NOR_ST4_BEF_Pab_Jt_4,SWE_NOR_ST4_BEF_Psy_Jt_5,SWE_NOR_ST4_BEF_Psy_Jt_6,SWE_NOR_ST4_BEF_Psy_Jt_7,SWE_NOR_ST4_BEF_Psy_Jt_8,SWE_NOR_ST4_BEF_Psy_Jt_9,SWE_NOR_ST4_BEF_Psy_Jt_10,SWE_NOR_ST4_BEF_Pab_Jt_11,SWE_NOR_ST4_BEF_Pab_Jt_12,SWE_NOR_ST4_BEF_Pab_Jt_13,SWE_NOR_ST4_BEF_Pab_Jt_14,SWE_NOR_ST4_BEF_Pab_Jt_15,SWE_NOR_ST4_BEF_Pab_Jt_16,SWE_NOR_ST4_BEF_Psy_Jt_17,SWE_NOR_ST4_BEF_Psy_Jt_18,SWE_NOR_ST4_BEF_Psy_Jt_19,SWE_NOR_ST4_BEF_Psy_Jt_20,SWE_NOR_ST4_BEF_Pab_Jt_21,SWE_NOR_ST4_BEF_Pab_Jt_22,SWE_NOR_ST4_BEF_Pab_Jt_23,SWE_NOR_ST4_BEF_Pab_Jt_24,SWE_NOR_ST4_BEF_Psy_Jt_25,SWE_NOR_ST4_BEF_Psy_Jt_26,SWE_NOR_ST4_BEF_Psy_Jt_27,SWE_NOR_ST4_BEF_Psy_Jt_28,SWE_NOR_ST4_BEF_Psy_Jt_29,SWE_NOR_ST4_BEF_Psy_Jt_30,SWE_NOR_ST4_BEF_Pab_Jt_31,SWE_NOR_ST4_BEF_Pab_Jt_32,SWE_NOR_ST4_BEF_Pab_Jt_33,SWE_NOR_ST4_BEF_Pab_Jt_34,SWE_NOR_ST4_BEF_Psy_Jt_35,SWE_NOR_ST4_BEF_Psy_Jt_36,SWE_NOR_ST4_BEF_Psy_Jt_37,SWE_NOR_ST4_BEF_Psy_Jt_38,SWE_NOR_ST4_BEF_Psy_Jt_39,SWE_NOR_ST4_BEF_Psy_Jt_40
1997-12-31T23:00:00Z,1998-01-01T00:05:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-12-31T23:30:00Z,1998-01-01T00:35:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-01-01T00:00:00Z,1998-01-01T01:05:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-01-01T00:30:00Z,1998-01-01T01:35:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-01-01T01:00:00Z,1998-01-01T02:05:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-01-01T01:30:00Z,1998-01-01T02:35:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-01-01T02:00:00Z,1998-01-01T03:05:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-01-01T02:30:00Z,1998-01-01T03:35:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-01-01T03:00:00Z,1998-01-01T04:05:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-01-01T03:30:00Z,1998-01-01T04:35:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
