TIMESTAMP,solar_TIMESTAMP,SWE_NOR_ST4_AFT_Pab_Jt_1,SWE_NOR_ST4_AFT_Pab_Jt_2,SWE_NOR_ST4_AFT_Pab_Jt_3,SWE_NOR_ST4_AFT_Pab_Jt_4,SWE_NOR_ST4_AFT_Psy_Jt_5,SWE_NOR_ST4_AFT_Psy_Jt_6,SWE_NOR_ST4_AFT_Psy_Jt_7,SWE_NOR_ST4_AFT_Psy_Jt_8,SWE_NOR_ST4_AFT_Psy_Jt_9,SWE_NOR_ST4_AFT_Psy_Jt_10,SWE_NOR_ST4_AFT_Pab_Jt_11,SWE_NOR_ST4_AFT_Pab_Jt_12,SWE_NOR_ST4_AFT_Pab_Jt_13,SWE_NOR_ST4_AFT_Pab_Jt_14,SWE_NOR_ST4_AFT_Pab_Jt_15,SWE_NOR_ST4_AFT_Pab_Jt_16,SWE_NOR_ST4_AFT_Psy_Jt_17,SWE_NOR_ST4_AFT_Psy_Jt_18,SWE_NOR_ST4_AFT_Psy_Jt_19,SWE_NOR_ST4_AFT_Psy_Jt_20,SWE_NOR_ST4_AFT_Pab_Jt_21,SWE_NOR_ST4_AFT_Pab_Jt_22,SWE_NOR_ST4_AFT_Psy_Jt_23,SWE_NOR_ST4_AFT_Psy_Jt_24,SWE_NOR_ST4_AFT_Bpu_Jt_25,SWE_NOR_ST4_AFT_Pab_Jt_26,SWE_NOR_ST4_AFT_Pab_Jt_27,SWE_NOR_ST4_AFT_Pab_Jt_28,SWE_NOR_ST4_AFT_Pab_Jt_29,SWE_NOR_ST4_AFT_Psy_Jt_30,SWE_NOR_ST4_AFT_Psy_Jt_31,SWE_NOR_ST4_AFT_Psy_Jt_32,SWE_NOR_ST4_AFT_Psy_Jt_33,SWE_NOR_ST4_AFT_Psy_Jt_34,SWE_NOR_ST4_AFT_Psy_Jt_35,SWE_NOR_ST4_AFT_Pab_Jt_36,SWE_NOR_ST4_AFT_Pab_Jt_37,SWE_NOR_ST4_AFT_Pab_Jt_38,SWE_NOR_ST4_AFT_Pab_Jt_39,SWE_NOR_ST4_AFT_Pab_Jt_40,SWE_NOR_ST4_AFT_Psy_Jt_41,SWE_NOR_ST4_AFT_Psy_Jt_42,SWE_NOR_ST4_AFT_Psy_Jt_43,SWE_NOR_ST4_AFT_Psy_Jt_44,SWE_NOR_ST4_AFT_Bpu_Jt_45
1999-01-01T10:00:00Z,1999-01-01T11:05:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-01-01T10:30:00Z,1999-01-01T11:35:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-01-01T11:00:00Z,1999-01-01T12:05:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-01-01T11:30:00Z,1999-01-01T12:35:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-01-01T12:00:00Z,1999-01-01T13:05:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-01-01T12:30:00Z,1999-01-01T13:35:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-01-01T13:00:00Z,1999-01-01T14:05:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-01-01T13:30:00Z,1999-01-01T14:35:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-01-01T14:00:00Z,1999-01-01T15:05:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-01-01T14:30:00Z,1999-01-01T15:35:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-01-01T15:00:00Z,1999-01-01T16:05:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-01-01T15:30:00Z,1999-01-01T16:35:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-01-01T16:00:00Z,1999-01-01T17:05:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
