TIMESTAMP,TIMESTAMP_solar,USA_PAR_FER_Pta_Jt_1,USA_PAR_FER_Pta_Jt_2,USA_PAR_FER_Pta_Jt_3,USA_PAR_FER_Pta_Jt_4,USA_PAR_FER_Pta_Jt_5,USA_PAR_FER_Pta_Jt_6,USA_PAR_FER_Pta_Jt_7,USA_PAR_FER_Pta_Jt_8
2007-01-02T15:30:00Z,2007-01-02T10:18:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-02T16:00:00Z,2007-01-02T10:48:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-02T16:30:00Z,2007-01-02T11:18:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-02T17:00:00Z,2007-01-02T11:48:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-02T17:30:00Z,2007-01-02T12:18:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-02T18:00:00Z,2007-01-02T12:48:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-02T18:30:00Z,2007-01-02T13:18:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-02T19:00:00Z,2007-01-02T13:48:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-02T19:30:00Z,2007-01-02T14:18:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-02T20:00:00Z,2007-01-02T14:48:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-02T20:30:00Z,2007-01-02T15:18:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-02T21:00:00Z,2007-01-02T15:48:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-02T21:30:00Z,2007-01-02T16:18:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-02T22:00:00Z,2007-01-02T16:48:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-02T22:30:00Z,2007-01-02T17:18:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-02T23:00:00Z,2007-01-02T17:48:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-02T23:30:00Z,2007-01-02T18:18:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T00:00:00Z,2007-01-02T18:48:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T00:30:00Z,2007-01-02T19:18:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T01:00:00Z,2007-01-02T19:48:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T01:30:00Z,2007-01-02T20:18:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T02:00:00Z,2007-01-02T20:48:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T02:30:00Z,2007-01-02T21:18:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T03:00:00Z,2007-01-02T21:48:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T03:30:00Z,2007-01-02T22:18:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T04:00:00Z,2007-01-02T22:48:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T04:30:00Z,2007-01-02T23:18:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T05:00:00Z,2007-01-02T23:48:20Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T05:30:00Z,2007-01-03T00:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T06:00:00Z,2007-01-03T00:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T06:30:00Z,2007-01-03T01:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T07:00:00Z,2007-01-03T01:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T07:30:00Z,2007-01-03T02:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T08:00:00Z,2007-01-03T02:47:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03T08:30:00Z,2007-01-03T03:17:55Z,NA,NA,NA,NA,NA,NA,NA,NA
