TIMESTAMP,solar_TIMESTAMP,USA_HIL_HF1_PRE_Pta_Js_1,USA_HIL_HF1_PRE_Pta_Js_2,USA_HIL_HF1_PRE_Pta_Js_3,USA_HIL_HF1_PRE_Pta_Js_4,USA_HIL_HF1_PRE_Pta_Js_5,USA_HIL_HF1_PRE_Lst_Js_6,USA_HIL_HF1_PRE_Lst_Js_7,USA_HIL_HF1_PRE_Lst_Js_8,USA_HIL_HF1_PRE_Lst_Js_9,USA_HIL_HF1_PRE_Lst_Js_10,USA_HIL_HF1_PRE_Aru_Js_11,USA_HIL_HF1_PRE_Aru_Js_12,USA_HIL_HF1_PRE_Aru_Js_13,USA_HIL_HF1_PRE_Aru_Js_14,USA_HIL_HF1_PRE_Aru_Js_15,USA_HIL_HF1_PRE_Qal_Js_16,USA_HIL_HF1_PRE_Qal_Js_17,USA_HIL_HF1_PRE_Qal_Js_18,USA_HIL_HF1_PRE_Qal_Js_19,USA_HIL_HF1_PRE_Qal_Js_20,USA_HIL_HF1_PRE_Ltu_Js_21,USA_HIL_HF1_PRE_Ltu_Js_22,USA_HIL_HF1_PRE_Ltu_Js_23,USA_HIL_HF1_PRE_Ltu_Js_24,USA_HIL_HF1_PRE_Ltu_Js_25
2010-06-17T18:50:00Z,2010-06-17T13:33:10Z,14.040178705229364,14.325925617817955,10.73813395885254,13.794618532989096,13.170690091220976,4.270115597526216,10.885814157811536,9.360134533866637,12.664834979001013,NA,16.763871238241798,17.191138419560374,13.269763979695188,19.655626684460255,27.813865082374765,3.850224137837712,NA,1.9830625797781691,NA,NA,13.660444137039155,12.554797663920311,8.89467699470022,10.290569308400592,11.219689001727216
2010-06-17T19:00:00Z,2010-06-17T13:43:10Z,14.29783063342297,14.590090566987696,10.923917235867792,14.046710290968996,13.408808449674456,4.0616468079316554,10.4336018780562,9.450340620589404,12.270617953488685,NA,16.20699161928797,16.88635684944306,12.852517941466308,18.974917535497703,26.745565180690186,3.715766517123576,NA,1.8936221332463063,NA,NA,12.585986824113613,12.12291670410702,8.715115629334152,10.077240591787751,10.983133997611237
2010-06-17T19:10:00Z,2010-06-17T13:53:10Z,14.427817229685562,14.7233788032051,11.017514236474296,14.173878762537118,13.528896637241662,3.8623938713004957,10.131640802668189,9.074679897956976,11.968608557838312,NA,15.781842638069149,16.330475259263377,12.53303352015012,18.45644678719765,25.93696551479899,3.6854650916918277,NA,1.7763588372280357,NA,NA,12.434748858141766,11.910470110975009,8.685380431436256,10.04193424675998,10.94399858881296
2010-06-17T19:20:00Z,2010-06-17T14:03:10Z,14.104303128503423,14.391667107867564,10.78440418518811,13.857362345666052,13.229963763197615,3.6324167612054397,9.398706112704888,8.6555193084432,11.283786424849392,NA,14.822541778677625,15.086275097962174,11.80912748395158,17.290455316706627,24.13449935749861,3.6191362523493957,NA,1.6613844696805933,NA,NA,11.818012544762398,11.434628629698874,8.508111125726808,9.831574237628303,10.710912610012139
2010-06-17T19:30:00Z,2010-06-17T14:13:10Z,14.040178705229364,14.325925617817955,10.73813395885254,13.794618532989096,13.170690091220976,3.403029142808201,9.408276018253726,8.373511274925491,10.483968822612407,NA,13.710504152592323,14.367623774320439,10.96462273624146,15.945577314271379,22.08287534970715,3.4582722230198732,NA,1.52091421462692,NA,NA,11.384878703390028,11.3934469762431,8.695286101100915,10.053695175753996,10.957034549102328
2010-06-17T19:40:00Z,2010-06-17T14:23:10Z,14.233128455274587,14.523748907738904,10.877295525618852,13.983407618366412,13.349022410557692,3.240587240182962,9.379582498762128,8.794049262261588,10.197300984958872,NA,13.31412464505661,14.377310926352854,10.662192241208892,15.467966274790907,21.36130299924181,3.375944724639236,NA,1.4383816173041184,NA,NA,11.626835812457113,11.36878082907516,8.794676757457296,10.17173711641158,11.087899792998444
2010-06-17T19:50:00Z,2010-06-17T14:33:10Z,14.427817229685562,14.7233788032051,11.017514236474296,14.173878762537118,13.528896637241662,3.1417158012016966,8.742069657461125,8.846303552422775,9.961889542606439,NA,12.989484683911943,13.671988669012103,10.41393741955578,15.077489652955043,20.774102291321434,3.3175910183497774,NA,1.4111648929304748,NA,NA,11.703079124321507,10.93023487270818,8.586656395969104,9.924755637773663,10.814142110739768
2010-06-17T20:00:00Z,2010-06-17T14:43:10Z,14.233128455274587,14.523748907738904,10.877295525618852,13.983407618366412,13.349022410557692,2.915335846501153,8.005245590671237,7.238918769478632,9.672005897622864,NA,12.590800645187123,12.862862784995976,10.108364120128908,14.598808966854468,20.057605112960747,3.253835819600294,NA,1.303781884184358,NA,NA,11.467705486019039,10.556807255432748,8.303751976739328,9.589327833453876,10.442682817046496
2010-06-17T20:10:00Z,2010-06-17T14:53:10Z,13.848950814011136,14.129890761454272,10.600021505312496,13.607495176361976,12.99388535280594,2.7350056371985128,7.52143127525352,6.092087855994253,9.34738290221868,NA,12.145748512173263,12.320221014068002,9.766336531888728,14.065574353713432,19.263783454474286,3.202010039984303,NA,1.2509884746332893,NA,NA,10.836966795111325,10.037460123889236,8.255481601734864,9.532149131611979,10.37940045237036
2010-06-17T20:20:00Z,2010-06-17T15:03:10Z,13.912503175894967,14.195038109236272,10.645942913159724,13.66968554576496,13.052651410323648,2.528238764407543,6.6710685848510884,4.9976860913988475,9.017813666994876,NA,11.695441180260634,11.715285383253647,9.419277146738148,13.527247838475672,18.46700747740148,3.127686083151667,NA,1.1988003449095344,NA,NA,9.988865012803032,9.42941706513642,8.111555944706051,9.361754591190444,10.190883379066236
2010-06-17T20:30:00Z,2010-06-17T15:13:10Z,13.912503175894967,14.195038109236272,10.645942913159724,13.66968554576496,13.052651410323648,2.28489856873137,6.067613718953784,3.8952396296964715,8.6730038904087,NA,11.225958736729716,10.91547708253002,9.056363324651892,12.96729327456792,17.64314610576437,3.0089586862121402,NA,1.0962624232184184,NA,NA,9.380206007777412,8.985421130010984,7.6690874964384,8.838785366624988,9.6129182706147
