TIMESTAMP,TIMESTAMP_solar,USA_WVF_Aru_Js_1,USA_WVF_Aru_Js_2,USA_WVF_Asa_Js_3,USA_WVF_Pse_Js_4,USA_WVF_Qal_Js_5,USA_WVF_Qal_Js_6,USA_WVF_Qru_Js_7,USA_WVF_Qru_Js_8
1998-03-27T16:00:00Z,1998-03-27T10:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T17:00:00Z,1998-03-27T11:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T18:00:00Z,1998-03-27T12:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T19:00:00Z,1998-03-27T13:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T20:00:00Z,1998-03-27T14:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T21:00:00Z,1998-03-27T15:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T22:00:00Z,1998-03-27T16:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-27T23:00:00Z,1998-03-27T17:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T00:00:00Z,1998-03-27T18:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T01:00:00Z,1998-03-27T19:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T02:00:00Z,1998-03-27T20:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T03:00:00Z,1998-03-27T21:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T04:00:00Z,1998-03-27T22:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T05:00:00Z,1998-03-27T23:36:07Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T06:00:00Z,1998-03-28T00:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T07:00:00Z,1998-03-28T01:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-03-28T08:00:00Z,1998-03-28T02:36:25Z,NA,NA,NA,NA,NA,NA,NA,NA
