TIMESTAMP,solar_TIMESTAMP,SEN_SOU_IRR_Ato_Js_1,SEN_SOU_IRR_Ato_Js_2,SEN_SOU_IRR_Ato_Js_3
1998-07-31T23:59:59Z,1998-07-31T22:52:26Z,214.30077068440022,197.4103771548294,154.19686322655997
1998-08-01T01:00:00Z,1998-07-31T23:52:27Z,214.22758964685164,128.1916036032524,135.36879622212186
1998-08-01T02:00:00Z,1998-08-01T00:52:32Z,204.57267159984724,204.71348047256458,122.31051376291907
1998-08-01T03:00:00Z,1998-08-01T01:52:32Z,222.44742749656407,222.26047142670123,102.46904145800639
1998-08-01T04:00:00Z,1998-08-01T02:52:32Z,245.32312745317415,215.4080172663414,140.0677242524368
1998-08-01T05:00:00Z,1998-08-01T03:52:32Z,178.2703953728354,213.20415923312441,141.9376557018125
1998-08-01T06:00:00Z,1998-08-01T04:52:32Z,192.54424088170873,211.0537684822941,65.37670863599304
1998-08-01T07:00:00Z,1998-08-01T05:52:32Z,326.4864627969125,248.794672718894,69.42389650514936
1998-08-01T08:00:00Z,1998-08-01T06:52:32Z,663.2072200267111,316.841288939876,651.0768372693167
1998-08-01T09:00:00Z,1998-08-01T07:52:32Z,1067.5598256031744,1055.346401121951,1758.5980231571377
1998-08-01T10:00:00Z,1998-08-01T08:52:32Z,1299.8397420654064,1706.6488502387156,2616.985887169516
1998-08-01T11:00:00Z,1998-08-01T09:52:32Z,1442.148152236791,1795.677099779689,2704.37822463637
1998-08-01T12:00:00Z,1998-08-01T10:52:32Z,1475.5306276679514,1869.5576259269808,2845.841817271994
1998-08-01T13:00:00Z,1998-08-01T11:52:32Z,1418.3648031378711,1886.3370514395083,2912.1788334393204
1998-08-01T14:00:00Z,1998-08-01T12:52:32Z,1358.1005466133515,1764.149674517804,2873.3210700503932
1998-08-01T15:00:00Z,1998-08-01T13:52:32Z,1309.3835233884938,1698.9246316434967,2822.4427434914783
1998-08-01T16:00:00Z,1998-08-01T14:52:32Z,1209.827707969275,1534.157086774127,2817.9239475431746
1998-08-01T17:00:00Z,1998-08-01T15:52:32Z,902.2892829950969,1307.2281480769052,2674.5320305164696
1998-08-01T18:00:00Z,1998-08-01T16:52:32Z,517.3883664028347,866.8679010324606,2129.984508828872
1998-08-01T19:00:00Z,1998-08-01T17:52:32Z,279.5382206398228,372.73505884388163,927.8522256898198
1998-08-01T20:00:00Z,1998-08-01T18:52:32Z,199.64916000204244,119.89290692197572,297.7811335947178
1998-08-01T21:00:00Z,1998-08-01T19:52:32Z,175.43143497734388,161.92786168095867,290.30896653985286
1998-08-01T22:00:00Z,1998-08-01T20:52:32Z,111.45258918152564,207.26527363763137,153.70752639008276
1998-08-01T23:00:00Z,1998-08-01T21:52:32Z,131.3664754372655,91.23265039286173,211.67607033605674
1998-08-01T23:59:59Z,1998-08-01T22:52:31Z,217.49229183856704,225.1353469018875,211.10457847797477
1998-08-02T01:00:00Z,1998-08-01T23:52:32Z,208.88192955401126,260.8905014759593,212.42163181299946
1998-08-02T02:00:00Z,1998-08-02T00:52:38Z,151.51768496990638,267.16453959153415,240.1113906874141
1998-08-02T03:00:00Z,1998-08-02T01:52:38Z,159.51304789930325,247.84903669962586,164.31869740884693
1998-08-02T04:00:00Z,1998-08-02T02:52:38Z,181.61608568893317,218.45655202732817,128.72099841336393
1998-08-02T05:00:00Z,1998-08-02T03:52:38Z,138.10998950369336,189.807882676788,161.8699645631558
1998-08-02T06:00:00Z,1998-08-02T04:52:38Z,98.53195964709967,221.98660236796994,82.6523990947387
1998-08-02T07:00:00Z,1998-08-02T05:52:38Z,87.75475650794812,202.2804270594136,124.24300223252233
1998-08-02T08:00:00Z,1998-08-02T06:52:38Z,238.25635030330616,229.44794934555264,216.0263065278801
1998-08-02T09:00:00Z,1998-08-02T07:52:38Z,669.5756840548121,478.7288922611335,1181.8532696343796
1998-08-02T10:00:00Z,1998-08-02T08:52:38Z,1106.0284298438805,1469.9040242573315,2331.3452208190056
1998-08-02T11:00:00Z,1998-08-02T09:52:38Z,1363.8122416425178,1859.4731395614997,2758.1105537157136
1998-08-02T12:00:00Z,1998-08-02T10:52:38Z,1415.9868927509833,1928.0815788282875,2870.3905786561218
1998-08-02T13:00:00Z,1998-08-02T11:52:38Z,1368.6842459112913,1845.035746412857,2939.8655715763143
1998-08-02T14:00:00Z,1998-08-02T12:52:38Z,1314.4080826165791,1799.8038958448756,2875.5561368012873
