TIMESTAMP,solar_TIMESTAMP,SEN_SOU_POS_Ato_Js_1,SEN_SOU_POS_Ato_Js_2,SEN_SOU_POS_Ato_Js_3
1998-09-30T23:59:59Z,1998-09-30T23:09:47Z,1.00028163878825,0.7090274286629705,1.2372795244128365
1998-10-01T01:00:00Z,1998-10-01T00:09:48Z,0.9318321992132244,0.30569315313804507,0.977265404600281
1998-10-01T02:00:00Z,1998-10-01T01:10:06Z,0.44822271664196284,0.18439479818303556,1.060484555141725
1998-10-01T03:00:00Z,1998-10-01T02:10:06Z,0.6288595274930939,1.164461152451122,0.5026488169643303
1998-10-01T04:00:00Z,1998-10-01T03:10:06Z,0.842471613645394,1.3237507570208307,0.87289403636781
1998-10-01T05:00:00Z,1998-10-01T04:10:06Z,0.605272589520119,1.2223986874727695,0.40217230895796285
1998-10-01T06:00:00Z,1998-10-01T05:10:06Z,0.5978295432781939,0.993323877673252,0.4601077550113971
1998-10-01T07:00:00Z,1998-10-01T06:10:06Z,3.727632172548543,1.1609954110101066,0.4929522909767842
1998-10-01T08:00:00Z,1998-10-01T07:10:06Z,11.051878082938893,6.239012086169802,8.689228463332258
1998-10-01T09:00:00Z,1998-10-01T08:10:06Z,15.516855916949488,18.993133953214397,19.578910377344926
1998-10-01T10:00:00Z,1998-10-01T09:10:06Z,15.807107053156546,17.98716961913607,20.22205627848652
1998-10-01T11:00:00Z,1998-10-01T10:10:06Z,15.70528751603315,18.23398128167502,20.937601247922398
1998-10-01T12:00:00Z,1998-10-01T11:10:06Z,15.271351023098854,18.096174430322716,21.945980047960884
1998-10-01T13:00:00Z,1998-10-01T12:10:06Z,14.793054243596641,17.831900369296967,20.794468380850336
1998-10-01T14:00:00Z,1998-10-01T13:10:06Z,14.229239494185009,17.694066020111823,21.11701219211866
1998-10-01T15:00:00Z,1998-10-01T14:10:06Z,14.024976375271637,13.0885139825304,20.163149536961413
1998-10-01T16:00:00Z,1998-10-01T15:10:06Z,14.261221739225975,13.055326527375705,20.233139333049195
1998-10-01T17:00:00Z,1998-10-01T16:10:06Z,13.242814734623114,13.055326527375705,21.2496833661698
1998-10-01T18:00:00Z,1998-10-01T17:10:06Z,9.924217993622069,11.230611454635966,19.98560428461636
1998-10-01T19:00:00Z,1998-10-01T18:10:06Z,5.875295054830717,5.075308025776364,10.718895106892436
1998-10-01T20:00:00Z,1998-10-01T19:10:06Z,3.911035575852952,2.477917096395874,7.156695736419332
1998-10-01T21:00:00Z,1998-10-01T20:10:06Z,3.465442862283621,2.2847921663325135,5.937201726296708
1998-10-01T22:00:00Z,1998-10-01T21:10:06Z,3.0006955807531943,1.7837686439926503,4.952024558045678
1998-10-01T23:00:00Z,1998-10-01T22:10:06Z,2.848989701144638,1.3480088338127811,4.006985980376108
1998-10-01T23:59:59Z,1998-10-01T23:10:05Z,2.246580123049925,1.2236331811054004,4.005953415330931
1998-10-02T01:00:00Z,1998-10-02T00:10:06Z,1.7054278969336256,0.9892321018630507,2.8690318034054068
1998-10-02T02:00:00Z,1998-10-02T01:10:24Z,1.5126092167204916,0.5926604758296296,2.5955943586271273
1998-10-02T03:00:00Z,1998-10-02T02:10:24Z,1.1304097050958417,0.4081572323563784,1.8671658880004727
1998-10-02T04:00:00Z,1998-10-02T03:10:24Z,1.062987491800345,0.6853249606159677,2.028272691554495
1998-10-02T05:00:00Z,1998-10-02T04:10:24Z,0.9812383408127261,0.7096962598644542,2.047536116815913
1998-10-02T06:00:00Z,1998-10-02T05:10:24Z,0.7789746891738403,0.9015547199781659,1.4876006814824505
1998-10-02T07:00:00Z,1998-10-02T06:10:24Z,2.654925212103377,0.4933974876217875,0.7127433747530447
1998-10-02T08:00:00Z,1998-10-02T07:10:24Z,10.180827995265924,4.2306871405923765,6.821281691675377
1998-10-02T09:00:00Z,1998-10-02T08:10:24Z,16.005706870607142,17.29957006148718,19.963811530221154
1998-10-02T10:00:00Z,1998-10-02T09:10:24Z,16.199787553662734,17.9644779952937,20.48281263341607
1998-10-02T11:00:00Z,1998-10-02T10:10:24Z,15.975085087373833,17.803974878772383,20.82446462676321
1998-10-02T12:00:00Z,1998-10-02T11:10:24Z,15.768845675478413,17.794275943772067,22.705140365330827
1998-10-02T13:00:00Z,1998-10-02T12:10:24Z,15.898319719493841,18.86329832147358,22.0180096814537
1998-10-02T14:00:00Z,1998-10-02T13:10:24Z,15.829343913077885,18.434182177481254,22.252724400894405
1998-10-02T15:00:00Z,1998-10-02T14:10:24Z,15.535195596619406,18.500309621459394,21.901054554740703
1998-10-02T16:00:00Z,1998-10-02T15:10:24Z,15.224281225638753,16.350556459179792,21.543785830170066
1998-10-02T17:00:00Z,1998-10-02T16:10:24Z,14.23754108485925,13.651603490720134,21.236211298424003
1998-10-02T18:00:00Z,1998-10-02T17:10:24Z,9.676648572834065,12.762333977994135,19.47026162135267
1998-10-02T19:00:00Z,1998-10-02T18:10:24Z,4.582676752524232,2.5658911550617187,8.825100235289932
1998-10-02T20:00:00Z,1998-10-02T19:10:24Z,2.9167187983764578,1.1487528596211403,6.025437122482718
1998-10-02T21:00:00Z,1998-10-02T20:10:24Z,2.6159114104241676,0.9892321018630718,4.991944876282383
1998-10-02T22:00:00Z,1998-10-02T21:10:24Z,2.3232622598560306,1.324997845962184,4.137726132109547
1998-10-02T23:00:00Z,1998-10-02T22:10:24Z,1.5417089757618305,0.5008217171427165,3.425066721725301
1998-10-02T23:59:59Z,1998-10-02T23:10:23Z,1.2313346112551644,3.845391410813531,3.0490404555442407
