TIMESTAMP,ESP_SAN_A_45I_Oeu_Jt_1,ESP_SAN_A_45I_Oeu_Jt_2,ESP_SAN_A_45I_Oeu_Jt_3,interpolated
2014-04-20 23:00:00+00:00,1.2438673174645627,1.7258336538461538,1.0037027252081756,False
2014-04-20 23:30:00+00:00,1.1792533030221983,1.7833826663201666,1.142461279333838,False
2014-04-21 00:00:00+00:00,1.1779466167424444,1.3357478170478172,1.0037027252081756,False
2014-04-21 00:30:00+00:00,1.3143653918159934,1.6911571985446985,1.0124883043149129,False
2014-04-21 01:00:00+00:00,1.1779466167424444,1.4764685031185032,1.04659360333081,False
2014-04-21 01:30:00+00:00,1.4312240706071142,1.7776915280665282,1.0415789931869794,False
2014-04-21 02:00:00+00:00,1.2441243380583042,1.623014527027027,1.2179134367903102,False
2014-04-21 02:30:00+00:00,1.2833731211553892,1.6673924636174635,1.124630469341408,False
2014-04-21 03:00:00+00:00,1.3232958010163145,1.7966513253638254,1.064246858440575,False
2014-04-21 03:30:00+00:00,1.4246520192564855,1.9172335239085243,1.1327102952308856,False
2014-04-21 04:00:00+00:00,1.2772527948649373,1.5310021049896052,1.09807323996972,False
2014-04-21 04:30:00+00:00,1.3410591067130246,1.5575789241164242,1.0415789931869794,False
2014-04-21 05:00:00+00:00,1.3479419096014975,1.3191639293139292,1.06167441332324,False
2014-04-21 05:30:00+00:00,1.1779466167424444,1.473700675675676,1.0354088947766842,False
2014-04-21 06:00:00+00:00,1.1779466167424444,1.3625732848232848,1.0087898561695685,False
2014-04-21 06:30:00+00:00,1.2623056432201123,1.3964429833679834,1.0728020060560182,False
2014-04-21 07:00:00+00:00,2.003918587857716,1.696191787941788,1.0842288417865251,False
2014-04-21 07:30:00+00:00,1.263633725595079,1.6139263789285496,1.005220287660863,True
2014-04-21 08:00:00+00:00,1.3453600695373094,1.4701663461538463,1.0037027252081756,False
2014-04-21 08:30:00+00:00,1.268864589462423,1.3378312889812891,1.1328333459500377,False
2014-04-21 09:00:00+00:00,1.3750065792992778,2.0135512214137217,1.1260105601816806,False
2014-04-21 09:30:00+00:00,1.1922725862530088,1.2065052494802495,1.356906207418622,False
2014-04-21 10:00:00+00:00,1.415008371222252,1.8469249220374224,1.0082205904617711,False
2014-04-21 10:30:00+00:00,1.2128210484086654,1.5254055613305617,1.377063588190765,False
2014-04-21 11:00:00+00:00,1.187927092805563,1.9754798336798336,1.527809500378501,False
2014-04-21 11:30:00+00:00,1.7358674244450387,2.282159953222453,2.0292040121120363,False
2014-04-21 12:00:00+00:00,2.739975982883124,4.898384407484408,4.286064193792582,False
2014-04-21 12:30:00+00:00,4.476286253008826,6.462027312889814,6.267328917486752,False
2014-04-21 13:00:00+00:00,3.221333003476865,5.8265020010395006,5.002745571536715,False
2014-04-21 13:30:00+00:00,1.289520139074619,2.242114033264033,1.4174056775170325,False
2014-04-21 14:00:00+00:00,1.269618614602835,1.3895663201663202,1.4763212717638152,False
2014-04-21 14:30:00+00:00,4.120139796737096,2.827592853430353,2.476629485238456,False
2014-04-21 15:00:00+00:00,3.9005761166087183,5.838687162162163,6.690719417108252,False
