TIMESTAMP,GBR_GUI_ST3_Psy_Js_1,GBR_GUI_ST3_Psy_Js_2,GBR_GUI_ST3_Psy_Js_3,GBR_GUI_ST3_Psy_Js_4,GBR_GUI_ST3_Psy_Js_5,GBR_GUI_ST3_Psy_Js_6,GBR_GUI_ST3_Psy_Js_7,GBR_GUI_ST3_Psy_Js_8,interpolated
2003-05-05 00:00:00+00:00,,,,,,,,,False
2003-05-05 00:30:00+00:00,,,,,,,,,False
2003-05-05 01:00:00+00:00,,,,,,,,,False
2003-05-05 01:30:00+00:00,,,,,,,,,False
2003-05-05 02:00:00+00:00,,,,,,,,,False
2003-05-05 02:30:00+00:00,,,,,,,,,False
2003-05-05 03:00:00+00:00,,,,,,,,,False
2003-05-05 03:30:00+00:00,,,,,,,,,False
2003-05-05 04:00:00+00:00,,,,,,,,,False
2003-05-05 04:30:00+00:00,,,,,,,,,False
2003-05-05 05:00:00+00:00,,,,,,,,,False
2003-05-05 05:30:00+00:00,,,,,,,,,False
2003-05-05 06:00:00+00:00,,,,,,,,,False
2003-05-05 06:30:00+00:00,,,,,,,,,False
2003-05-05 07:00:00+00:00,,,,,,,,,False
2003-05-05 07:30:00+00:00,,,,,,,,,False
2003-05-05 08:00:00+00:00,,,,,,,,,False
2003-05-05 08:30:00+00:00,,,,,,,,,False
2003-05-05 09:00:00+00:00,,,,,,,,,False
2003-05-05 09:30:00+00:00,,,,,,,,,False
2003-05-05 10:00:00+00:00,,,,,,,,,False
2003-05-05 10:30:00+00:00,,,,,,,,,False
2003-05-05 11:00:00+00:00,,,,,,,,,False
2003-05-05 11:30:00+00:00,,,,,,,,,False
2003-05-05 12:00:00+00:00,,,,,,,,,False
2003-05-05 12:30:00+00:00,,,,,,,,,False
2003-05-05 13:00:00+00:00,,,,,,,,,False
2003-05-05 13:30:00+00:00,,,,,,,,,False
2003-05-05 14:00:00+00:00,,,,,,,,,False
2003-05-05 14:30:00+00:00,,,,,,,,,False
2003-05-05 15:00:00+00:00,,,,,,,,,False
2003-05-05 15:30:00+00:00,,,,,,,,,False
2003-05-05 16:00:00+00:00,,,,,,,,,False
2003-05-05 16:30:00+00:00,,,,,,,,,False
2003-05-05 17:00:00+00:00,,,,,,,,,False
2003-05-05 17:30:00+00:00,,,,,,,,,False
2003-05-05 18:00:00+00:00,,,,,,,,,False
2003-05-05 18:30:00+00:00,,,,,,,,,False
2003-05-05 19:00:00+00:00,,,,,,,,,False
2003-05-05 19:30:00+00:00,,,,,,,,,False
2003-05-05 20:00:00+00:00,,,,,,,,,False
2003-05-05 20:30:00+00:00,,,,,,,,,False
2003-05-05 21:00:00+00:00,,,,,,,,,False
2003-05-05 21:30:00+00:00,,,,,,,,,False
2003-05-05 22:00:00+00:00,,,,,,,,,False
2003-05-05 22:30:00+00:00,,,,,,,,,False
2003-05-05 23:00:00+00:00,,,,,,,,,False
2003-05-05 23:30:00+00:00,,,,,,,,,False
2003-05-06 00:00:00+00:00,,,,,,,,,False
2003-05-06 00:30:00+00:00,,,,,,,,,False
