TIMESTAMP,USA_PAR_FER_Pta_Jt_1,USA_PAR_FER_Pta_Jt_2,USA_PAR_FER_Pta_Jt_3,USA_PAR_FER_Pta_Jt_4,USA_PAR_FER_Pta_Jt_5,USA_PAR_FER_Pta_Jt_6,USA_PAR_FER_Pta_Jt_7,USA_PAR_FER_Pta_Jt_8,interpolated
2007-08-11 06:30:00+00:00,0.1423711466425516,0.1994288813989687,0.2027150829387971,0.27974681445554,0.2014637552663361,0.2229865912326771,0.2463287836646687,0.1571362644489189,False
2007-08-11 07:00:00+00:00,0.1358635708202518,0.1662313816709648,0.2055808391679565,0.1666498662681784,0.1928137537576008,0.1970857631692806,0.239805952003016,0.214245279023568,False
2007-08-11 07:30:00+00:00,0.0966410574561037,0.1476171324827876,0.1027746977844021,0.1004861923681503,0.1241554855734249,0.1573583889521949,0.1401927349541576,0.2480355381239145,False
2007-08-11 08:00:00+00:00,0.1128803739675583,0.1428642233026912,0.0863780252969143,0.1681049261547646,0.1362616311268196,0.1332553558299499,0.1445758484313559,0.1571752042586256,False
2007-08-11 08:30:00+00:00,0.1013831615678996,0.1241943729206769,0.1042238491867103,0.1455758217385224,0.1173393043258653,0.1276617482861141,0.1407711024988768,0.0347354967059639,False
2007-08-11 09:00:00+00:00,0.0578001700364264,0.0795026013048382,0.0710761862547184,0.0731866022465892,0.0632373311451445,0.0768915105846499,0.0773084823893686,0.087686870922158,False
2007-08-11 09:30:00+00:00,0.0901999782645874,0.1039178916256601,0.1005359371265972,0.0859998972253953,0.0960813302995806,0.0976077059481525,0.1028487108488169,0.1300097577011943,False
2007-08-11 10:00:00+00:00,0.0772272364709619,0.0950257011263789,0.0757349227227307,0.079471446761571,0.0873382250593716,0.100505069861931,0.0991230812941465,0.1016933897973813,False
2007-08-11 10:30:00+00:00,0.0469796872438291,0.0755030687847253,0.0723662263134759,0.1106862081876589,0.0692312851408181,0.07781314657363,0.0925708123031115,0.0917505645991599,False
2007-08-11 11:00:00+00:00,0.0668187515560601,0.0945038916135011,0.1028494526699978,0.1369695787865341,0.0814176737185617,0.1138993938659479,0.1128211976333003,0.052060878012906,False
2007-08-11 11:30:00+00:00,0.0384980864350089,0.039262195414082,0.0426449621771269,0.0596120057729616,0.0387649882317443,0.0445257930922297,0.0513068626300677,0.0308853960622976,False
2007-08-11 12:00:00+00:00,0.0229872642368698,0.0401310111827564,0.0261906176701013,0.0422748031054386,0.0329394374102238,0.042400750898047,0.0420721812292842,0.0454373382676199,False
2007-08-11 12:30:00+00:00,0.0287864482582132,0.0405674406042728,0.0431315345139784,0.0562783580148738,0.0429503406532801,0.0494215499639335,0.0507771567419412,0.0549381096261908,False
2007-08-11 13:00:00+00:00,0.0511164986534889,0.0701076978060003,0.057289988829031,0.0594174685202947,0.066067353845692,0.0748301839459652,0.0783394615379139,0.0826778810851085,False
