TIMESTAMP,GBR_ABE_PLO_Psi_Jt_1,GBR_ABE_PLO_Psi_Jt_2,GBR_ABE_PLO_Psi_Jt_3,GBR_ABE_PLO_Psi_Jt_4,GBR_ABE_PLO_Psi_Jt_5,GBR_ABE_PLO_Psi_Jt_6,GBR_ABE_PLO_Psi_Jt_7,GBR_ABE_PLO_Psi_Jt_8,GBR_ABE_PLO_Psi_Jt_9,GBR_ABE_PLO_Psi_Jt_10,GBR_ABE_PLO_Psi_Jt_11,GBR_ABE_PLO_Psi_Jt_12,GBR_ABE_PLO_Psi_Jt_13,GBR_ABE_PLO_Psi_Jt_14,GBR_ABE_PLO_Psi_Jt_15,interpolated
2001-04-18 00:00:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 00:30:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 01:00:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 01:30:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 02:00:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 02:30:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 03:00:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 03:30:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 04:00:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 04:30:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 05:00:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 05:30:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 06:00:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 06:30:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 07:00:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 07:30:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 08:00:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 08:30:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 09:00:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 09:30:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 10:00:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 10:30:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 11:00:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 11:30:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 12:00:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 12:30:00+00:00,,,,,,,,,,,,,,,,False
2001-04-18 13:00:00+00:00,1.4284528847867508,1.5787046941815,2.713854503035372,2.4447742613371437,1.8107609596208312,1.273242690575615,1.4759228833074145,1.1676385133050553,2.2448694750025933,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-04-18 13:30:00+00:00,1.4447194710571756,1.687062133764349,2.877817997139088,2.882899257125477,2.0982564921660507,1.3604412771981451,1.660815696476832,1.333844689558482,2.276650397949738,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-04-18 14:00:00+00:00,1.4284528847867508,1.6688560375515162,2.877817997139088,2.9677871329039998,2.177125846684271,1.4343243217596404,1.695110555054849,1.3492530644832548,2.2448694750025933,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-04-18 14:30:00+00:00,1.190796002335477,1.4900271236572686,2.713854503035372,2.9110989299535897,2.0982564921660507,1.4046390694903286,1.6437461151783417,1.303176239114343,2.1036444967818206,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-04-18 15:00:00+00:00,1.160019897526262,1.5076441314712896,2.5135818018784337,2.9110989299535897,2.0982564921660507,1.331197137794428,1.5928496291495362,1.2727062718375666,1.9350243158498532,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-04-18 15:30:00+00:00,1.0391109452558935,1.4724695880083898,2.3377819163995675,2.882899257125477,2.03971173842358,1.273242690575615,1.5257191547648548,1.1974060288666932,1.8003433899519774,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-04-18 16:00:00+00:00,0.9217877172014636,1.4028365282860011,2.241936755660826,2.8547958159677966,1.981688582390685,1.1876576686588347,1.4594296769649446,1.0941110786366073,1.683123936989371,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-04-18 16:30:00+00:00,0.8362175497946472,1.300192395415808,2.0727015843276404,2.660763493412494,1.867211801563229,1.0898800771390589,1.3615857826364517,0.9933433092123488,1.5540855424683282,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-04-18 17:00:00+00:00,0.6187017540901385,1.085375546611805,1.7823290679089197,2.23493194373816,1.5902489595141105,0.9408437979564692,1.1717146264951797,0.8131300424231193,1.3594022326942767,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-04-18 17:30:00+00:00,0.5036360687896864,0.9119697353118332,1.5563992844524974,1.956468223958816,1.413034475459374,0.8104139669487509,1.0046566131304182,0.6938746331844498,1.1853444164690448,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-04-18 18:00:00+00:00,0.3825698515665408,0.776055286051836,1.3070756296453143,1.5957226803066278,1.175166221496133,0.6727703943028097,0.8303476339046572,0.5918682747161833,1.005351191615107,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-04-18 18:30:00+00:00,0.2694991312546483,0.5897998671681225,1.0244898490992749,1.1710393195661444,0.8722312087343115,0.5416086304061724,0.6380654398777463,0.4581791622333534,0.797634673480754,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-04-18 19:00:00+00:00,0.1658527775450785,0.3785819540411147,0.7190780023539454,0.7653007618786164,0.5524709630508057,0.3957044184347191,0.4343078377895454,0.3219017971477931,0.5695873666767477,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-04-18 19:30:00+00:00,0.1092241185665487,0.2467772711811774,0.5184297980005377,0.5266430358860806,0.3686693744720258,0.2709043667883111,0.2831402414388104,0.2171261276692938,0.3911781995671901,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-04-18 20:00:00+00:00,0.1275655682178318,0.1804126158868156,0.3697659102012193,0.3746308203593603,0.2484916449907783,0.184613471436928,0.1875253662201162,0.1494580137283942,0.2750773102165237,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-04-18 20:30:00+00:00,0.0090865645758344,0.0900856200928788,0.2333758323527848,0.2207127497600804,0.1603990587287665,0.1312612139336511,0.119465094375138,0.1133045198834304,0.1942812845555014,0.0,0.0,0.0,0.0,0.0,0.0,False
2001-04-18 21:00:00+00:00,0.0,0.0462650449871911,0.1408960661836186,0.1376538240306061,0.090706223024296,0.0979142038803363,0.0751086401312443,0.0793418062281388,0.1278787484646147,0.0,0.0,0.0,0.0,0.0,0.0,False
