Site,Latitude,Longitude,Biome,MAP,MAT,Functional Type,Average Wind Speed,Average Sap Flux,Updated Avg Sap Flux,Diff,K-Means Label,Updated K-Means Label
USA_SIL_OAK_2PR,39.91563056,-74.59555556,Temperate forest,1180.33986,12.9,2,3.49,13.07462096,67.30026517,415%,0,0
USA_HUY_LIN_NON,42.52753056,-74.15720278,Temperate forest,859.5962309,7.858995129,1,3.599166667,1238.094601,5870.657395,374%,0,1
CAN_TUR_P74,42.70681111,-80.34831389,Temperate forest,1002.615123,9,1,3.73,162.1152557,568.0369826,250%,0,0
FIN_PET,69.49182203,27.23108229,Woodland/Shrubland,415.4990216,-0.211459303,0,2.461666667,31.0162251,99.32372638,220%,0,0
FRA_PUE,43.74138889,3.595833333,Woodland/Shrubland,1022.974281,13.79665434,1,4.370833333,92.28528999,249.8466628,171%,0,0
GBR_ABE_PLO,56.616,-3.8,Temperate forest,971.2289646,7.317755012,1,4.355833333,153.7644463,408.573293,166%,0,0
SWE_NOR_ST4_BEF,60.083,17.476,Woodland/Shrubland,564.1435461,6.1,1,2.881666667,475.8025786,1259.373352,165%,0,0
CHE_DAV_SEE,46.81668,9.856198,Temperate forest,840.0492344,3.835492338,1,2.5925,202.1211442,524.4007081,159%,0,0
ZAF_FRA_FRA,-33.884334,19.060978,Woodland/Shrubland,973.8168783,16.7,0,3.794166667,408.6395618,975.675883,139%,0,0
ESP_TIL_OAK,41.33262416,1.01409989,Woodland/Shrubland,651.3032143,10.49519437,1,3.600833333,101.4650893,233.4313274,130%,0,0
SWE_NOR_ST5_REF,60.083,17.476,Woodland/Shrubland,564.1435461,6.1,2,2.881666667,597.7416609,1359.564881,127%,0,0
USA_SYL_HL2,46.24201667,-89.34765,Temperate forest,878.5838816,4.3,2,3.581666667,427.2569437,958.0167673,124%,0,0
SWE_NOR_ST2,60.086,17.48,Woodland/Shrubland,564.1492437,6.1,1,2.8825,391.583298,876.6206985,124%,0,0
SWE_NOR_ST3,60.086,17.48,Woodland/Shrubland,564.1492437,6.1,1,2.8825,483.5697424,1044.467791,116%,0,0
SWE_NOR_ST4_AFT,60.083,17.476,Woodland/Shrubland,564.1435461,6.1,2,2.881666667,730.2413161,1569.3505,115%,0,0
ZAF_NOO_E3_IRR,-33.20099167,19.33751667,Woodland/Shrubland,637.8946772,12.67203384,0,3.19,355.7480021,761.2762202,114%,0,0
CZE_UTE_BNA,49.2809075,16.6487236,Woodland/Shrubland,554.9168641,8.604154511,0,3.591666667,670.1343019,1416.286287,111%,0,0
CAN_TUR_P39_PRE,42.70977778,-80.3574,Temperate forest,1000.343989,9,1,3.734166667,746.4273215,1552.855835,108%,0,0
RUS_POG_VAR,56.36,92.95,Woodland/Shrubland,410.4158845,1.093693413,2,2.515833333,451.1513291,912.3531504,102%,0,0
FRA_HES_HE1_NON,48.6742,7.0647,Temperate forest,1003.480625,9.970148971,0,3.27,408.8894221,817.2221149,100%,0,0
CAN_TUR_P39_POS,42.70977778,-80.3574,Temperate forest,1000.343989,9,1,3.734166667,1276.387727,2467.275367,93%,0,2
CZE_KRT_KRT,49.3223336,16.7486453,Woodland/Shrubland,623.4515286,7.961357132,1,3.8925,257.7456196,491.8874825,91%,0,0
ITA_RUN_N20,46.69865,10.64222,Boreal forest,781.6621281,1.827219234,2,3.189166667,560.0253597,1067.303395,91%,0,0
CZE_BIK,49.49444444,18.53,Temperate forest,1144.396244,6.183281816,1,3.760833333,546.9855577,1029.39505,88%,0,0
ITA_FEI_S17,46.69352,10.61287,Temperate forest,672.0409966,3.576153507,0,2.274166667,860.9605243,1581.451749,84%,0,0
CZE_UTE_BEE,49.2835917,16.6519047,Woodland/Shrubland,538.7759296,8.501970484,0,3.591666667,2158.247056,3954.081028,83%,2,2
FRA_HES_HE2_NON,48.6742,7.0647,Temperate forest,1003.480625,9.970148971,0,3.27,659.552165,1202.016038,82%,0,0
CZE_UTE_SPR,49.2803686,16.6462989,Woodland/Shrubland,566.3309162,8.64561651,1,3.591666667,468.6958376,851.0513916,82%,0,0
ITA_KAE_S20,46.69767,10.60717,Boreal forest,772.7678779,1.896036227,0,2.274166667,1084.613269,1922.349687,77%,0,0
USA_TNY,35.687635,-83.501202,Temperate forest,1285.127418,12.75514332,0,2.388333333,2918.97797,5050.336072,73%,2,1
AUS_RIC_EUC_ELE,-33.61777778,150.7402778,Woodland/Shrubland,898.6187983,17.6,1,2.56,1373.155486,2363.265225,72%,0,2
USA_ORN_ST4_ELE,35.9,-84.333,Temperate forest,1217.004418,15.1,0,1.966666667,396.5212764,677.3189043,71%,0,0
USA_TNP,35.96041,-84.287933,Temperate forest,1488.658546,14.62798163,2,1.9825,1012.043066,1722.591183,70%,0,0
USA_PJS_P04_AMB,34.38638889,-106.5294444,Temperate grassland desert,311.4291563,12.66708765,1,3.925833333,178.8801319,304.4527758,70%,0,0
CZE_UTE_BPO,49.280925,16.6479942,Woodland/Shrubland,558.3600452,8.61036036,0,3.591666667,1061.104295,1798.245443,69%,0,0
ESP_VAL_SOR,42.19605278,1.8135611,Woodland/Shrubland,622.8961376,8.503677064,1,4.6525,404.7517325,678.0806094,68%,0,0
SWE_NOR_ST1_BEF,60.086,17.48,Woodland/Shrubland,564.1492437,6.1,missing,2.8825,576.4287921,960.881228,67%,0,0
USA_ORN_ST2_AMB,35.9,-84.333,Temperate forest,1217.004418,15.1,0,1.966666667,501.0047774,833.3331234,66%,0,0
ITA_MUN,46.67772,10.57808,Woodland/Shrubland,583.8984691,6.536464699,0,1.834166667,590.0498988,978.3593674,66%,0,0
ESP_TIL_MIX,41.33262995,1.0144288,Woodland/Shrubland,651.2747275,10.48354644,1,3.600833333,240.5942117,397.0564903,65%,0,0
