ta,rh,vpd,Average Sap Flux
21.34,93.14757789294866,0.17402507899999997,1001.6375955070179
21.83,91.43205142506096,0.22421549600000001,978.0494312304784
22.09,89.31855556618189,0.283993259,1014.983479665953
22.06,87.83821477653616,0.32276108,1249.1082845474277
22.26,85.2851113361065,0.39530484200000005,1372.731601431058
22.22,81.82841043189809,0.48697925,1387.848165424514
21.66,86.34872909681656,0.353549234,5096.587167808141
22.46,86.69674447740775,0.36175647200000005,3002.427068869159
20.19,87.33013517243955,0.299769068,2281.1764668576157
21.26,88.78977586687355,0.283303205,3304.9078255934005
22.51,88.92009299173147,0.302213621,4398.991396574134
23.15,88.11005168402511,0.337134758,6877.512100720895
24.02,85.00564383144878,0.448042586,7087.252907828802
23.7,83.63889226335317,0.47956484,6724.696695163045
24.03,82.40049818252466,0.5262022129999999,7393.2465276997655
24.23,80.67839476155149,0.584665937,6454.2913973010445
24.17,78.21465388694196,0.65684999,4542.61187778681
23.48,80.31338511597255,0.5694407029999999,2992.486382695424
23.19,81.75835328309539,0.5184868220000001,1987.1062612065396
22.55,85.79817618065356,0.388308869,1405.4850708606496
22.29,87.21066574559177,0.344204141,966.4665727070222
21.99,90.59192358845124,0.24861698,616.2634772379308
21.77,91.51292955856373,0.221286437,420.7439237290821
21.66,92.71079287199235,0.188780489,2597.946509430346
21.26,92.09196616488676,0.19985071699999998,2742.495009881285
21.58,89.0552645940522,0.282069917,1349.3925424732597
22.19,83.40580981367528,0.443894921,980.1176097539026
21.71,84.54850189525331,0.40139787200000004,1229.3155809428185
21.66,84.38214417936636,0.40448109200000004,1241.508994490514
21.88,84.11636373855956,0.416931428,1113.435630559315
22.05,82.88361532399254,0.453974114,1917.2276881275966
21.22,83.21351293792452,0.42318596,5932.340415782988
23.16,83.16747857880308,0.47756808799999995,7462.177925242247
23.51,78.50799352586677,0.62278775,7287.992972011397
23.45,81.47500214957479,0.534871934,9800.854671008572
24.03,81.24552941174686,0.560734277,8895.995242767316
24.07,78.61503970433931,0.64092002,5219.771083609107
21.67,84.60924911784895,0.398843204,6191.951352171173
