Site,Latitude,Longitude,Biome,MAP,MAT,Location
ARG_MAZ,-51.57944,-72.28639,Woodland/Shrubland,471.5845260994644,4.034818139939112,ARG_MAZ
ARG_TRE,-51.31667,-72.185,Woodland/Shrubland,442.3418037401507,4.7516285248065415,ARG_TRE
AUS_RIC_EUC_ELE,-33.6177777777778,150.74027777777778,Woodland/Shrubland,898.6187982976855,17.6,AUS_RIC_EUC_ELE
AUS_WOM,-37.4222,144.0944,Temperate forest,1023.8291743244558,10.917803669211503,AUS_WOM
CAN_TUR_P39,42.7097777778,-80.3574,Temperate forest,1000.3439889558788,9.0,CAN_TUR_P39_POS_P39_PRE_P74
CAN_TUR_P74,42.7068111111,-80.3483138889,Temperate forest,1002.6151231402756,9.000000000000002,CAN_TUR_P39_POS_P39_PRE_P74
CHE_DAV_SEE,46.81668,9.856198,Temperate forest,840.0492344086587,3.835492337507554,CHE_DAV_SEE
CRI_TAM_TOW,10.386944444444444,-84.62583333333333,Tropical rain forest,3625.909579575401,22.97295965992198,CRI_TAM_TOW
CZE_LIZ_LES,49.06668,13.67975,Temperate forest,837.0527287696275,6.030012700734641,CZE_LIZ_LES
DEU_STE_2P3,53.1,13.0,Woodland/Shrubland,594.6022627127221,8.9,DEU_STE_2P3_4P5
DEU_STE_4P5,53.1,13.0,Woodland/Shrubland,594.6022627127221,8.9,DEU_STE_2P3_4P5
ESP_CAN,41.4309888889,2.07361111111111,Woodland/Shrubland,763.3799028388485,15.37706180524204,ESP_CAN
ESP_SAN_A2_45I,37.249105,-5.797067,Tropical forest savanna,598.1261450362572,18.5,ESP_SAN_A2_45I_A_45I_B2_100_B_100
ESP_SAN_A_45I,37.249105,-5.797067,Tropical forest savanna,598.1261450362572,18.5,ESP_SAN_A2_45I_A_45I_B2_100_B_100
ESP_SAN_B2_100,37.249105,-5.797067,Tropical forest savanna,598.1261450362572,18.5,ESP_SAN_A2_45I_A_45I_B2_100_B_100
ESP_SAN_B_100,37.249105,-5.797067,Tropical forest savanna,598.1261450362572,18.5,ESP_SAN_A2_45I_A_45I_B2_100_B_100
ESP_TIL_MIX,41.33262995,1.0144288,Woodland/Shrubland,651.2747274910893,10.483546437312134,ESP_TIL_MIX_OAK_PIN
ESP_TIL_OAK,41.33262416,1.01409989,Woodland/Shrubland,651.3032142911829,10.4951943694421,ESP_TIL_MIX_OAK_PIN
ESP_TIL_PIN,41.328113,1.006642,Woodland/Shrubland,674.2422356897288,10.08712006211712,ESP_TIL_MIX_OAK_PIN
ESP_VAL_SOR,42.19605278,1.8135611,Woodland/Shrubland,622.8961375657409,8.503677064013853,ESP_VAL_SOR
FIN_PET,69.491822025,27.2310822944,Woodland/Shrubland,415.4990215765709,-0.2114593025875115,FIN_PET
FRA_HES_HE1_NON,48.6742,7.0647,Temperate forest,1003.480624535542,9.970148971480416,FRA_HES_HE1_NON_HE2_NON
FRA_HES_HE2_NON,48.6742,7.0647,Temperate forest,1003.480624535542,9.970148971480416,FRA_HES_HE1_NON_HE2_NON
FRA_PUE,43.74138888888889,3.5958333333333337,Woodland/Shrubland,1022.9742806569658,13.796654344063086,FRA_PUE
