LastName,FirstName,DatasetID,Dataset,SpeciesName,AccSpeciesID,AccSpeciesName,ObservationID,ObsDataID,TraitID,TraitName,DataID,DataName,OriglName,OrigValueStr,OrigUnitStr,ValueKindName,OrigUncertaintyStr,UncertaintyName,Replicates,StdValue,UnitName,RelUncertaintyPercent,OrigObsDataID,ErrorRisk,Reference,Comment
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221446,2329306,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.627581896,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221447,2329327,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.638608932,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221448,2329348,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.662991365,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221449,2329369,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.727100392,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221450,2329390,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.52632015,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221451,2329411,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,3.110354834,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221452,2329432,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.650360452,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221453,2329453,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.548464783,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Pinus sylvestris,42185,Pinus sylvestris,221832,2335300,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.509973364,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Pinus sylvestris,42185,Pinus sylvestris,221833,2335324,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.530463638,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
