,0,1,2,3,4,5,6,7,8,9,10,11,12
ESP_TIL_PIN_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ws,precip,swc_shallow,ppfd_in,ext_rad,,
ESP_VAL_SOR_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,netrad,ws,precip,swc_shallow,ppfd_in,vpd,ext_rad,
FIN_PET_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,ppfd_in,ws,precip,swc_shallow,sw_in,vpd,ext_rad,,
FRA_HES_HE1_NON_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,vpd,sw_in,netrad,ws,precip,swc_shallow,swc_deep,ppfd_in,rh,ext_rad
FRA_HES_HE2_NON_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,vpd,sw_in,netrad,ws,precip,swc_shallow,swc_deep,ppfd_in,rh,ext_rad
FRA_PUE_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,ppfd_in,netrad,ws,precip,swc_shallow,vpd,ext_rad,
GBR_ABE_PLO_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,vpd,sw_in,ppfd_in,precip,swc_shallow,rh,ext_rad,,,
GBR_DEV_CON_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,ppfd_in,netrad,ws,precip,swc_shallow,sw_in,vpd,ext_rad,
GBR_DEV_DRO_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,ppfd_in,netrad,ws,precip,swc_shallow,sw_in,vpd,ext_rad,
GBR_GUI_ST1_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,netrad,ws,precip,swc_shallow,sw_in,ext_rad,
GBR_GUI_ST2_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,netrad,ws,precip,swc_shallow,sw_in,ext_rad,
GBR_GUI_ST3_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,netrad,ws,precip,swc_shallow,sw_in,ext_rad,
GUF_GUY_GUY_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ppfd_in,netrad,ws,precip,swc_shallow,swc_deep,ext_rad
GUF_GUY_ST2_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ppfd_in,netrad,ws,precip,swc_shallow,swc_deep,ext_rad
IDN_JAM_OIL_env_data.csv,TIMESTAMP,TIMESTAMP_solar,ta,rh,vpd,sw_in,netrad,ws,precip,swc_shallow,ppfd_in,ext_rad,
IDN_JAM_RUB_env_data.csv,TIMESTAMP,TIMESTAMP_solar,ta,rh,vpd,sw_in,netrad,ws,precip,swc_shallow,ppfd_in,ext_rad,
ISR_YAT_YAT_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ppfd_in,netrad,ws,precip,swc_shallow,swc_deep,ext_rad
ITA_FEI_S17_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ws,precip,swc_shallow,swc_deep,ppfd_in,ext_rad,
ITA_KAE_S20_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ws,precip,swc_shallow,swc_deep,ppfd_in,ext_rad,
ITA_MAT_S21_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ws,precip,swc_shallow,swc_deep,ppfd_in,ext_rad,
ITA_MUN_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ws,precip,swc_shallow,swc_deep,ppfd_in,ext_rad,
ITA_RUN_N20_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ws,precip,swc_shallow,swc_deep,ppfd_in,ext_rad,
ITA_TOR_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,netrad,ws,precip,swc_shallow,swc_deep,ppfd_in,vpd,ext_rad
NLD_LOO_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,ppfd_in,netrad,ws,precip,swc_shallow,swc_deep,vpd,ext_rad
NZL_HUA_HUA_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,vpd,ppfd_in,ws,precip,swc_shallow,swc_deep,sw_in,rh,ext_rad,
PRT_LEZ_ARN_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,vpd,sw_in,ws,precip,swc_shallow,swc_deep,ppfd_in,rh,ext_rad,
RUS_POG_VAR_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,ppfd_in,precip,swc_shallow,swc_deep,sw_in,vpd,ext_rad,,
SEN_SOU_IRR_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,ws,precip,swc_shallow,swc_deep,ppfd_in,vpd,ext_rad,
SEN_SOU_POS_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,ws,precip,swc_shallow,swc_deep,ppfd_in,vpd,ext_rad,
SEN_SOU_PRE_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,ws,precip,swc_shallow,swc_deep,ppfd_in,vpd,ext_rad,
SWE_NOR_ST1_BEF_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,netrad,ws,precip,swc_shallow,swc_deep,ppfd_in,vpd,ext_rad
SWE_NOR_ST2_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,netrad,ws,precip,swc_shallow,swc_deep,ppfd_in,vpd,ext_rad
SWE_NOR_ST3_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,netrad,ws,precip,swc_shallow,swc_deep,ppfd_in,vpd,ext_rad
SWE_NOR_ST4_AFT_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,netrad,ws,precip,swc_shallow,swc_deep,ppfd_in,vpd,ext_rad
SWE_NOR_ST4_BEF_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,netrad,ws,precip,swc_shallow,swc_deep,ppfd_in,vpd,ext_rad
SWE_NOR_ST5_REF_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,netrad,ws,precip,swc_shallow,swc_deep,ppfd_in,vpd,ext_rad
THA_KHU_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,vpd,ext_rad,
USA_DUK_HAR_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ppfd_in,netrad,ws,precip,swc_shallow,ext_rad,
USA_HIL_HF1_POS_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ppfd_in,netrad,ws,precip,swc_shallow,swc_deep,ext_rad
USA_HIL_HF1_PRE_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ppfd_in,netrad,ws,precip,swc_shallow,swc_deep,ext_rad
USA_HIL_HF2_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ppfd_in,netrad,ws,precip,swc_shallow,swc_deep,ext_rad
USA_HUY_LIN_NON_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,ws,precip,swc_shallow,ppfd_in,vpd,ext_rad,,
USA_INM_env_data.csv,TIMESTAMP,TIMESTAMP_solar,ta,rh,vpd,sw_in,ppfd_in,ws,precip,swc_shallow,ext_rad,,
USA_ORN_ST1_AMB_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,ppfd_in,netrad,ws,precip,swc_shallow,vpd,ext_rad,
USA_ORN_ST2_AMB_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,ppfd_in,netrad,ws,precip,swc_shallow,vpd,ext_rad,
USA_ORN_ST3_ELE_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,ppfd_in,netrad,ws,precip,swc_shallow,vpd,ext_rad,
USA_ORN_ST4_ELE_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,ppfd_in,netrad,ws,precip,swc_shallow,vpd,ext_rad,
USA_PAR_FER_env_data.csv,TIMESTAMP,TIMESTAMP_solar,ta,rh,ppfd_in,netrad,ws,precip,swc_shallow,sw_in,vpd,ext_rad,
USA_PJS_P04_AMB_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,netrad,ws,precip,swc_shallow,swc_deep,sw_in,ext_rad
USA_PJS_P08_AMB_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,netrad,ws,precip,swc_shallow,swc_deep,sw_in,ext_rad
USA_PJS_P12_AMB_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,netrad,ws,precip,swc_shallow,sw_in,ext_rad,
USA_SIL_OAK_1PR_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,netrad,precip,swc_shallow,sw_in,ext_rad,,
USA_SIL_OAK_2PR_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,netrad,precip,swc_shallow,sw_in,ext_rad,,
USA_SYL_HL2_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ppfd_in,netrad,ws,precip,swc_shallow,ext_rad,
USA_TNB_env_data.csv,TIMESTAMP,TIMESTAMP_solar,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,vpd,ext_rad,,
USA_TNO_env_data.csv,TIMESTAMP,TIMESTAMP_solar,ta,rh,vpd,sw_in,ppfd_in,ws,precip,swc_shallow,ext_rad,,
USA_TNP_env_data.csv,TIMESTAMP,TIMESTAMP_solar,ta,rh,vpd,sw_in,ppfd_in,ws,precip,swc_shallow,ext_rad,,
USA_TNY_env_data.csv,TIMESTAMP,TIMESTAMP_solar,ta,rh,vpd,sw_in,ppfd_in,ws,precip,swc_shallow,ext_rad,,
USA_UMB_CON_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ppfd_in,netrad,ws,precip,swc_shallow,swc_deep,ext_rad
USA_UMB_GIR_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ppfd_in,netrad,ws,precip,swc_shallow,swc_deep,ext_rad
USA_WIL_WC1_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,vpd,sw_in,netrad,ws,precip,swc_shallow,swc_deep,ppfd_in,rh,ext_rad
USA_WVF_env_data.csv,TIMESTAMP,TIMESTAMP_solar,ta,rh,vpd,sw_in,ppfd_in,ws,precip,swc_shallow,ext_rad,,
ZAF_FRA_FRA_env_data.csv,TIMESTAMP,TIMESTAMP_solar,ta,rh,vpd,sw_in,ws,precip,swc_shallow,ppfd_in,ext_rad,,
ZAF_NOO_E3_IRR_env_data.csv,TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,netrad,ws,precip,swc_shallow,swc_deep,ppfd_in,ext_rad
ZAF_SOU_SOU_env_data.csv,TIMESTAMP,TIMESTAMP_solar,ta,rh,vpd,sw_in,ws,precip,swc_shallow,ppfd_in,ext_rad,,
