DateTime (Day),Volumetric Soil Moisture [m3/m3],
,0-120 cm,
,mean,SD
'14-Apr-2017',0.0364350006,0.0003412844
'15-Apr-2017',0.0350402373,0.0003311926
'16-Apr-2017',0.0337216189,0.0003318473
'17-Apr-2017',0.0325817971,0.000262851
'18-Apr-2017',0.0317605108,0.0003090456
'19-Apr-2017',0.0308719784,0.0002368687
'20-Apr-2017',0.029920557,0.0001867165
'21-Apr-2017',0.0339852555,0.0046620217
'22-Apr-2017',0.0345881051,0.0049134398
'23-Apr-2017',0.0340625718,0.0043519443
'24-Apr-2017',0.033025592,0.0034244113
'25-Apr-2017',0.0653736038,0.020898471
'26-Apr-2017',0.08638517,0.0181293486
'27-Apr-2017',0.07969878,0.0110612026
'28-Apr-2017',0.0789083315,0.0109449285
'29-Apr-2017',0.0738116838,0.0088671091
'30-Apr-2017',0.0700576485,0.0078697894
'01-May-2017',0.0667070664,0.0069113014
'02-May-2017',0.0645653036,0.0057036773
'03-May-2017',0.0623228567,0.005434716
'04-May-2017',0.0601061007,0.0051146695
'05-May-2017',0.0581281562,0.0048163775
'06-May-2017',0.0562015089,0.0044448522
'07-May-2017',0.058567709,0.0051259942
'08-May-2017',0.0619333702,0.0078935932
'09-May-2017',0.0593168602,0.0072469234
'10-May-2017',0.0569087797,0.0062972551
'11-May-2017',0.0549633398,0.0055989707
'12-May-2017',0.0532095632,0.0050222603
'13-May-2017',0.0513290008,0.0043433522
'14-May-2017',0.0500382382,0.0040367405
'15-May-2017',0.0489839551,0.0037732556
'16-May-2017',0.0479436183,0.0035097067
'17-May-2017',0.0468041806,0.0032225388
'18-May-2017',0.0456559013,0.0029704469
'19-May-2017',0.0446202401,0.002770322
'20-May-2017',0.0438593995,0.0027213961
'21-May-2017',0.0427578714,0.0025749515
'22-May-2017',0.0415821257,0.0023380127
'23-May-2017',0.0405554301,0.0021816813
'24-May-2017',0.039744626,0.0021458585
'25-May-2017',0.0390270241,0.0021336125
'26-May-2017',0.0392686007,0.0020854419
'27-May-2017',0.0384510684,0.0020425489
'28-May-2017',0.0442257113,0.0057005156
'29-May-2017',0.0435875435,0.0043878265
'30-May-2017',0.0436400949,0.0033526727
'31-May-2017',0.0464143275,0.0035817069
'01-Jun-2017',0.0453698938,0.0033895212
'02-Jun-2017',0.0441744125,0.0028976281
'03-Jun-2017',0.0431765381,0.0024661133
'04-Jun-2017',0.0423797303,0.0022199193
'05-Jun-2017',0.0414268865,0.0018877624
'06-Jun-2017',0.0408716339,0.0014732146
'07-Jun-2017',0.0403177174,0.0013394248
'08-Jun-2017',0.0396132579,0.0011996507
'09-Jun-2017',0.0397003456,0.0009957882
'10-Jun-2017',0.0398158277,0.0009885268
'11-Jun-2017',0.0393947754,0.0010267915
'12-Jun-2017',0.0389262424,0.0010779477
