Date (Day),Daily Transpiration (mm/day)
'10-Jun-2017',0.3859959132
'11-Jun-2017',0.4048105689
'12-Jun-2017',0.3354020245
'13-Jun-2017',0.3170528536
'14-Jun-2017',0.4445753299
'15-Jun-2017',0.5005494115
'16-Jun-2017',0.4548569018
'17-Jun-2017',0.381524641
'18-Jun-2017',0.3857111766
'19-Jun-2017',0.4021049404
'20-Jun-2017',0.5208095019
'21-Jun-2017',0.4433633536
'22-Jun-2017',0.4703289134
'23-Jun-2017',0.4832934432
'24-Jun-2017',0.4051007428
'25-Jun-2017',0.4562559408
'26-Jun-2017',0.2409914068
'27-Jun-2017',0.3275925455
'28-Jun-2017',0.4587956394
'29-Jun-2017',0.3126044896
'30-Jun-2017',0.4918487374
'01-Jul-2017',0.4194566689
'02-Jul-2017',0.4481895033
'03-Jul-2017',0.4735702869
'04-Jul-2017',0.4965556892
'05-Jul-2017',0.44823287
'06-Jul-2017',0.4732425469
'07-Jul-2017',0.4793763455
'08-Jul-2017',0.3238433054
'09-Jul-2017',0.4620154901
'10-Jul-2017',0.4032391588
'11-Jul-2017',0.3884992007
'12-Jul-2017',0.420127598
'13-Jul-2017',0.5185185869
'14-Jul-2017',0.4381977259
'15-Jul-2017',0.4466105567
'16-Jul-2017',0.5241859215
'17-Jul-2017',0.5422676507
'18-Jul-2017',0.3126683423
'19-Jul-2017',0.3482049829
'20-Jul-2017',0.3290767942
'21-Jul-2017',0.3862147828
'22-Jul-2017',0.5173378924
'23-Jul-2017',0.4056747399
'24-Jul-2017',0.4425920316
'25-Jul-2017',0.5142621298
'26-Jul-2017',0.3853093674
'27-Jul-2017',0.447115597
'28-Jul-2017',0.4649982804
'29-Jul-2017',0.561786485
'30-Jul-2017',0.5312274065
'31-Jul-2017',0.4390196275
'01-Aug-2017',0.3929245863
'02-Aug-2017',0.2903731632
'03-Aug-2017',0.1542538543
'04-Aug-2017',0.3768211813
'05-Aug-2017',0.5695632538
'06-Aug-2017',0.4030985515
'07-Aug-2017',0.2401040968
'08-Aug-2017',0.427695354
'09-Aug-2017',0.5606494878
'10-Aug-2017',0.6262003794
'11-Aug-2017',0.487570605
'12-Aug-2017',0.4932959261
'13-Aug-2017',0.504291301
'14-Aug-2017',0.5382751668
'15-Aug-2017',0.4824470041
'16-Aug-2017',0.5043811585
'17-Aug-2017',0.4646656465
'18-Aug-2017',0.4378197133
'19-Aug-2017',0.4205072928
'20-Aug-2017',0.436545714
'21-Aug-2017',0.4301810619
'22-Aug-2017',0.4884670037
'23-Aug-2017',0.4768063724
'24-Aug-2017',0.4351240085
'25-Aug-2017',0.4376433733
'26-Aug-2017',0.4541703119
'27-Aug-2017',0.4147437516
'28-Aug-2017',0.4160965527
'29-Aug-2017',0.473847421
'30-Aug-2017',0.4353224382
'31-Aug-2017',0.5341453348
'01-Sep-2017',0.5565171732
'02-Sep-2017',0.5767879079
'03-Sep-2017',0.4724862182
'04-Sep-2017',0.5400836849
'05-Sep-2017',0.4709538255
'06-Sep-2017',0.4252695043
'07-Sep-2017',0.4603211288
'08-Sep-2017',0.4369325493
'09-Sep-2017',0.4413191387
'10-Sep-2017',0.4900979253
'11-Sep-2017',0.5298312109
'12-Sep-2017',0.2473388332
'13-Sep-2017',0.4806215083
'14-Sep-2017',0.5102842454
'15-Sep-2017',0.3500574982
'16-Sep-2017',0.5636232176
'17-Sep-2017',0.6204009427
'18-Sep-2017',0.6347440887
'19-Sep-2017',0.5139601758
'20-Sep-2017',0.5889368903
'21-Sep-2017',0.6046648053
'22-Sep-2017',0.6183240121
'23-Sep-2017',0.6299461838
'24-Sep-2017',0.5903755426
'25-Sep-2017',0.4548031223
'26-Sep-2017',0.5728104989
'27-Sep-2017',0.5677678913
'28-Sep-2017',0.5660151658
'29-Sep-2017',0.6595521267
'30-Sep-2017',0.5874278281
'01-Oct-2017',0.5365761619
'02-Oct-2017',0.5339587242
'03-Oct-2017',0.6363271379
'04-Oct-2017',0.6330817622
'05-Oct-2017',0.5211410784
'06-Oct-2017',0.5167076658
'07-Oct-2017',0.6148830249
'08-Oct-2017',0.7010737913
'09-Oct-2017',0.5774162619
'10-Oct-2017',0.6446399121
'11-Oct-2017',0.5891097275
'12-Oct-2017',0.5928521682
'13-Oct-2017',0.566859215
'14-Oct-2017',0.6109484438
'15-Oct-2017',0.5848142128
'16-Oct-2017',0.5849762102
'17-Oct-2017',0.7009708907
'18-Oct-2017',0.7754607411
'19-Oct-2017',0.4742900094
'20-Oct-2017',0.6673865781
'21-Oct-2017',0.489447012
'22-Oct-2017',0.4392919037
'23-Oct-2017',0.5364812045
'24-Oct-2017',0.5548437649
'25-Oct-2017',0.3867182732
'26-Oct-2017',0.4326810604
'27-Oct-2017',0.6569107016
'28-Oct-2017',0.6282466435
