TIMESTAMP,USA_HIL_HF1_PRE_Pta_Js_1,USA_HIL_HF1_PRE_Pta_Js_2,USA_HIL_HF1_PRE_Pta_Js_3,USA_HIL_HF1_PRE_Pta_Js_4,USA_HIL_HF1_PRE_Pta_Js_5,USA_HIL_HF1_PRE_Lst_Js_6,USA_HIL_HF1_PRE_Lst_Js_7,USA_HIL_HF1_PRE_Lst_Js_8,USA_HIL_HF1_PRE_Lst_Js_9,USA_HIL_HF1_PRE_Lst_Js_10,USA_HIL_HF1_PRE_Aru_Js_11,USA_HIL_HF1_PRE_Aru_Js_12,USA_HIL_HF1_PRE_Aru_Js_13,USA_HIL_HF1_PRE_Aru_Js_14,USA_HIL_HF1_PRE_Aru_Js_15,USA_HIL_HF1_PRE_Qal_Js_16,USA_HIL_HF1_PRE_Qal_Js_17,USA_HIL_HF1_PRE_Qal_Js_18,USA_HIL_HF1_PRE_Qal_Js_19,USA_HIL_HF1_PRE_Qal_Js_20,USA_HIL_HF1_PRE_Ltu_Js_21,USA_HIL_HF1_PRE_Ltu_Js_22,USA_HIL_HF1_PRE_Ltu_Js_23,USA_HIL_HF1_PRE_Ltu_Js_24,USA_HIL_HF1_PRE_Ltu_Js_25,interpolated
2010-06-17 04:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 04:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 05:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 05:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 06:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 06:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 07:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 07:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 08:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 08:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 09:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 09:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 10:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 10:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 11:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 11:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 12:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 12:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 13:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 13:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 14:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 15:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 16:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 17:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,False
2010-06-17 18:00:00+00:00,14.536757289746902,14.835094362397752,11.095886505169055,14.280450048162912,13.62951766949058,5.31813389295552,11.413933191700751,12.639474252158182,14.3738721630672,,19.20353434272379,19.69453535030659,15.081496257722998,22.659146342058836,32.6195788294809,4.477215997551468,,2.760695149271244,,,16.468403479205136,13.549813040451022,9.710861272827769,11.263831747783223,12.301525157405182,False
2010-06-17 18:30:00+00:00,14.104495288577771,14.391866714458272,10.784521147774646,13.857548228114867,13.23013419766655,4.424701330763928,10.672636781717808,9.982050557066914,12.867649679704044,,17.051691278393793,17.43423144555673,13.484575487612473,20.008545028039425,28.37239253021666,3.951734630215284,,2.1259122287714867,,,14.217367663524504,12.587119765678139,8.74536135714738,10.113208444571507,11.023042593810253,False
2010-06-17 19:00:00+00:00,14.27665033053732,14.56837882602012,10.9086118858434,14.025983799724054,13.389222950037912,3.852152480145864,9.987982931143092,9.06017994232986,11.841004312058795,,15.603792012011581,16.101035735556206,12.398226315189335,18.240606546467326,25.605676684329264,3.6734559537216,,1.7771218133849784,,,12.279582742339258,11.822671814926968,8.63620239549907,9.983583025392013,10.879348398812112,False
2010-06-17 19:30:00+00:00,14.233708130063171,14.52435110958732,10.877647906981897,13.983968304630876,13.349536379673443,3.2617773947309536,9.17664272482566,8.67128802986995,10.214386450059239,,13.33803782718696,14.1389744565618,10.680250799002044,15.497011080672445,21.406093546756797,3.3839359886696285,,1.4568202416205043,,,11.571597880056217,11.23082089267548,8.692206418175772,10.05006264331308,10.95302548428018,False
2010-06-17 20:00:00+00:00,13.998194148393566,14.282892592809816,10.707753314697024,13.753529446831116,13.13185305789576,2.7261934160357364,7.399248483591948,6.109564238957244,9.34573415561214,,12.143996779207008,12.299456394105874,9.764659266251927,14.063877053014524,19.26279868161217,3.194510647578755,,1.251190234575727,,,10.764512431311132,10.007894814819467,8.223596507726748,9.4944105187521,10.337655549494364,False
2010-06-17 20:30:00+00:00,13.292227185850379,13.559393203700447,10.196080460919108,13.062539359222043,12.478540758144696,2.00818598610345,5.056976366358228,3.1518368542228967,8.152174472952288,,10.521463238236727,9.993918195630444,8.508741637417584,12.130652122348991,16.42571088398155,2.856100174607501,,0.9811487210098152,,,8.24199124589334,8.05312677378498,7.19369718679956,8.278913664098999,8.995603181360472,False
2010-06-17 21:00:00+00:00,11.820028730296164,12.051446141589347,9.122178450196836,11.6209027631598,11.11388921192743,1.321374275261377,3.5391895014276264,1.8819051764502923,6.668017185712128,,8.530843290563665,7.858208615472216,6.950271894863364,9.779607278829289,13.051899851533895,2.4044363261402317,,0.7044244343178564,,,6.309941595858011,6.515982663780996,6.509889824432087,7.4752299727113956,8.110627915743299,False
2010-06-17 21:30:00+00:00,9.211041992733216,9.382755464146177,7.187616477514908,9.06306012838039,8.685305448880932,0.8820214526822329,2.442482961650514,1.1809415033720592,5.065469100781487,,6.417504411595728,5.971316835562919,5.271882346863755,7.310790751532473,9.60521621494218,1.8930863279395667,,0.51598721638878,,,4.81033067009562,4.882985467382544,5.0080551307748635,5.722919449966848,6.190092139525344,False
2010-06-17 22:00:00+00:00,7.099637559760283,7.226240938910124,5.593680451960188,6.990384337014455,6.7108707643145395,0.5671682243829624,1.617955049359867,0.67484926619937,3.8141208440551515,,4.793465740790761,4.4659932491652965,3.964566490002195,5.432868142361616,7.048981103681256,1.4135420422667242,,0.31011418211831243,,,3.746068691230249,3.295606212497736,2.826622932560646,3.2055470051105046,3.4503964990757843,False
2010-06-17 22:30:00+00:00,5.193167424907489,5.281856457957852,4.128865333025304,5.116536753718392,4.920077428106688,0.3569907625904891,1.0197496398219503,0.3103403820897619,2.7484663679746437,,3.4294112212608123,3.2720958248222956,2.853654096773195,3.869302734822354,4.965563298964104,1.0220947791418489,,0.13101956054345873,,,2.7989459313250773,2.1534916203607835,1.3263985272531156,1.4950663561180584,1.6030746138282694,False
2010-06-17 23:00:00+00:00,3.2281821866982345,3.2805774070328186,2.593092989643648,3.182846764200793,3.0663466613852406,0.22524372010915353,0.6135539972092764,0.12332309298864101,1.925644524401184,,2.3885764968164374,2.365049733962016,1.9974811988755967,2.6850475016210815,3.41551670701689,0.7221226546785217,,0.036760836430041736,,,2.1551463883437467,1.3488625458601906,0.5530584369956887,0.6211880220641315,0.6645887747684364,False
2010-06-17 23:30:00+00:00,2.186576640574585,2.2209882420291276,1.767013319138705,2.15677719146407,2.080095542161649,0.13606991995607398,0.3522470043796629,0.08780894617455477,1.3031195003757972,,1.6086699175250232,1.8056210167735582,1.3507091432605811,1.8029824243394998,2.277402543540763,0.5049286762351511,,0.007274632182718799,,,1.7449712408850155,0.8492121860865,0.1487836593866902,0.16670420514337927,0.17807914348800294,False
2010-06-18 00:00:00+00:00,1.4352707210749163,1.4573118083159973,1.1653075065152185,1.4161716369162647,1.3669726897716827,0.08865573926928237,0.200813570525858,0.0576846023558552,0.8711065188772871,,1.0715669759159543,1.3184677630894848,0.9024132355653313,1.198391988640951,1.50598864846716,0.34879361337528686,,0.007274632182718799,,,1.4474043983240101,0.5581042833981157,0.05995578008639629,0.06715118476471407,0.07171581179865516,False
2010-06-18 00:30:00+00:00,0.9137108718170591,0.9274765563816539,0.7445159002413204,0.9017768036094131,0.8710098946673327,0.030795879409539234,0.1043602261774939,0.006482736569659301,0.5637468440123772,,0.6915547840803828,0.8696329060989648,0.5837497526719705,0.7720878617556455,0.966399743682738,0.21829444958175456,,0.0048497547884792,,,1.1282518084606166,0.340117945315459,0.1598550303444841,0.17922550901533485,0.19153255797292354,False
2010-06-18 01:00:00+00:00,0.6879319183675836,0.698203902213756,0.561474528481668,0.6790246973424708,0.6560526483026088,0.019763002602877035,0.08406926630836042,0.005993142711334001,0.39372607573271595,,0.4822050286445952,0.5601248844974328,0.40759096653156957,0.5378248422623017,0.671622028943826,0.16746855998377316,,0.010547732963736367,,,0.6943879079165184,0.2525231790871168,0.4103289212317236,0.4604276729916335,0.49229624005396316,False
2010-06-18 01:30:00+00:00,0.5294991156919415,0.5373571626158004,0.43265338092513766,0.5226840743610923,0.5051033764710948,0.0103992266849241,0.028551102097384633,0.006276742201110334,0.22805414716554753,,0.2788455901684424,0.6073441272959975,0.23602331466891546,0.3106981899325399,0.3870903721805287,0.09381606444766423,,0.010547732963736367,,,0.6147784223299836,0.16408668660477488,0.07754799361964866,0.08686099774261795,0.09276962522060526,False
2010-06-18 02:00:00+00:00,0.2906233588000075,0.2948896162520468,0.2379421348298791,0.28692237086062833,0.2773706823185,0.0103992266849241,0.027681185013643198,0.0017964067051116407,0.12333345903849942,,0.1506065139416923,0.34871093171424555,0.1276168574958812,0.1676778878677815,0.20852250726847388,0.0712383722838117,,0.0321958480425717,,,0.47479032748392713,0.10994559900358662,0.5072497182579575,0.5695456888883159,0.6092105203742015,False
