TIMESTAMP,solar_TIMESTAMP,ITA_TOR_Lde_Js_1,ITA_TOR_Lde_Js_2,ITA_TOR_Lde_Js_3,ITA_TOR_Lde_Js_4
2015-03-03T23:00:00Z,2015-03-03T23:18:26Z,,,,
2015-03-03T23:30:00Z,2015-03-03T23:48:39Z,,,,
2015-03-04T00:00:00Z,2015-03-04T00:18:39Z,,,,
2015-03-04T00:30:00Z,2015-03-04T00:48:39Z,,,,
2015-03-04T01:00:00Z,2015-03-04T01:18:39Z,,,,
2015-03-04T01:30:00Z,2015-03-04T01:48:39Z,,,,
2015-03-04T02:00:00Z,2015-03-04T02:18:39Z,,,,
2015-03-04T02:30:00Z,2015-03-04T02:48:39Z,,,,
2015-03-04T03:00:00Z,2015-03-04T03:18:39Z,,,,
2015-03-04T03:30:00Z,2015-03-04T03:48:39Z,,,,
2015-03-04T04:00:00Z,2015-03-04T04:18:39Z,,,,
2015-03-04T04:30:00Z,2015-03-04T04:48:39Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-04T05:00:00Z,2015-03-04T05:18:39Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-04T05:30:00Z,2015-03-04T05:48:39Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-04T06:00:00Z,2015-03-04T06:18:39Z,,,,
2015-03-04T06:30:00Z,2015-03-04T06:48:39Z,,,,
2015-03-04T07:00:00Z,2015-03-04T07:18:39Z,,,,
2015-03-04T07:30:00Z,2015-03-04T07:48:39Z,,,,
2015-03-04T08:00:00Z,2015-03-04T08:18:39Z,,,,
2015-03-04T08:30:00Z,2015-03-04T08:48:39Z,,,,
2015-03-04T09:00:00Z,2015-03-04T09:18:39Z,,,,
2015-03-04T09:30:00Z,2015-03-04T09:48:39Z,,,,
2015-03-04T10:00:00Z,2015-03-04T10:18:39Z,,,,
2015-03-04T10:30:00Z,2015-03-04T10:48:39Z,,,,
2015-03-04T11:00:00Z,2015-03-04T11:18:39Z,,,,
2015-03-04T11:30:00Z,2015-03-04T11:48:39Z,,,,
2015-03-04T12:00:00Z,2015-03-04T12:18:39Z,,,,
2015-03-04T12:30:00Z,2015-03-04T12:48:39Z,,,,
2015-03-04T13:00:00Z,2015-03-04T13:18:39Z,,,,
2015-03-04T13:30:00Z,2015-03-04T13:48:39Z,,,,
2015-03-04T14:00:00Z,2015-03-04T14:18:39Z,,,,
2015-03-04T14:30:00Z,2015-03-04T14:48:39Z,,,,
2015-03-04T15:00:00Z,2015-03-04T15:18:39Z,,,,
2015-03-04T15:30:00Z,2015-03-04T15:48:39Z,,,,
2015-03-04T16:00:00Z,2015-03-04T16:18:39Z,,,,
2015-03-04T16:30:00Z,2015-03-04T16:48:39Z,,,,
2015-03-04T17:00:00Z,2015-03-04T17:18:39Z,,,,
2015-03-04T17:30:00Z,2015-03-04T17:48:39Z,,,,
2015-03-04T18:00:00Z,2015-03-04T18:18:39Z,,,,
2015-03-04T18:30:00Z,2015-03-04T18:48:39Z,,,,
2015-03-04T19:00:00Z,2015-03-04T19:18:39Z,,,,
2015-03-04T19:30:00Z,2015-03-04T19:48:39Z,,,,
2015-03-04T20:00:00Z,2015-03-04T20:18:39Z,,,,
2015-03-04T20:30:00Z,2015-03-04T20:48:39Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-04T21:00:00Z,2015-03-04T21:18:39Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2015-03-04T21:30:00Z,2015-03-04T21:48:39Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
