TIMESTAMP,TIMESTAMP_solar,AUS_MAR_HSW_HIG_Eob_Js_1,AUS_MAR_HSW_HIG_Eob_Js_2,AUS_MAR_HSW_HIG_Eob_Js_3,AUS_MAR_HSW_HIG_Ecy_Js_4
2010-02-28T14:00:10Z,2010-02-28T23:30:02Z,NA,NA,1561.8226285262583,1749.979909000885
2010-02-28T14:30:10Z,2010-03-01T00:00:14Z,NA,NA,1193.8658373124097,2716.5544842377894
2010-02-28T15:00:10Z,2010-03-01T00:30:14Z,NA,NA,1583.7298852724987,687.3772894387768
2010-02-28T15:30:10Z,2010-03-01T01:00:14Z,NA,NA,1636.4924715690022,2039.6301356949434
2010-02-28T16:00:10Z,2010-03-01T01:30:14Z,NA,NA,1227.6000314386388,1603.4404668513273
2010-02-28T16:30:10Z,2010-03-01T02:00:14Z,NA,NA,1163.481928431281,2827.8541775256595
2010-02-28T17:00:10Z,2010-03-01T02:30:14Z,NA,NA,1533.6004604444095,2169.6263017621886
2010-02-28T17:30:10Z,2010-03-01T03:00:14Z,NA,NA,1604.2596849375423,1393.7363838115868
2010-02-28T18:00:10Z,2010-03-01T03:30:14Z,NA,NA,1494.0882698376163,727.768615473225
2010-02-28T18:30:10Z,2010-03-01T04:00:14Z,NA,NA,1480.2385192244708,714.7650817316696
2010-02-28T19:00:10Z,2010-03-01T04:30:14Z,NA,NA,1009.2883190565857,1411.1451227614266
2010-02-28T19:30:10Z,2010-03-01T05:00:14Z,NA,NA,1529.5090884111205,959.7053817236042
2010-02-28T20:00:10Z,2010-03-01T05:30:14Z,NA,NA,1396.235603533739,2808.38561273568
2010-02-28T20:30:10Z,2010-03-01T06:00:14Z,NA,NA,1112.922648114333,2962.789049805375
2010-02-28T21:00:10Z,2010-03-01T06:30:14Z,NA,NA,1415.2267638156604,1085.2048824096833
2010-02-28T21:30:10Z,2010-03-01T07:00:14Z,NA,NA,2642.4795593008416,2128.1241740175115
2010-02-28T22:00:10Z,2010-03-01T07:30:14Z,NA,NA,4129.489707623029,1902.120217541422
2010-02-28T22:30:10Z,2010-03-01T08:00:14Z,NA,NA,5938.922947588785,1865.8858376110709
2010-02-28T23:00:10Z,2010-03-01T08:30:14Z,NA,NA,7501.695681308713,1098.960144271447
2010-02-28T23:30:10Z,2010-03-01T09:00:14Z,NA,NA,8536.24545525569,1098.960144271447
2010-03-01T00:00:10Z,2010-03-01T09:30:14Z,NA,NA,9160.465467805827,1225.0754385088655
2010-03-01T00:30:10Z,2010-03-01T10:00:14Z,NA,NA,10108.415705615313,2789.169945210087
2010-03-01T01:00:10Z,2010-03-01T10:30:14Z,NA,NA,9363.406781256563,1994.682914617504
2010-03-01T01:30:10Z,2010-03-01T11:00:14Z,NA,NA,10567.143105253366,1176.789093138481
2010-03-01T02:00:10Z,2010-03-01T11:30:14Z,NA,NA,10053.186919169299,2032.786960750244
2010-03-01T02:30:10Z,2010-03-01T12:00:14Z,NA,NA,10089.753718304735,2788.7254011565087
2010-03-01T03:00:10Z,2010-03-01T12:30:14Z,NA,NA,10142.099321921096,1977.6402891249243
2010-03-01T03:30:10Z,2010-03-01T13:00:14Z,NA,NA,10233.367659917702,2381.2704313350077
2010-03-01T04:00:10Z,2010-03-01T13:30:14Z,NA,NA,9754.585873668097,1888.2473893291567
2010-03-01T04:30:10Z,2010-03-01T14:00:14Z,NA,NA,10705.836352023796,1510.0707406348702
2010-03-01T05:00:10Z,2010-03-01T14:30:14Z,NA,NA,11212.476814370417,2072.3237158328902
2010-03-01T05:30:10Z,2010-03-01T15:00:14Z,NA,NA,11246.057714996681,4138.331276109948
2010-03-01T06:00:10Z,2010-03-01T15:30:14Z,NA,NA,11231.869400503496,4432.186046130734
2010-03-01T06:30:10Z,2010-03-01T16:00:14Z,NA,NA,10620.352546936569,2239.6301557604966
2010-03-01T07:00:10Z,2010-03-01T16:30:14Z,NA,NA,10141.35983183575,3597.220655013194
2010-03-01T07:30:10Z,2010-03-01T17:00:14Z,NA,NA,9255.508174616276,3843.212364986587
2010-03-01T08:00:10Z,2010-03-01T17:30:14Z,NA,NA,8469.32589653235,3587.814157676602
2010-03-01T08:30:10Z,2010-03-01T18:00:14Z,NA,NA,7202.758148118085,3340.043166021092
2010-03-01T09:00:10Z,2010-03-01T18:30:14Z,NA,NA,5081.015984041194,2453.4998356064725
2010-03-01T09:30:10Z,2010-03-01T19:00:14Z,NA,NA,3893.6777957411095,2190.4546469291963
2010-03-01T10:00:10Z,2010-03-01T19:30:14Z,NA,NA,2473.041844836895,2110.837567099713
2010-03-01T10:30:10Z,2010-03-01T20:00:14Z,NA,NA,1850.7863580414657,2773.814524953348
2010-03-01T11:00:10Z,2010-03-01T20:30:14Z,NA,NA,1450.2231483939222,2610.227289918096
2010-03-01T11:30:10Z,2010-03-01T21:00:14Z,NA,NA,1217.562659879759,1911.208299493188
2010-03-01T12:00:10Z,2010-03-01T21:30:14Z,NA,NA,1098.1265389424673,1959.841055382734
2010-03-01T12:30:10Z,2010-03-01T22:00:14Z,NA,NA,918.9494663356804,1909.7084863994567
2010-03-01T13:00:10Z,2010-03-01T22:30:14Z,NA,NA,1330.0014690128266,1876.9322973045896
2010-03-01T13:30:10Z,2010-03-01T23:00:14Z,NA,NA,864.2186606934785,1543.9639676784932
2010-03-01T14:00:10Z,2010-03-01T23:30:14Z,NA,NA,1111.717934177183,1679.5704317468371
2010-03-01T14:30:10Z,2010-03-02T00:00:26Z,NA,NA,1071.906646362299,626.3150270064301
2010-03-01T15:00:10Z,2010-03-02T00:30:26Z,NA,NA,690.0289638541083,2433.2865566134938
