TIMESTAMP,solar_TIMESTAMP,CHN_YIN_ST2_DRO_Peu_Js_1,CHN_YIN_ST2_DRO_Peu_Js_2
2012-05-25T23:50:00Z,2012-05-26T05:32:51Z,,
2012-05-26T00:00:00Z,2012-05-26T05:42:51Z,,
2012-05-26T00:10:00Z,2012-05-26T05:52:51Z,,
2012-05-26T00:19:59Z,2012-05-26T06:02:50Z,,
2012-05-26T00:29:59Z,2012-05-26T06:12:50Z,,
2012-05-26T00:39:59Z,2012-05-26T06:22:50Z,,
2012-05-26T00:50:00Z,2012-05-26T06:32:51Z,,
2012-05-26T01:00:00Z,2012-05-26T06:42:51Z,,
2012-05-26T01:10:00Z,2012-05-26T06:52:51Z,,
2012-05-26T01:20:00Z,2012-05-26T07:02:51Z,,
2012-05-26T01:30:00Z,2012-05-26T07:12:51Z,,
2012-05-26T01:40:00Z,2012-05-26T07:22:51Z,,
2012-05-26T01:49:59Z,2012-05-26T07:32:50Z,,
2012-05-26T01:59:59Z,2012-05-26T07:42:50Z,,
2012-05-26T02:09:59Z,2012-05-26T07:52:50Z,,
2012-05-26T02:20:00Z,2012-05-26T08:02:51Z,,
2012-05-26T02:30:00Z,2012-05-26T08:12:51Z,,
2012-05-26T02:40:00Z,2012-05-26T08:22:51Z,,
2012-05-26T02:50:00Z,2012-05-26T08:32:51Z,,
2012-05-26T03:00:00Z,2012-05-26T08:42:51Z,,
2012-05-26T03:10:00Z,2012-05-26T08:52:51Z,,
2012-05-26T03:19:59Z,2012-05-26T09:02:50Z,,
2012-05-26T03:29:59Z,2012-05-26T09:12:50Z,,
2012-05-26T03:39:59Z,2012-05-26T09:22:50Z,,
2012-05-26T03:50:00Z,2012-05-26T09:32:51Z,,
2012-05-26T04:00:00Z,2012-05-26T09:42:51Z,,
2012-05-26T04:10:00Z,2012-05-26T09:52:51Z,,
2012-05-26T04:20:00Z,2012-05-26T10:02:51Z,,
2012-05-26T04:30:00Z,2012-05-26T10:12:51Z,,
2012-05-26T04:40:00Z,2012-05-26T10:22:51Z,,
2012-05-26T04:49:59Z,2012-05-26T10:32:50Z,,
2012-05-26T04:59:59Z,2012-05-26T10:42:50Z,,
2012-05-26T05:09:59Z,2012-05-26T10:52:50Z,,
2012-05-26T05:20:00Z,2012-05-26T11:02:51Z,,
2012-05-26T05:30:00Z,2012-05-26T11:12:51Z,,
2012-05-26T05:40:00Z,2012-05-26T11:22:51Z,,
2012-05-26T05:50:00Z,2012-05-26T11:32:51Z,,
2012-05-26T06:00:00Z,2012-05-26T11:42:51Z,,
2012-05-26T06:10:00Z,2012-05-26T11:52:51Z,,
2012-05-26T06:19:59Z,2012-05-26T12:02:50Z,,
2012-05-26T06:29:59Z,2012-05-26T12:12:50Z,,
2012-05-26T06:39:59Z,2012-05-26T12:22:50Z,,
2012-05-26T06:50:00Z,2012-05-26T12:32:51Z,,
2012-05-26T07:00:00Z,2012-05-26T12:42:51Z,,
2012-05-26T07:10:00Z,2012-05-26T12:52:51Z,,
2012-05-26T07:20:00Z,2012-05-26T13:02:51Z,,
2012-05-26T07:30:00Z,2012-05-26T13:12:51Z,,
2012-05-26T07:40:00Z,2012-05-26T13:22:51Z,,
2012-05-26T07:49:59Z,2012-05-26T13:32:50Z,,
2012-05-26T07:59:59Z,2012-05-26T13:42:50Z,,
2012-05-26T08:09:59Z,2012-05-26T13:52:50Z,,
2012-05-26T08:20:00Z,2012-05-26T14:02:51Z,,
2012-05-26T08:30:00Z,2012-05-26T14:12:51Z,,
2012-05-26T08:40:00Z,2012-05-26T14:22:51Z,,
2012-05-26T08:50:00Z,2012-05-26T14:32:51Z,,
2012-05-26T09:00:00Z,2012-05-26T14:42:51Z,,
2012-05-26T09:10:00Z,2012-05-26T14:52:51Z,,
2012-05-26T09:19:59Z,2012-05-26T15:02:50Z,,
2012-05-26T09:29:59Z,2012-05-26T15:12:50Z,,
2012-05-26T09:39:59Z,2012-05-26T15:22:50Z,,
2012-05-26T09:50:00Z,2012-05-26T15:32:51Z,,
2012-05-26T10:00:00Z,2012-05-26T15:42:51Z,,
2012-05-26T10:10:00Z,2012-05-26T15:52:51Z,,
2012-05-26T10:20:00Z,2012-05-26T16:02:51Z,,
2012-05-26T10:30:00Z,2012-05-26T16:12:51Z,,
2012-05-26T10:40:00Z,2012-05-26T16:22:51Z,,
2012-05-26T10:49:59Z,2012-05-26T16:32:50Z,,
2012-05-26T10:59:59Z,2012-05-26T16:42:50Z,,
2012-05-26T11:09:59Z,2012-05-26T16:52:50Z,,
2012-05-26T11:20:00Z,2012-05-26T17:02:51Z,,
2012-05-26T11:30:00Z,2012-05-26T17:12:51Z,,
2012-05-26T11:40:00Z,2012-05-26T17:22:51Z,,
2012-05-26T11:50:00Z,2012-05-26T17:32:51Z,,
2012-05-26T12:00:00Z,2012-05-26T17:42:51Z,,
2012-05-26T12:10:00Z,2012-05-26T17:52:51Z,,
2012-05-26T12:19:59Z,2012-05-26T18:02:50Z,,
2012-05-26T12:29:59Z,2012-05-26T18:12:50Z,,
2012-05-26T12:39:59Z,2012-05-26T18:22:50Z,,
2012-05-26T12:50:00Z,2012-05-26T18:32:51Z,,
2012-05-26T13:00:00Z,2012-05-26T18:42:51Z,,
2012-05-26T13:10:00Z,2012-05-26T18:52:51Z,,
2012-05-26T13:20:00Z,2012-05-26T19:02:51Z,,
2012-05-26T13:30:00Z,2012-05-26T19:12:51Z,,
2012-05-26T13:40:00Z,2012-05-26T19:22:51Z,,
2012-05-26T13:49:59Z,2012-05-26T19:32:50Z,,
2012-05-26T13:59:59Z,2012-05-26T19:42:50Z,,
2012-05-26T14:09:59Z,2012-05-26T19:52:50Z,,
2012-05-26T14:20:00Z,2012-05-26T20:02:51Z,,
2012-05-26T14:30:00Z,2012-05-26T20:12:51Z,,
2012-05-26T14:40:00Z,2012-05-26T20:22:51Z,,
2012-05-26T14:50:00Z,2012-05-26T20:32:51Z,,
2012-05-26T15:00:00Z,2012-05-26T20:42:51Z,,
2012-05-26T15:10:00Z,2012-05-26T20:52:51Z,,
2012-05-26T15:19:59Z,2012-05-26T21:02:50Z,,
2012-05-26T15:29:59Z,2012-05-26T21:12:50Z,,
2012-05-26T15:39:59Z,2012-05-26T21:22:50Z,,
2012-05-26T15:50:00Z,2012-05-26T21:32:51Z,,
2012-05-26T16:00:00Z,2012-05-26T21:42:51Z,,
2012-05-26T16:10:00Z,2012-05-26T21:52:51Z,,
2012-05-26T16:20:00Z,2012-05-26T22:02:51Z,,
2012-05-26T16:30:00Z,2012-05-26T22:12:51Z,,
2012-05-26T16:40:00Z,2012-05-26T22:22:51Z,,
2012-05-26T16:49:59Z,2012-05-26T22:32:50Z,,
2012-05-26T16:59:59Z,2012-05-26T22:42:50Z,,
2012-05-26T17:09:59Z,2012-05-26T22:52:50Z,,
2012-05-26T17:20:00Z,2012-05-26T23:02:51Z,,
2012-05-26T17:30:00Z,2012-05-26T23:12:51Z,,
2012-05-26T17:40:00Z,2012-05-26T23:22:51Z,,
2012-05-26T17:50:00Z,2012-05-26T23:32:51Z,,
2012-05-26T18:00:00Z,2012-05-26T23:42:51Z,,
2012-05-26T18:10:00Z,2012-05-26T23:52:51Z,,
2012-05-26T18:19:59Z,2012-05-27T00:02:42Z,,
2012-05-26T18:29:59Z,2012-05-27T00:12:42Z,,
2012-05-26T18:39:59Z,2012-05-27T00:22:42Z,,
2012-05-26T18:50:00Z,2012-05-27T00:32:43Z,,
