TIMESTAMP,solar_TIMESTAMP,ARG_MAZ_Npu_Jt_1,ARG_MAZ_Npu_Jt_2,ARG_MAZ_Npu_Jt_3,ARG_MAZ_Npu_Jt_4,ARG_MAZ_Npu_Jt_5
2009-11-19T03:00:00Z,2009-11-18T22:24:18Z,1955.36748818007,754.134654832673,741.625783710779,2678.85584080369,1494.0792123187
2009-11-19T04:00:00Z,2009-11-18T23:24:18Z,1833.48158014105,752.250282324967,631.017471098097,2526.95564659039,1503.62478706704
2009-11-19T05:00:00Z,2009-11-19T00:24:02Z,1817.01684261583,794.633699166269,597.426451873858,2514.30794421501,1446.43260082315
2009-11-19T06:00:00Z,2009-11-19T01:24:02Z,1598.11023765744,788.281366507289,578.815814158224,1937.99305188519,1264.92846630669
2009-11-19T07:00:00Z,2009-11-19T02:24:02Z,1419.10686559937,780.349837054393,518.068452782923,2061.39699575501,1180.93491843109
2009-11-19T08:00:00Z,2009-11-19T03:24:02Z,1505.76965707297,735.154994734249,429.802629079327,1977.13087325093,1231.24674898928
2009-11-19T09:00:00Z,2009-11-19T04:24:02Z,1648.90737228388,719.824949377521,539.046284568448,1984.31606726312,1310.3928669219
2009-11-19T10:00:00Z,2009-11-19T05:24:02Z,1630.31896753005,881.769328039747,541.978788788413,2370.78398968279,1506.01118075413
2009-11-19T11:00:00Z,2009-11-19T06:24:02Z,1908.96272744232,1014.64530660621,654.592175293754,2925.74156854106,1690.11684847176
2009-11-19T12:00:00Z,2009-11-19T07:24:02Z,2849.11372155245,1458.93946192633,930.399781413108,3802.15594658214,2264.62928740453
2009-11-19T13:00:00Z,2009-11-19T08:24:02Z,3583.96369469096,2128.3413090069,1289.65935799408,5237.31031476526,2852.35140663494
2009-11-19T14:00:00Z,2009-11-19T09:24:02Z,4223.7696845951,2271.64354096154,1552.26197815725,8657.62518446125,3371.94608915768
2009-11-19T15:00:00Z,2009-11-19T10:24:02Z,4535.23500296488,2824.8560927089,1666.7567136846,6646.67288964568,3429.87591289738
2009-11-19T16:00:00Z,2009-11-19T11:24:02Z,4614.84191751974,3009.53582845596,1748.63647856665,7198.55372004922,3933.9294191045
2009-11-19T17:00:00Z,2009-11-19T12:24:02Z,4668.43625438947,2837.23780957141,1695.94025961255,7088.57731281086,4087.49497707232
2009-11-19T18:00:00Z,2009-11-19T13:24:02Z,4194.95702885065,2472.50776716345,1467.54694555849,6374.53067715641,3632.36362570795
2009-11-19T19:00:00Z,2009-11-19T14:24:02Z,4089.05886878944,2432.6723924824,1269.87853616139,7289.5585737245,3761.97085933639
2009-11-19T20:00:00Z,2009-11-19T15:24:02Z,4270.23647722437,2341.04951116318,1489.30199443328,6138.69039471273,3392.53009003067
2009-11-19T21:00:00Z,2009-11-19T16:24:02Z,3834.51773630023,2020.10283542105,1230.7138805386,5839.90238323764,3005.00367739227
2009-11-19T22:00:00Z,2009-11-19T17:24:02Z,3442.07809401215,1713.6548142435,1178.53871196612,5368.1865669221,2834.75093999956
2009-11-19T23:00:00Z,2009-11-19T18:24:02Z,3135.10565844876,1604.44749529131,1048.08754635124,4680.17625027562,2504.56599874268
2009-11-20T00:00:00Z,2009-11-19T19:24:02Z,2987.59413755973,1492.69213417887,933.800359279898,4819.92513066546,2415.05323780476
2009-11-20T01:00:00Z,2009-11-19T20:24:02Z,2509.92012213534,959.917237938521,817.993943363782,3408.62692728827,1944.67049220769
2009-11-20T02:00:00Z,2009-11-19T21:24:02Z,2154.77843080982,851.732082577645,596.931889859636,2982.57472066187,1690.99281439784
2009-11-20T03:00:00Z,2009-11-19T22:24:02Z,2000.03023239432,847.281895168028,655.881725798292,2691.75173745504,1242.43446025156
2009-11-20T04:00:00Z,2009-11-19T23:24:02Z,1913.26782480138,771.827248468388,790.766853076868,2538.57898900443,1728.17839541956
2009-11-20T05:00:00Z,2009-11-20T00:23:45Z,1807.08016467441,824.420606692365,608.05669530414,2184.92136819212,1107.49461998284
2009-11-20T06:00:00Z,2009-11-20T01:23:45Z,1699.0803583079,586.178664708569,550.475874972216,1857.42416352576,1087.05990424748
2009-11-20T07:00:00Z,2009-11-20T02:23:45Z,1641.619690851,601.484690411753,499.175159992251,1898.40876767846,1316.22822664419
2009-11-20T08:00:00Z,2009-11-20T03:23:45Z,1561.67583317214,630.78717525468,518.094941150321,1777.34799514756,1067.38040239262
2009-11-20T09:00:00Z,2009-11-20T04:23:45Z,1438.29302094589,490.698174665652,530.425473513997,1752.75091608443,895.33841186334
2009-11-20T10:00:00Z,2009-11-20T05:23:45Z,1204.67531442377,559.961962934036,458.301498469724,1521.6748163163,786.817932189895
2009-11-20T11:00:00Z,2009-11-20T06:23:45Z,1255.95011337729,744.80317555524,418.761647220189,1500.89539996511,1007.08392986554
2009-11-20T12:00:00Z,2009-11-20T07:23:45Z,1597.75309910676,825.371679317046,493.716531498006,2558.94719394281,1349.30401521872
2009-11-20T13:00:00Z,2009-11-20T08:23:45Z,2620.86158706963,1094.03017254898,737.015120441646,3229.82907124249,1793.10932689053
2009-11-20T14:00:00Z,2009-11-20T09:23:45Z,2264.84394388254,1323.30064874692,812.022981454259,3939.84876990791,1946.60024228953
2009-11-20T15:00:00Z,2009-11-20T10:23:45Z,2613.368436441,1507.62189320164,1077.61544105536,4041.2396631881,2211.13852799434
2009-11-20T16:00:00Z,2009-11-20T11:23:45Z,1836.77281033399,963.235586201264,665.482943914846,3187.04027287236,1299.1129367061
2009-11-20T17:00:00Z,2009-11-20T12:23:45Z,1222.779238778,704.213747960548,458.994891973618,2094.74260591316,996.90389328227
