TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ws,precip,ppfd_in,ext_rad
2015-05-17T11:00:05Z,2015-05-17T19:12:46Z,15.65,88,0.20742121688472176,1.7585500000000003,4.2,0,3.7175747000000006,0
2015-05-17T12:00:05Z,2015-05-17T20:12:46Z,15.75,88,0.20871898280285855,1.6838666666666666,3.55,0,3.559694133333333,0
2015-05-17T13:00:05Z,2015-05-17T21:12:46Z,15.55,88.5,0.19754174620018614,1.63465,4.35,0,3.4556500999999997,0
2015-05-17T14:00:05Z,2015-05-17T22:12:46Z,15.55,86,0.24048560406979186,1.588566666666667,4.6,0,3.358229933333334,0
2015-05-17T15:00:05Z,2015-05-17T23:12:46Z,15.1,87.5,0.20875932456501872,1.5536166666666666,2.25,0,3.284345633333333,0
2015-05-17T16:00:05Z,2015-05-18T00:12:43Z,14.25,90.5,0.15040069731805547,1.7093166666666668,1.5,0,3.6134954333333336,0
2015-05-17T17:00:05Z,2015-05-18T01:12:43Z,13.6,91.5,0.12914929910596368,1.7585333333333333,1.45,0,3.717539466666666,0
2015-05-17T18:00:05Z,2015-05-18T02:12:43Z,12.7,92.5,0.10761272936814768,1.8364,1.45,0,3.8821496,0
2015-05-17T19:00:05Z,2015-05-18T03:12:43Z,11.9,93.5,0.08860531776217714,1.7347166666666667,1,0,3.6671910333333333,0
2015-05-17T20:00:05Z,2015-05-18T04:12:43Z,11.1,94.5,0.07120523097521078,11.077150000000001,1.25,0,23.4170951,0
2015-05-17T21:00:05Z,2015-05-18T05:12:43Z,11.25,95,0.0653626295783922,40.6056,0.65,0,85.8402384,127.77779363591016
2015-05-17T22:00:05Z,2015-05-18T06:12:43Z,12.55,95.5,0.0639517752938301,137.9806,0.55,0,291.6909884,368.66930198233894
2015-05-17T23:00:05Z,2015-05-18T07:12:43Z,14,90,0.15583694779891757,205.93036666666669,1.5,0,435.33679513333334,605.0825879354417
2015-05-18T00:00:05Z,2015-05-18T08:12:43Z,14.9,87.5,0.2061572762945877,390.42766666666665,2.4,0,825.3640873333333,820.9072860900318
2015-05-18T01:00:05Z,2015-05-18T09:12:43Z,16.5,81,0.34624461106838966,124.40303333333331,1.95,0,262.9880124666666,1001.4360596924855
2015-05-18T02:00:05Z,2015-05-18T10:12:43Z,16,78,0.38865663847687804,155.4072833333333,4.15,0,328.5309969666666,1134.3668275245657
2015-05-18T03:00:05Z,2015-05-18T11:12:43Z,15.4,59,0.6977094641278394,817.6388499999999,8.05,0,1728.4885288999997,1210.6410826678564
2015-05-18T04:00:05Z,2015-05-18T12:12:43Z,17.4,45,1.05958401711462,787.6163333333334,6.2,0,1665.0209286666666,1225.0611765696303
2015-05-18T05:00:05Z,2015-05-18T13:12:43Z,19.05,30,1.4917613859945777,666.2252,6.55,0,1408.4000727999999,1176.644504383244
2015-05-18T06:00:05Z,2015-05-18T14:12:43Z,19.5,26.5,1.6097022344007288,546.0112666666668,4.7,0,1154.2678177333335,1068.6904564898239
2015-05-18T07:00:05Z,2015-05-18T15:12:43Z,20.55,19.5,1.8782849230232257,386.4451166666667,5.7,0,816.9449766333333,908.5555746483683
2015-05-18T08:00:05Z,2015-05-18T16:12:43Z,20.55,12.5,2.041614046764376,260.4932166666667,6.9,0,550.6826600333334,707.152235529179
2015-05-18T09:00:05Z,2015-05-18T17:12:43Z,19.9,13,1.9520124087010757,107.08596666666666,4.85,0,226.3797335333333,478.2050244513365
2015-05-18T10:00:05Z,2015-05-18T18:12:43Z,18.55,15.5,1.7467690405457157,7.277266666666666,3.65,0,15.384141733333331,237.3154741253904
2015-05-18T11:00:05Z,2015-05-18T19:12:43Z,14.8,27,1.1964228880303087,1.9158,1.55,0,4.0500012,0.8989019053664657
2015-05-18T12:00:05Z,2015-05-18T20:12:43Z,11.3,42.5,0.7541012789093923,1.7188499999999998,0.7,0,3.6336488999999994,0
2015-05-18T13:00:05Z,2015-05-18T21:12:43Z,8.5,58,0.4587916157895942,1.82685,1.7,0,3.8619609,0
2015-05-18T14:00:05Z,2015-05-18T22:12:43Z,10.1,46,0.6551575166131798,1.7839833333333335,1.9,0,3.771340766666667,0
2015-05-18T15:00:05Z,2015-05-18T23:12:43Z,13,33.5,0.9725990975037623,1.9206,2.1,0,4.0601484,0
2015-05-18T16:00:05Z,2015-05-19T00:12:39Z,13.45,34,0.993308515483729,1.5584,3.65,0,3.2944576,0
2015-05-18T17:00:05Z,2015-05-19T01:12:39Z,12.8,37,0.9097353281832209,1.831616666666667,2.9,0,3.8720376333333335,0
