TIMESTAMP,solar_TIMESTAMP,AUT_PAT_KRU_Pce_Js_1,AUT_PAT_KRU_Pce_Js_2,AUT_PAT_KRU_Pce_Js_3
2007-04-21T23:00:00Z,2007-04-21T23:47:14Z,1804.6869162430557,1446.463280891693,1609.1235459104128
2007-04-21T23:30:00Z,2007-04-22T00:17:25Z,1673.874086503917,1446.463280891693,1522.769369590411
2007-04-21T23:59:59Z,2007-04-22T00:47:24Z,1725.669291388539,1554.2222983221052,1631.0629989384654
2007-04-22T00:30:00Z,2007-04-22T01:17:25Z,1778.1700152959784,1598.28756047262,1675.3677374639976
2007-04-22T01:00:00Z,2007-04-22T01:47:25Z,1831.382587458904,1642.9091420866434,1675.3677374639976
2007-04-22T01:29:59Z,2007-04-22T02:17:24Z,1778.1700152959784,1733.840365222922,1720.2449139254088
2007-04-22T02:00:00Z,2007-04-22T02:47:25Z,1858.2578541154098,1874.5328267974426,1834.9802535337003
2007-04-22T02:30:00Z,2007-04-22T03:17:25Z,1912.5505420386514,1898.4911790534854,1881.9071047545408
2007-04-22T02:59:59Z,2007-04-22T03:47:24Z,1912.5505420386514,1827.0556370050954,1881.9071047545408
2007-04-22T03:30:00Z,2007-04-22T04:17:25Z,1939.969681159946,1850.7212088495087,1953.423355439699
2007-04-22T04:00:00Z,2007-04-22T04:47:25Z,1995.357945256728,1733.840365222922,1953.423355439699
2007-04-22T04:29:59Z,2007-04-22T05:17:24Z,2079.8288955374073,1850.7212088495087,2050.914379675282
2007-04-22T05:00:00Z,2007-04-22T05:47:25Z,2051.4855412340967,2045.3624020398179,2026.3102606691743
2007-04-22T05:30:00Z,2007-04-22T06:17:25Z,1330.5773053501212,2409.6135164565126,1237.7157883186871
2007-04-22T05:59:59Z,2007-04-22T06:47:24Z,876.2563981058823,2865.285290072375,43.26446138700267
2007-04-22T06:30:00Z,2007-04-22T07:17:25Z,525.7465655744029,2925.378676899262,0
2007-04-22T07:00:00Z,2007-04-22T07:47:25Z,248.29051610338718,767.1710774921123,344.670684494446
2007-04-22T07:29:59Z,2007-04-22T08:17:24Z,262.1989815464006,0,995.9698110644999
2007-04-22T08:00:00Z,2007-04-22T08:47:25Z,427.11012743763973,654.0283439015585,1977.56559304696
2007-04-22T08:30:00Z,2007-04-22T09:17:25Z,508.89710294746146,1922.5969629345343,2925.6195693478994
2007-04-22T08:59:59Z,2007-04-22T09:47:24Z,290.57850649867663,2275.9705686021834,4415.691709854361
2007-04-22T09:30:00Z,2007-04-22T10:17:25Z,380.04081412152146,2660.538056924116,5127.835544188167
2007-04-22T10:00:00Z,2007-04-22T10:47:25Z,248.29051610338718,2275.9705686021834,3466.772318560215
2007-04-22T10:29:59Z,2007-04-22T11:17:24Z,221.0518921257177,2747.236451649203,3466.772318560215
2007-04-22T11:00:00Z,2007-04-22T11:47:25Z,684.6303739264475,3301.4530291943292,3334.190038926449
2007-04-22T11:30:00Z,2007-04-22T12:17:25Z,778.466644121625,3432.942313797582,2835.970832366258
2007-04-22T11:59:59Z,2007-04-22T12:47:24Z,508.89710294746146,3016.8788844457545,2604.976120213164
2007-04-22T12:30:00Z,2007-04-22T13:17:25Z,120.46062028773497,1922.5969629345343,2412.1269988611216
2007-04-22T13:00:00Z,2007-04-22T13:47:25Z,65.58367857304016,1756.9284526171643,2279.4629936955826
2007-04-22T13:29:59Z,2007-04-22T14:17:24Z,11.757706343974183,2302.3777510161312,2385.2605958211548
2007-04-22T14:00:00Z,2007-04-22T14:47:25Z,4.998852125724882,2491.7522287086354,2050.914379675282
2007-04-22T14:30:00Z,2007-04-22T15:17:25Z,120.46062028773497,2436.828567502927,2125.664224666917
2007-04-22T14:59:59Z,2007-04-22T15:47:24Z,97.66414819790006,2382.5617891369398,1953.423355439699
2007-04-22T15:30:00Z,2007-04-22T16:17:25Z,65.58367857304016,2464.2078367954523,1881.9071047545408
2007-04-22T16:00:00Z,2007-04-22T16:47:25Z,0,2603.599458283479,2925.6195693478994
2007-04-22T16:29:59Z,2007-04-22T17:17:24Z,305.0441057648804,3301.4530291943292,3173.088969438535
2007-04-22T17:00:00Z,2007-04-22T17:47:25Z,475.687744126966,2895.242026163674,2150.896269590968
2007-04-22T17:30:00Z,2007-04-22T18:17:25Z,1330.5773053501212,2895.242026163674,2661.6453704596825
2007-04-22T17:59:59Z,2007-04-22T18:47:24Z,1831.382587458904,2689.264470126808,2747.9899883741714
2007-04-22T18:30:00Z,2007-04-22T19:17:25Z,2023.3288687437405,2519.462657530109,2633.2221076801334
2007-04-22T19:00:00Z,2007-04-22T19:47:25Z,2137.0794479682727,2631.9833780048575,2604.976120213164
2007-04-22T19:29:59Z,2007-04-22T20:17:24Z,2051.4855412340967,2547.3400475202698,2358.561985441509
2007-04-22T20:00:00Z,2007-04-22T20:47:25Z,1939.969681159946,2171.923492229179,2150.896269590968
2007-04-22T20:30:00Z,2007-04-22T21:17:25Z,1725.669291388539,1756.9284526171643,1881.9071047545408
2007-04-22T20:59:59Z,2007-04-22T21:47:24Z,1804.6869162430557,1642.9091420866434,1834.9802535337003
2007-04-22T21:30:00Z,2007-04-22T22:17:25Z,1751.8310730104647,1576.185679864339,1720.2449139254088
2007-04-22T22:00:00Z,2007-04-22T22:47:25Z,1597.4908229944883,1642.9091420866434,1587.3251241615915
2007-04-22T22:29:59Z,2007-04-22T23:17:24Z,1498.0606318524785,1532.396846630489,1522.769369590411
2007-04-22T23:00:00Z,2007-04-22T23:47:25Z,1988.9905758281361,1295.277391659314,2120.805083414041
