TIMESTAMP,solar_TIMESTAMP,ta,ppfd_in,ws,precip,sw_in,ext_rad
2008-04-24T06:00:00Z,2008-04-24T13:54:58Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-24T07:00:00Z,2008-04-24T14:54:58Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-24T08:00:00Z,2008-04-24T15:54:58Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-24T09:00:00Z,2008-04-24T16:54:58Z,,,,,CALCULATED,CALCULATED
2008-04-24T10:00:00Z,2008-04-24T17:54:58Z,,,,,CALCULATED,CALCULATED
2008-04-24T11:00:00Z,2008-04-24T18:54:58Z,,,,,CALCULATED,CALCULATED
2008-04-24T12:00:00Z,2008-04-24T19:54:58Z,,,,,CALCULATED,CALCULATED
2008-04-24T13:00:00Z,2008-04-24T20:54:58Z,,,,,CALCULATED,CALCULATED
2008-04-24T14:00:00Z,2008-04-24T21:54:58Z,,,OUT_WARN,,CALCULATED,CALCULATED
2008-04-24T15:00:00Z,2008-04-24T22:54:58Z,,,,,CALCULATED,CALCULATED
2008-04-24T16:00:00Z,2008-04-24T23:54:58Z,,,,,CALCULATED,CALCULATED
2008-04-24T17:00:00Z,2008-04-25T00:55:07Z,,,OUT_WARN,,CALCULATED,CALCULATED
2008-04-24T18:00:00Z,2008-04-25T01:55:07Z,,,,,CALCULATED,CALCULATED
2008-04-24T19:00:00Z,2008-04-25T02:55:07Z,,,OUT_WARN,,CALCULATED,CALCULATED
2008-04-24T20:00:00Z,2008-04-25T03:55:07Z,,,,,CALCULATED,CALCULATED
2008-04-24T21:00:00Z,2008-04-25T04:55:07Z,,,,,CALCULATED,CALCULATED
2008-04-24T22:00:00Z,2008-04-25T05:55:07Z,,,,,CALCULATED,CALCULATED
2008-04-24T23:00:00Z,2008-04-25T06:55:07Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-25T00:00:00Z,2008-04-25T07:55:07Z,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-04-25T01:00:00Z,2008-04-25T08:55:07Z,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-04-25T02:00:00Z,2008-04-25T09:55:07Z,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-04-25T03:00:00Z,2008-04-25T10:55:07Z,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-04-25T04:00:00Z,2008-04-25T11:55:07Z,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-04-25T05:00:00Z,2008-04-25T12:55:07Z,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-04-25T06:00:00Z,2008-04-25T13:55:07Z,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-04-25T07:00:00Z,2008-04-25T14:55:07Z,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-04-25T08:00:00Z,2008-04-25T15:55:07Z,,,,,CALCULATED,CALCULATED
2008-04-25T09:00:00Z,2008-04-25T16:55:07Z,,,,,CALCULATED,CALCULATED
2008-04-25T10:00:00Z,2008-04-25T17:55:07Z,,,,,CALCULATED,CALCULATED
2008-04-25T11:00:00Z,2008-04-25T18:55:07Z,,,,,CALCULATED,CALCULATED
2008-04-25T12:00:00Z,2008-04-25T19:55:07Z,,,,,CALCULATED,CALCULATED
2008-04-25T13:00:00Z,2008-04-25T20:55:07Z,,,,,CALCULATED,CALCULATED
2008-04-25T14:00:00Z,2008-04-25T21:55:07Z,,,,,CALCULATED,CALCULATED
2008-04-25T15:00:00Z,2008-04-25T22:55:07Z,,,,,CALCULATED,CALCULATED
2008-04-25T16:00:00Z,2008-04-25T23:55:07Z,,,,,CALCULATED,CALCULATED
2008-04-25T17:00:00Z,2008-04-26T00:55:16Z,,,OUT_WARN,,CALCULATED,CALCULATED
2008-04-25T18:00:00Z,2008-04-26T01:55:16Z,,,,,CALCULATED,CALCULATED
2008-04-25T19:00:00Z,2008-04-26T02:55:16Z,,,,,CALCULATED,CALCULATED
2008-04-25T20:00:00Z,2008-04-26T03:55:16Z,,,,,CALCULATED,CALCULATED
2008-04-25T21:00:00Z,2008-04-26T04:55:16Z,,,,,CALCULATED,CALCULATED
2008-04-25T22:00:00Z,2008-04-26T05:55:16Z,,,,,CALCULATED,CALCULATED
2008-04-25T23:00:00Z,2008-04-26T06:55:16Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-26T00:00:00Z,2008-04-26T07:55:16Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-26T01:00:00Z,2008-04-26T08:55:16Z,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-04-26T02:00:00Z,2008-04-26T09:55:16Z,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-04-26T03:00:00Z,2008-04-26T10:55:16Z,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-04-26T04:00:00Z,2008-04-26T11:55:16Z,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-04-26T05:00:00Z,2008-04-26T12:55:16Z,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-04-26T06:00:00Z,2008-04-26T13:55:16Z,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-04-26T07:00:00Z,2008-04-26T14:55:16Z,,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2008-04-26T08:00:00Z,2008-04-26T15:55:16Z,,,OUT_WARN,,CALCULATED,CALCULATED
2008-04-26T09:00:00Z,2008-04-26T16:55:16Z,,,OUT_WARN,,CALCULATED,CALCULATED
2008-04-26T10:00:00Z,2008-04-26T17:55:16Z,,,OUT_WARN,,CALCULATED,CALCULATED
2008-04-26T11:00:00Z,2008-04-26T18:55:16Z,,,,,CALCULATED,CALCULATED
2008-04-26T12:00:00Z,2008-04-26T19:55:16Z,,,,,CALCULATED,CALCULATED
2008-04-26T13:00:00Z,2008-04-26T20:55:16Z,,,,,CALCULATED,CALCULATED
2008-04-26T14:00:00Z,2008-04-26T21:55:16Z,,,,,CALCULATED,CALCULATED
2008-04-26T15:00:00Z,2008-04-26T22:55:16Z,,,,,CALCULATED,CALCULATED
2008-04-26T16:00:00Z,2008-04-26T23:55:16Z,,,,,CALCULATED,CALCULATED
2008-04-26T17:00:00Z,2008-04-27T00:55:23Z,,,,,CALCULATED,CALCULATED
2008-04-26T18:00:00Z,2008-04-27T01:55:23Z,,,,,CALCULATED,CALCULATED
2008-04-26T19:00:00Z,2008-04-27T02:55:23Z,,,,,CALCULATED,CALCULATED
2008-04-26T20:00:00Z,2008-04-27T03:55:23Z,,,,,CALCULATED,CALCULATED
2008-04-26T21:00:00Z,2008-04-27T04:55:23Z,,,,,CALCULATED,CALCULATED
2008-04-26T22:00:00Z,2008-04-27T05:55:23Z,,,,,CALCULATED,CALCULATED
2008-04-26T23:00:00Z,2008-04-27T06:55:23Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-27T00:00:00Z,2008-04-27T07:55:23Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-27T01:00:00Z,2008-04-27T08:55:23Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-27T02:00:00Z,2008-04-27T09:55:23Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-27T03:00:00Z,2008-04-27T10:55:23Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-27T04:00:00Z,2008-04-27T11:55:23Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-27T05:00:00Z,2008-04-27T12:55:23Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-27T06:00:00Z,2008-04-27T13:55:23Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-27T07:00:00Z,2008-04-27T14:55:23Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-27T08:00:00Z,2008-04-27T15:55:23Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-27T09:00:00Z,2008-04-27T16:55:23Z,,,,,CALCULATED,CALCULATED
2008-04-27T10:00:00Z,2008-04-27T17:55:23Z,,,,,CALCULATED,CALCULATED
2008-04-27T11:00:00Z,2008-04-27T18:55:23Z,,,,,CALCULATED,CALCULATED
2008-04-27T12:00:00Z,2008-04-27T19:55:23Z,,,,,CALCULATED,CALCULATED
2008-04-27T13:00:00Z,2008-04-27T20:55:23Z,,,,,CALCULATED,CALCULATED
2008-04-27T14:00:00Z,2008-04-27T21:55:23Z,,,,,CALCULATED,CALCULATED
2008-04-27T15:00:00Z,2008-04-27T22:55:23Z,,,,,CALCULATED,CALCULATED
2008-04-27T16:00:00Z,2008-04-27T23:55:23Z,,,,,CALCULATED,CALCULATED
2008-04-27T17:00:00Z,2008-04-28T00:55:31Z,,,,,CALCULATED,CALCULATED
2008-04-27T18:00:00Z,2008-04-28T01:55:31Z,,,,,CALCULATED,CALCULATED
2008-04-27T19:00:00Z,2008-04-28T02:55:31Z,,,,,CALCULATED,CALCULATED
2008-04-27T20:00:00Z,2008-04-28T03:55:31Z,,,,,CALCULATED,CALCULATED
2008-04-27T21:00:00Z,2008-04-28T04:55:31Z,,,,,CALCULATED,CALCULATED
2008-04-27T22:00:00Z,2008-04-28T05:55:31Z,,,,,CALCULATED,CALCULATED
2008-04-27T23:00:00Z,2008-04-28T06:55:31Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-28T00:00:00Z,2008-04-28T07:55:31Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-28T01:00:00Z,2008-04-28T08:55:31Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-28T02:00:00Z,2008-04-28T09:55:31Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-28T03:00:00Z,2008-04-28T10:55:31Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-28T04:00:00Z,2008-04-28T11:55:31Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-28T05:00:00Z,2008-04-28T12:55:31Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-28T06:00:00Z,2008-04-28T13:55:31Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-28T07:00:00Z,2008-04-28T14:55:31Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-28T08:00:00Z,2008-04-28T15:55:31Z,,,,,CALCULATED,CALCULATED
2008-04-28T09:00:00Z,2008-04-28T16:55:31Z,,,,,CALCULATED,CALCULATED
2008-04-28T10:00:00Z,2008-04-28T17:55:31Z,,,,,CALCULATED,CALCULATED
2008-04-28T11:00:00Z,2008-04-28T18:55:31Z,,,,,CALCULATED,CALCULATED
2008-04-28T12:00:00Z,2008-04-28T19:55:31Z,,,,,CALCULATED,CALCULATED
2008-04-28T13:00:00Z,2008-04-28T20:55:31Z,,,,,CALCULATED,CALCULATED
2008-04-28T14:00:00Z,2008-04-28T21:55:31Z,,,,,CALCULATED,CALCULATED
2008-04-28T15:00:00Z,2008-04-28T22:55:31Z,,,,,CALCULATED,CALCULATED
2008-04-28T16:00:00Z,2008-04-28T23:55:31Z,,,,,CALCULATED,CALCULATED
2008-04-28T17:00:00Z,2008-04-29T00:55:37Z,,,,,CALCULATED,CALCULATED
2008-04-28T18:00:00Z,2008-04-29T01:55:37Z,,,,,CALCULATED,CALCULATED
2008-04-28T19:00:00Z,2008-04-29T02:55:37Z,,,,,CALCULATED,CALCULATED
2008-04-28T20:00:00Z,2008-04-29T03:55:37Z,,,,,CALCULATED,CALCULATED
2008-04-28T21:00:00Z,2008-04-29T04:55:37Z,,,,,CALCULATED,CALCULATED
2008-04-28T22:00:00Z,2008-04-29T05:55:37Z,,,,,CALCULATED,CALCULATED
2008-04-28T23:00:00Z,2008-04-29T06:55:37Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-29T00:00:00Z,2008-04-29T07:55:37Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-29T01:00:00Z,2008-04-29T08:55:37Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-29T02:00:00Z,2008-04-29T09:55:37Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-29T03:00:00Z,2008-04-29T10:55:37Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-29T04:00:00Z,2008-04-29T11:55:37Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-29T05:00:00Z,2008-04-29T12:55:37Z,,OUT_WARN,,,CALCULATED,CALCULATED
2008-04-29T06:00:00Z,2008-04-29T13:55:37Z,,OUT_WARN,,,CALCULATED,CALCULATED
