TIMESTAMP,solar_TIMESTAMP,MEX_VER_BSJ_Pme_Jt_1,MEX_VER_BSJ_Spe_Jt_2,MEX_VER_BSJ_Lst_Jt_3,MEX_VER_BSJ_Cma_Jt_4,MEX_VER_BSJ_Pme_Jt_5,MEX_VER_BSJ_Lst_Jt_6,MEX_VER_BSJ_Tin_Jt_7,MEX_VER_BSJ_Pme_Jt_8
2016-02-26T16:00:00Z,2016-02-26T09:19:17Z,2761.08959393068,NA,-15.798960473580236,25.483968191025912,1050.9979232136325,NA,295.2981578570584,5765.635664932783
2016-02-26T16:15:00Z,2016-02-26T09:34:17Z,3871.1533523794806,NA,-3.056161960911005,76.8189092660255,1451.5305096247662,NA,487.90287343819136,7521.395187598577
2016-02-26T16:30:00Z,2016-02-26T09:49:17Z,3281.750365630525,NA,-0.9784207007559832,131.87285892029496,1215.2318859541217,NA,445.69635687302366,5011.104512284806
2016-02-26T16:45:00Z,2016-02-26T10:04:17Z,4798.99437755814,NA,8.378145102423858,193.71145543420738,1720.3420041598995,NA,598.2051523315025,6568.36215381072
2016-02-26T17:00:00Z,2016-02-26T10:19:17Z,4819.232874411899,NA,5.208833072258513,229.8739235165011,1831.9922105942092,NA,706.8153654268644,7357.645239072423
2016-02-26T17:15:00Z,2016-02-26T10:34:17Z,4755.798394473395,NA,16.608639191536614,267.4536559130149,2000.3708895089428,NA,706.3841925409574,8339.380681413157
2016-02-26T17:30:00Z,2016-02-26T10:49:17Z,5462.266740963302,NA,47.190809641911706,315.2687842173532,2574.078885376667,NA,823.621560878675,9888.997421117714
2016-02-26T17:45:00Z,2016-02-26T11:04:17Z,4390.724684240511,NA,41.511985334933634,213.8774927262354,2020.8225911310742,NA,640.200261600195,8548.781780597845
2016-02-26T18:00:00Z,2016-02-26T11:19:17Z,3804.423895012648,NA,50.79940709474916,194.1613005642545,1497.3790285739524,NA,570.8890122728889,7779.9697843373815
2016-02-26T18:15:00Z,2016-02-26T11:34:17Z,2712.9653094579235,NA,50.16526754046173,148.00499468276396,980.1105342351689,NA,454.58463244590627,5577.144763204889
2016-02-26T18:30:00Z,2016-02-26T11:49:17Z,2155.930639393956,NA,35.825058238171266,122.9090286728102,649.7138052083394,NA,348.43445512711946,4650.457913347339
2016-02-26T18:45:00Z,2016-02-26T12:04:17Z,1572.5818162355304,NA,33.35896212177336,105.43596886311255,496.07826747537956,NA,288.9293771661864,3668.001491456248
2016-02-26T19:00:00Z,2016-02-26T12:19:17Z,1074.6721787004572,NA,19.657183960006947,74.19330797308977,543.7294808042192,NA,272.23839613887105,3061.0451880078617
2016-02-26T19:15:00Z,2016-02-26T12:34:17Z,1010.4325252423246,NA,39.374442884239905,74.02461031846371,425.575407401051,NA,271.36739792383236,2769.980401009032
2016-02-26T19:30:00Z,2016-02-26T12:49:17Z,561.9935751624159,NA,29.42979670636192,87.65217960187947,347.35195556101456,NA,236.37547420158887,2327.902229630428
2016-02-26T19:45:00Z,2016-02-26T13:04:17Z,530.2510033323932,NA,17.104559253043853,75.15044125254015,184.67430482311875,NA,176.8337354307377,1854.2831885096255
2016-02-26T20:00:00Z,2016-02-26T13:19:17Z,394.1814840061213,NA,31.087758750748538,58.92278674383249,13.164159678144784,NA,164.053897165576,1548.934581761013
2016-02-26T20:15:00Z,2016-02-26T13:34:17Z,335.1240805308637,NA,-4.950868482386665,43.31680953348986,82.45823896383288,NA,141.51550157616734,1332.4899325868255
2016-02-26T20:30:00Z,2016-02-26T13:49:17Z,281.5411536445499,NA,4.582318092144944,36.93877989885175,90.96437468231133,NA,110.58692843308997,1131.3926884308082
2016-02-26T20:45:00Z,2016-02-26T14:04:17Z,196.16132922948304,NA,12.579791271164755,25.239958982241692,-0.0025918290910595942,NA,69.96672697584748,942.5940522318009
2016-02-26T21:00:00Z,2016-02-26T14:19:17Z,58.470766736306565,NA,15.559005581002157,23.395304869811774,-64.56352210700685,NA,46.11177926769912,987.4615898836607
