TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,netrad,ws,precip,swc_shallow,sw_in,ext_rad
2003-05-05T00:00:00Z,2003-05-04T23:43:50Z,5.33,90.5,0.09,0.655,-59.23,3.75,NA,0.496878666181195,0.309815,0
2003-05-05T00:15:00Z,2003-05-04T23:58:50Z,4.86,89.9,0.09,0.655,-85.9,4.625,NA,0.497671467480489,0.309815,0
2003-05-05T00:30:00Z,2003-05-05T00:13:54Z,4.39,91.6,0.07,0,-80.2,4.5,NA,0.49826900972101,0,0
2003-05-05T00:45:00Z,2003-05-05T00:28:54Z,4.6,86.1,0.12,0.655,-105.8,4.25,NA,0.498534539651173,0.309815,0
2003-05-05T01:00:00Z,2003-05-05T00:43:54Z,4.32,85.5,0.12,0.655,-84.9,3.125,NA,0.499033830111376,0.309815,0
2003-05-05T01:15:00Z,2003-05-05T00:58:54Z,4.19,86.5,0.11,0.655,-76.6,3.625,NA,0.49893369801279,0.309815,0
2003-05-05T01:30:00Z,2003-05-05T01:13:54Z,4.12,87.6,0.1,0.655,-86.5,4.125,NA,0.498976286003586,0.309815,0
2003-05-05T01:45:00Z,2003-05-05T01:28:54Z,3.72,88.8,0.09,0,-82.3,4.375,NA,0.499358388553726,0,0
2003-05-05T02:00:00Z,2003-05-05T01:43:54Z,3.58,90,0.08,0,-81.3,4.875,NA,0.498899907212153,0,0
2003-05-05T02:15:00Z,2003-05-05T01:58:54Z,3.24,90.2,0.08,0.655,-65.05,2.375,NA,0.499093683742424,0.309815,0
2003-05-05T02:30:00Z,2003-05-05T02:13:54Z,3.51,90.5,0.07,0.655,-60.74,3.25,NA,0.498703937806097,0.309815,0
2003-05-05T02:45:00Z,2003-05-05T02:28:54Z,4.12,88.8,0.09,0.655,-47.04,3.75,NA,0.49841532332414,0.309815,0
2003-05-05T03:00:00Z,2003-05-05T02:43:54Z,4.05,89.9,0.08,0.655,-44.69,3.25,NA,0.497850731297856,0.309815,0
2003-05-05T03:15:00Z,2003-05-05T02:58:54Z,4.26,91.1,0.07,0.655,-23.64,4.375,NA,0.497146268911694,0.309815,0
2003-05-05T03:30:00Z,2003-05-05T03:13:54Z,4.32,91.3,0.07,0.655,-50.86,3.5,NA,0.496652475006048,0.309815,0
2003-05-05T03:45:00Z,2003-05-05T03:28:54Z,3.92,90.5,0.08,0.655,-66.04,4.25,NA,0.496603074738378,0.309815,0
2003-05-05T04:00:00Z,2003-05-05T03:43:54Z,3.78,90.5,0.08,0.655,-61.42,2.875,NA,0.496513366673819,0.309815,0
2003-05-05T04:15:00Z,2003-05-05T03:58:54Z,3.85,89.3,0.09,0.655,-51.65,2.25,NA,0.496442694866168,0.309815,0
2003-05-05T04:30:00Z,2003-05-05T04:13:54Z,3.78,88.8,0.09,0.655,-71.7,3.5,NA,0.496333981031947,0.309815,12.961149745973339
2003-05-05T04:45:00Z,2003-05-05T04:28:54Z,3.44,88.7,0.09,0.655,-56.87,2.375,NA,0.495980913872329,0.309815,54.70601735885354
2003-05-05T05:00:00Z,2003-05-05T04:43:54Z,3.38,88.4,0.09,1.965,-59.87,3.25,NA,0.496025175882395,0.929445,97.56779490882353
2003-05-05T05:15:00Z,2003-05-05T04:58:54Z,3.85,88.9,0.09,3.93,-42.48,5.75,NA,0.495509567314743,1.85889,141.36291877215785
2003-05-05T05:30:00Z,2003-05-05T05:13:54Z,4.12,87,0.11,11.79,-64.23,4.125,NA,0.494879279371466,5.576669999999999,185.90382816106776
2003-05-05T05:45:00Z,2003-05-05T05:28:54Z,4.12,87.1,0.11,19,-58.05,4,NA,0.494350103884533,8.987,230.99976838876512
2003-05-05T06:00:00Z,2003-05-05T05:43:54Z,4.12,87.4,0.1,30.13,-52.81,4,NA,0.49400925305702,14.251489999999999,276.457607812449
2003-05-05T06:15:00Z,2003-05-05T05:58:54Z,3.99,88.8,0.09,49.13,-51.03,5,NA,0.493906773955385,23.23849,322.08266495557547
2003-05-05T06:30:00Z,2003-05-05T06:13:54Z,4.26,88.5,0.1,66.16,-56.47,4.375,NA,0.493695918657326,31.29368,367.67954226702324
2003-05-05T06:45:00Z,2003-05-05T06:28:54Z,4.39,88.2,0.1,100.9,-33.34,4.625,NA,0.493380157824539,47.7257,413.0529629465317
2003-05-05T07:00:00Z,2003-05-05T06:43:54Z,4.6,88.4,0.1,121.2,-52.42,6.25,NA,0.492765379754715,57.3276,458.0086072524452
2003-05-05T07:15:00Z,2003-05-05T06:58:54Z,4.66,89.3,0.09,354.4,20.09,6.875,NA,0.492198339042899,167.63119999999998,502.3539447102139
2003-05-05T07:30:00Z,2003-05-05T07:13:54Z,5,88.6,0.1,179.5,-14.15,5.625,NA,0.491331153138185,84.9035,545.899058657501
2003-05-05T07:45:00Z,2003-05-05T07:28:54Z,5.27,87.6,0.11,272.5,32.4,6.125,NA,0.490793654105934,128.89249999999998,588.4574595947181
2003-05-05T08:00:00Z,2003-05-05T07:43:54Z,5.41,87.6,0.11,264.6,24.41,6.125,NA,0.49001150122375,125.1558,629.8468838575922
2003-05-05T08:15:00Z,2003-05-05T07:58:54Z,5.41,89.8,0.09,328.2,61.39,5.5,NA,0.489892276078324,155.2386,669.8900741914031
2003-05-05T08:30:00Z,2003-05-05T08:13:54Z,5.54,90.4,0.09,214.2,29.42,4.75,NA,0.489675909530728,101.3166,708.4155388839284
2003-05-05T08:45:00Z,2003-05-05T08:28:54Z,5.54,90.8,0.08,283.6,43.72,5.5,NA,0.489607596273089,134.1428,745.2582862059205
2003-05-05T09:00:00Z,2003-05-05T08:43:54Z,5.88,90.2,0.09,365.5,57.14,6.875,NA,0.488986809927347,172.8815,780.2605310139203
2003-05-05T09:15:00Z,2003-05-05T08:58:54Z,6.29,89,0.11,302.6,29.99,7.25,NA,0.488694582023111,143.12980000000002,813.2723704891046
2003-05-05T09:30:00Z,2003-05-05T09:13:54Z,6.28,88.4,0.11,362.8,50.04,4.75,NA,0.48851358848136,171.6044,844.1524261183621
2003-05-05T09:45:00Z,2003-05-05T09:28:54Z,6.95,86.2,0.14,373.3,42.03,5.75,NA,0.487592891637359,176.5709,872.7684491681484
2003-05-05T10:00:00Z,2003-05-05T09:43:54Z,6.88,86.6,0.13,474.1,87.6,5.125,NA,0.487834831012913,224.2493,898.9978870581135
