sp_basal_area_perc,sp_leaf_habit,sp_name,sp_ntrees,si_code
35.1,evergreen,Pinus nigra,5,ESP_ALT_ARM
38.7,cold deciduous,Quercus faginea,6,ESP_ALT_ARM
25.8,evergreen,Quercus ilex,4,ESP_ALT_ARM
