TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,swc_shallow,swc_deep,sw_in,ext_rad
2007-10-01T14:15:00Z,2007-10-01T13:51:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T14:30:00Z,2007-10-01T14:06:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T14:45:00Z,2007-10-01T14:21:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T15:00:00Z,2007-10-01T14:36:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T15:15:00Z,2007-10-01T14:51:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T15:30:00Z,2007-10-01T15:06:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T15:45:00Z,2007-10-01T15:21:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T16:00:00Z,2007-10-01T15:36:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T16:15:00Z,2007-10-01T15:51:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T16:30:00Z,2007-10-01T16:06:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T16:45:00Z,2007-10-01T16:21:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T17:00:00Z,2007-10-01T16:36:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T17:15:00Z,2007-10-01T16:51:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T17:30:00Z,2007-10-01T17:06:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T17:45:00Z,2007-10-01T17:21:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T18:00:00Z,2007-10-01T17:36:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T18:15:00Z,2007-10-01T17:51:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T18:30:00Z,2007-10-01T18:06:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T18:45:00Z,2007-10-01T18:21:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T19:00:00Z,2007-10-01T18:36:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T19:15:00Z,2007-10-01T18:51:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T19:30:00Z,2007-10-01T19:06:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T19:45:00Z,2007-10-01T19:21:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T20:00:00Z,2007-10-01T19:36:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T20:15:00Z,2007-10-01T19:51:47Z,,,,,,,CALCULATED,CALCULATED
2007-10-01T20:30:00Z,2007-10-01T20:06:47Z,,,,,,,CALCULATED,CALCULATED
