sp_basal_area_perc,sp_leaf_habit,sp_name,sp_ntrees,si_code
30,cold deciduous,Fagus sylvatica,7,ESP_MON_SIE_NAT
22.36,cold deciduous,Quercus petraea,10,ESP_MON_SIE_NAT
42.52,evergreen,Ilex aquifolium,3,ESP_MON_SIE_NAT
