TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,netrad,ws,precip,ppfd_in,vpd,ext_rad
2014-12-31T23:00:00Z,2014-12-31T23:44:33Z,NA,NA,NA,NA,NA,0,NA,NA,0
2014-12-31T23:30:00Z,2015-01-01T00:14:01Z,4.438014,98.10999,0,-44.29351,5.671823,0,0,0.015860616880944263,0
2015-01-01T00:00:00Z,2015-01-01T00:44:01Z,4.289297,96.34205,0,-60.56565,5.373649,0,0,0.030377603683385074,0
2015-01-01T00:30:00Z,2015-01-01T01:14:01Z,4.052472,96.8242,0,-76.47983,5.866838,0,0,0.02593743879075707,0
2015-01-01T01:00:00Z,2015-01-01T01:44:01Z,4.075369,95.51882,0,-75.30627,5.533266,0,0,0.036657861253935935,0
2015-01-01T01:30:00Z,2015-01-01T02:14:01Z,4.152211,95.7952,0,-70.4575,6.245371,0,0,0.03458365835637016,0
2015-01-01T02:00:00Z,2015-01-01T02:44:01Z,4.419014,94.28782,0,-65.58532,5.63808,0,0,0.04787161902989245,0
2015-01-01T02:30:00Z,2015-01-01T03:14:01Z,4.521736,94.7163,0,-26.46579,4.879928,0,0,0.04460130938913831,0
2015-01-01T03:00:00Z,2015-01-01T03:44:01Z,4.806528,93.063,0,-26.3821,4.886926,0,0,0.059738428207152076,0
2015-01-01T03:30:00Z,2015-01-01T04:14:01Z,4.853086,91.84502,0,-8.514837,4.239225,0,0,0.07045646364227497,0
2015-01-01T04:00:00Z,2015-01-01T04:44:01Z,4.859902,92.874,0,-5.714118,4.29104,0,0,0.06159578429963099,0
2015-01-01T04:30:00Z,2015-01-01T05:14:01Z,4.688497,94.68236,0,-3.706155,4.264157,0,0,0.04541603286051297,0
2015-01-01T05:00:00Z,2015-01-01T05:44:01Z,4.508894,96.44919,0,-2.966313,3.70404,0,0,0.029946449064274988,0
2015-01-01T05:30:00Z,2015-01-01T06:14:01Z,4.260061,99.48689,0,-1.757706,3.477169,0.2,0,0.0042523891851323865,0
2015-01-01T06:00:00Z,2015-01-01T06:44:01Z,4.259353,99.99799,0,-0.6790916,3.950042,0,0,1.665700630342072e-5,0
